Nash Equilibrium,Occurrences,Subsample Ratio,Max Depth
0000000100,7,0.5,10
1111111111,10,0.5,10
0000000001,8,0.5,10
0000000010,6,0.5,10
0000001000,3,0.5,10
1000000000,1,0.5,10
0000000001,9,0.5,100
0000000010,10,0.5,100
0000000100,10,0.5,100
0000001000,9,0.5,100
0000001111,9,0.5,100
1111111111,10,0.5,100
0000000010,6,0.8,10
1111111111,10,0.8,10
0000000001,5,0.8,10
0000000100,4,0.8,10
1000000000,1,0.8,10
0000000001,10,0.8,100
0000000010,10,0.8,100
0000000100,9,0.8,100
0000001000,10,0.8,100
0000001111,10,0.8,100
1111111111,10,0.8,100
