Nash Equilibrium,Occurrences,Max Depth
0010000000,3,10
1111111111,10,10
0000100000,1,10
0000000001,3,10
0000000010,2,10
0000010000,2,10
0001000000,3,10
0000001000,1,10
1111111111,10,100
0000001000,2,100
0000000001,1,100
0000100000,1,100
0000000010,2,100
0001000000,1,100
