Trial,Combination,Clients,Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Noise Std,Corrupted Clients,Num Samples,Max Iter
11,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6240114954888026,0.40469790129128747,0.3714724196244416,0.5365636699543505,0.49649563542878367,0.5653121670364903,0.5227905885572967,0.5610502341130585,0.5521549153967215,0.557521431853061,0.5444326057418793,0.3,9,350,10
12,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6283614040918466,0.41605653903676404,0.412429986021642,0.558117711459321,0.5505811282392157,0.5222529594041114,0.5315881565185091,0.5510698820148385,0.5543543073870245,0.5659084466427503,0.5239733726943041,0.3,9,350,10
13,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6211669485146772,0.4034271414746679,0.4212177789073421,0.4942473680609183,0.4025571597540591,0.5538069031583269,0.4777959159734509,0.57302470161582,0.5258208619661587,0.5667784283633591,0.5417737852024906,0.3,9,350,10
14,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6347543034769944,0.4032609651909561,0.36385763580023656,0.487629641938984,0.5464169460709084,0.5593200457473534,0.5339634998680365,0.5890265002297143,0.5407865025757324,0.5756932972307212,0.5740022091670658,0.3,9,350,10
15,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6329263643561647,0.39549955523406416,0.41882288540678975,0.5493787939511833,0.5442077790050928,0.5489095903265853,0.5354102110438803,0.5539926295930636,0.573366829258756,0.5567980762651391,0.5523797421335079,0.3,9,350,10
16,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6286839815837577,0.40985914116186545,0.3845319205090859,0.5580004105531715,0.5845592907205208,0.5717930421012503,0.5401902229694724,0.5866804821067243,0.4341697539613493,0.5375509525811087,0.5297699924731919,0.3,9,350,10
17,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6388500601167144,0.40402342108092787,0.40129617501295195,0.5358598645174534,0.5713531637031896,0.6006490650140273,0.554745310407523,0.5699748780559329,0.5301023450406155,0.535576387327592,0.563171425499262,0.3,9,350,10
18,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6334346682828125,0.39804107486730333,0.3533005542467816,0.5457131406340114,0.5508548303535645,0.5574627813999863,0.56833266536984,0.5694665741292851,0.49193067516446565,0.5410602046900812,0.5446476574031535,0.3,9,350,10
19,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6204729181532928,0.4038670198727285,0.36950762944643745,0.49675956246762004,0.39572438197085075,0.5481764596631509,0.5075316956823491,0.5527120947009315,0.5337875485088123,0.5643346594852445,0.5323506124084808,0.3,9,350,10
20,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6318120057477444,0.37340788457590834,0.3810226684001134,0.5458206664646484,0.5581372616103459,0.532311512106431,0.5312851291776229,0.5749992668693366,0.5306497492693131,0.5426828672251494,0.5655076685467395,0.3,9,350,10
21,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6321834586172178,0.3951476525156157,0.41289918964624,0.4574344336810002,0.5720178688380367,0.5377562291668703,0.5698869023763209,0.5554588909199324,0.5362801927644891,0.5676777353105052,0.5409429037839317,0.3,9,350,10
22,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6229069119558949,0.3961056099158366,0.393896442850021,0.5756150966266215,0.5423309645067008,0.5756541969286713,0.5815192422361463,0.5185873060869395,0.5214611782876023,0.5448822592154524,0.5362899678400016,0.3,9,350,10
23,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6191532829591109,0.425802289322685,0.3523230466955357,0.5047751243878359,0.5501999002942298,0.5496133957634822,0.4842474658116734,0.5792807499437933,0.49950635868662085,0.5569153771712887,0.5485479125326244,0.3,9,350,10
24,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6446564549711147,0.4251082589613005,0.3924692818252021,0.5518616631313477,0.4399272734381873,0.5376193781096958,0.47891027458187113,0.5917146459956403,0.4715300925699651,0.5211190506446662,0.5236116949003431,0.3,9,350,10
25,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6389771360983764,0.41871535957615275,0.3968289655037585,0.5568274014916765,0.5744029872630766,0.5374923021280339,0.5280398041074867,0.560463729582311,0.5381374571118562,0.5459868427483602,0.5467004232607697,0.3,9,350,10
26,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6423690873011993,0.38684861340553856,0.46265432400465295,0.5938358373818438,0.37488392097828954,0.5614998875866316,0.5732788535791439,0.6033469858554658,0.5589974682554423,0.5712945132501148,0.5449995601216019,0.3,9,350,10
27,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6429751419829718,0.40276243633982073,0.38782612095678437,0.572535947840197,0.5428392684333486,0.562360094231728,0.5005522917664539,0.5917537462976902,0.5483524110223752,0.5739240085629661,0.5825847254670042,0.3,9,350,10
28,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6291727353593807,0.39461002336243045,0.3926745584109637,0.567394258120644,0.5291052873383447,0.5700139783579828,0.5115101514159197,0.5663776502673483,0.5317250075756835,0.5737285070527169,0.5581470366858584,0.3,9,350,10
29,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.637647725828682,0.3890089050937918,0.39368139118874695,0.5785769445068963,0.47408138727871674,0.5350387581744069,0.5368471471442117,0.5361433417073147,0.5533670247602662,0.578889746923295,0.5621450425704538,0.3,9,350,10
30,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6342068992482967,0.3976989472243673,0.3651186205413437,0.5707373339459048,0.5392518157202765,0.5315979315940216,0.5672769572144944,0.5928583298305979,0.5313144544041603,0.5348334815886453,0.5808252118747618,0.3,9,350,10
31,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6245393495664754,0.38203927625340905,0.37836384786072474,0.5253321081905358,0.573386379409781,0.5779806649006364,0.5151464795065542,0.5925944027917616,0.5270036461031662,0.5544031827645869,0.5391247397386145,0.3,9,350,10
32,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6430728927380964,0.38534325177662,0.39531382879932747,0.5794958016050674,0.5572477297387123,0.5810793638380857,0.49553767802856274,0.5871105854292724,0.557521431853061,0.5714313643072892,0.5824771996363672,0.3,9,350,10
33,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6278433250896863,0.3979824244142286,0.4037594940420915,0.5380885817342939,0.546729748487307,0.5509232558821517,0.5923207006774127,0.5823598987302177,0.5696229753374845,0.559525322333115,0.5331521686005024,0.3,9,350,10
34,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6185081279752886,0.38544100253174457,0.4072980713776014,0.5817538440484453,0.5433475723599965,0.5797792787949287,0.5014515987136,0.5567492008875768,0.5469056998465314,0.5392909160223263,0.5504736024085786,0.3,9,350,10
35,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6141484442967322,0.40590023557931987,0.39401374375617054,0.45174533973274944,0.5492126176674715,0.5528880460601558,0.5678536866697296,0.5856540991779161,0.542868593659886,0.5742856863569271,0.5295060654343555,0.3,9,350,10
36,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6298765407962776,0.3943265461725692,0.40373994389106654,0.5774625858984761,0.3840236165824381,0.5285481080341345,0.5320280349165697,0.5702388050947693,0.5662505742856864,0.5460943685789973,0.5191249352401247,0.3,9,350,10
37,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.642466838056324,0.4133097428177633,0.3691752768790139,0.5594764469555528,0.4381970850724822,0.55954487248414,0.5301609954936902,0.5801409565888896,0.5549212617667472,0.5352733599867059,0.5323799376350182,0.3,9,350,10
38,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6278726503162237,0.4041798222891272,0.3757832279254357,0.5812259899707726,0.5536114016480778,0.5899942327054476,0.5437874507580571,0.5093791849542038,0.5338168737353496,0.5679514374248541,0.5457522409360612,0.3,9,350,10
39,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.628498255149021,0.4093997126127799,0.3865064857626025,0.5458304415401609,0.587208336184397,0.5770520327269528,0.5464267211464209,0.5548626113136724,0.5309918769122491,0.5346477551539086,0.552145140321209,0.3,9,350,10
40,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6386643336819777,0.4122638097379302,0.39086616944115893,0.5472478274894673,0.44504941300671547,0.5797695037194163,0.5490562164592722,0.5848036676083322,0.5544422830666367,0.5649993646200917,0.550845055278052,0.3,9,350,10
41,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6275500728243125,0.3970244670140077,0.3677872161562448,0.5659084466427503,0.5495156450083577,0.5440513777968935,0.5203956950567443,0.5800236556827402,0.6052726757314201,0.5237876462595673,0.5283623815993979,0.3,9,350,10
42,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6316849297660825,0.3936422908866971,0.47400318667461705,0.4539740569495899,0.49573317953881196,0.5570131279264132,0.5212559017018407,0.5404345998572839,0.47283995268863455,0.5802680325705516,0.5219694822142501,0.3,9,350,10
43,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6274914223712378,0.4148444296732192,0.38891115433866724,0.5734254797118308,0.5464462712974457,0.5583816384981574,0.4934164866423593,0.5377953294689202,0.5413827821819923,0.5666024770041349,0.5445890069500787,0.3,9,350,10
44,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6399937439516721,0.40095404737001594,0.38244005434941986,0.46984877958182225,0.5865729562760872,0.57008240388657,0.5706591333418051,0.5660257475488998,0.5411970557472556,0.5792123244152061,0.5479418578508519,0.3,9,350,10
45,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6342068992482967,0.39465889873999277,0.37308530708399723,0.49429624343848055,0.41807020459233046,0.5347650560600581,0.5394961926080879,0.5719298931584247,0.5612555106988202,0.592731253848936,0.5721742700462361,0.3,9,350,10
46,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6246762006236498,0.403749718966579,0.38919463152852857,0.5654001427161025,0.5695252245823599,0.527384874048152,0.48850939873510524,0.571147887117428,0.5195843637892102,0.5525263682661948,0.5319400592369576,0.3,9,350,10
47,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.629563738379879,0.4038670198727285,0.3558029735779709,0.5240026979208414,0.5805808349869502,0.5723990967830227,0.5148825524677179,0.6082638488382323,0.5343936031905846,0.5327513905044916,0.5259088376457708,0.3,9,350,10
48,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6322323339947801,0.4234171708976452,0.37101299107535607,0.5605614803374356,0.5742856863569271,0.5888603239460025,0.5642564588811448,0.5649993646200917,0.5667100028347719,0.5346282050028837,0.5256058103048846,0.3,9,350,10
49,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6248228267563367,0.3940626191337328,0.3568000312802416,0.5284405822034975,0.5629074984604256,0.5148825524677179,0.5555370915240321,0.5441882288540679,0.5567589759630893,0.5604050791292363,0.5655369937732769,0.3,9,350,10
50,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6286155560551705,0.377601391970753,0.37045581177114595,0.4971505654881184,0.5780002150516613,0.5610502341130585,0.5283232812973481,0.585223995855368,0.543699475078445,0.562340544080703,0.5104446681850617,0.3,9,350,10
1,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6402869962170458,0.40822670355128493,0.5079715740804097,0.5361042414052648,0.551060106939326,0.5371794997116353,0.5280398041074867,0.5648820637139422,0.5480493836814889,0.4810412410435871,0.5537580277807647,0.3,9,350,100
2,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6375010996959951,0.3792142794303086,0.3059305383134085,0.5035532399487787,0.5564168483201533,0.5769738321228531,0.5687529936168757,0.5690462458822494,0.5520767147926218,0.5243643757148024,0.5542272314053626,0.3,9,350,100
3,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.625683033401433,0.3961153849913491,0.4445313340045552,0.5037976168365901,0.516827792494697,0.5571108786815379,0.5052541030879464,0.5576094075326732,0.5216957800999013,0.5360455909521901,0.5255178346252725,0.3,9,350,100
4,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.641763032619427,0.3881780236752329,0.3398402752661264,0.5679123371228043,0.5624382948358276,0.5453025874624882,0.49533240144280116,0.5350485332499193,0.49682798799620725,0.5440025024193312,0.571382488929727,0.3,9,350,100
