Trial,Combination,Clients,Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Noise Std,Corrupted Clients,Num Samples,Max Iter
1,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6111865964164573,0.3841115922620502,0.38504999951124624,0.48256615282353055,0.5362801927644891,0.5665438265510601,0.5726043733687842,0.5673747079696191,0.47440396477062785,0.5374238765994467,0.5519985141885221,1,9,350,10
2,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6222226566700227,0.38131592066548714,0.33983050019061395,0.5010996959951516,0.4623903969658166,0.5284992326565723,0.567970987575879,0.5567003255100146,0.49583093029393654,0.5420963626944019,0.5692906227700609,1,9,350,10
3,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6202383163409937,0.38757196899346047,0.3474550590903315,0.5357718888378413,0.4381775349214573,0.543230271453847,0.5490073410817099,0.5630345744420876,0.5243155003372401,0.5559183194690179,0.5489193654020977,1,9,350,10
4,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6120468030615537,0.3872982668791116,0.3705046871487082,0.5320769102941321,0.5600336262597628,0.5292421383955191,0.530669299420338,0.5500239489350055,0.5317934331042707,0.5474922043772789,0.5437776756825446,1,9,350,10
5,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.62579055923207,0.37111074183048065,0.36432683942483457,0.5305715486652134,0.5273946491236645,0.5195550385626729,0.5012560972033508,0.5707177837948798,0.5250877313027243,0.5344033782660971,0.5511383075434257,1,9,350,10
6,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6036597882718644,0.36100331375059874,0.35991828036871587,0.5224191356878232,0.5477561314161152,0.5291639377914195,0.5493592438001583,0.5596719484658019,0.5127124857039521,0.5490757666102971,0.5320573601431071,1,9,350,10
7,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6148815749601666,0.3999374395167203,0.3410621597051837,0.5709230603806414,0.39696581656093294,0.5421843383740139,0.40135482546602674,0.575585771400084,0.54077672750022,0.5230154152940831,0.5274630746522517,1,9,350,10
8,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6125062316106392,0.38539212715418225,0.3555879219166968,0.549329918573621,0.4322342890098826,0.5150976041289919,0.5350583083254318,0.5228785642369087,0.519985141885221,0.5415196332391667,0.5337288980557375,1,9,350,10
9,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6068757881154632,0.39572438197085075,0.34624294972678665,0.5461921193341218,0.43158913402606036,0.5543054320094623,0.5420670374678644,0.5731420025219695,0.5327611655800041,0.5553513650892953,0.5225755368960225,1,9,350,10
10,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6163967116645976,0.37795329468920147,0.3702505351853843,0.5440318276458685,0.5043352459897753,0.5481373593611011,0.5350876335519692,0.5629759239890129,0.4691645242959502,0.4985581763619124,0.5224484609143606,1,9,350,10
