Trial,Combination,Clients,Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Noise Std,Corrupted Clients,Num Samples,Max Iter
1,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6254386565136215,0.40142325099461396,0.3755584011886492,0.4951564500835769,0.5486749885142863,0.5796424277377543,0.5972766639622291,0.5823012482771429,0.4978054955474531,0.5737382821282294,0.5519985141885221,0.5,8,350,10
2,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6368363945611479,0.39989833921467044,0.36303652945719006,0.5192422361462742,0.5714802396848516,0.5567101005855271,0.5764655281962053,0.5680589632554911,0.5160360113781879,0.6097887606181758,0.5692906227700609,0.5,8,350,10
3,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6302284435147262,0.39621313574647365,0.3592731253848936,0.5375509525811087,0.43463895758594734,0.5568958270202637,0.5401608977429351,0.5882444941887176,0.5431813960762847,0.5771693336331023,0.5489193654020977,0.5,8,350,10
4,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6216263770637628,0.3967605399751713,0.39973216293095865,0.5511383075434257,0.5657911457366008,0.5192129109197369,0.5334454208658762,0.5401120223653728,0.5265442175540807,0.5811380142911604,0.5437776756825446,0.5,8,350,10
5,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6395929658556613,0.39052404179822287,0.3731635076880969,0.5257328862865466,0.5320573601431071,0.5394473172305256,0.522096558195912,0.5658693463407005,0.5293887645282059,0.5563581978670785,0.5511383075434257,0.5,8,350,10
6,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6248814772094115,0.371140067057018,0.3675526143439458,0.537003548352411,0.5361433417073147,0.5431911711517972,0.5571597540591001,0.5749112911897244,0.5094182852562537,0.5846570414756453,0.5320573601431071,0.5,8,350,10
7,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.630160017986139,0.41220515928485546,0.39036764059002355,0.5666122520796473,0.4098102657843032,0.5442371042316302,0.44352450122677195,0.5747939902835749,0.5504442771820413,0.5724675223116099,0.5274630746522517,0.5,8,350,10
8,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6250281033420984,0.3842582183947371,0.3882855495058699,0.5657715955855759,0.4905817147437464,0.546280095013734,0.5556543924301816,0.5413436818799425,0.5205911965669935,0.5902777098953089,0.5337288980557375,0.5,8,350,10
9,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6166313134768966,0.41022081895582646,0.3545419888368638,0.5365929951808878,0.43455098190633523,0.5674724587247436,0.5237192207309801,0.5847450171552575,0.5530346721928426,0.6022717275490953,0.5225755368960225,0.5,8,350,10
10,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6236889179968915,0.3942092452664197,0.40880343300652,0.5510503318638137,0.5626924467991515,0.5548430611626475,0.5441198033254807,0.5720960694421364,0.47735603757539025,0.5514022345822621,0.5224484609143606,0.5,8,350,10
11,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6173253438382812,0.3980508499428158,0.3738184377474316,0.5331717187515274,0.5090957077643424,0.5625751458930021,0.5328100409575663,0.5582447874409829,0.5461236938055346,0.5684695164270144,0.5444326057418793,0.5,8,350,10
12,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6258492096851448,0.41108102560092274,0.4020684059784362,0.5530737724948925,0.5480102833794391,0.5093596348031788,0.5365734450298628,0.5541588058767754,0.5511969579965005,0.5805417346849004,0.5239733726943041,0.5,8,350,10
13,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6237768936765037,0.3942385704929571,0.4088914086861321,0.5090566074622926,0.3947957497971672,0.5530346721928426,0.48720931369194825,0.575497795720472,0.5123214826834537,0.6003264875221161,0.5417737852024906,0.5,8,350,10
14,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6298863158717901,0.39965396232685896,0.3567902562047292,0.5173067711948075,0.539926295930636,0.5515390856394365,0.5331717187515274,0.5887527981153654,0.5328589163351287,0.571255412948065,0.5740022091670658,0.5,8,350,10
15,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6300524921555019,0.3886667774508558,0.4223419125912748,0.556475498773228,0.5322333115023313,0.544510806345979,0.5287631596954087,0.5298677432283164,0.5667882034388716,0.578293467317035,0.5523797421335079,0.5,8,350,10
16,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6279313007692985,0.40517687999139795,0.37932180526094567,0.5508743805045894,0.5551265383525088,0.5642564588811448,0.5311287279694236,0.5892806521930382,0.41895973646396417,0.5542272314053626,0.5297699924731919,0.5,8,350,10
17,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6361032638977137,0.39034809043899865,0.4017360534110126,0.5269840959521412,0.5559085443935055,0.5970029618478803,0.5503367513514041,0.5876091142804079,0.5071602428128758,0.5576094075326732,0.563171425499262,0.5,8,350,10
