Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6463157894736842,1,0.1,0,10,0.4494736842105263,0.42526315789473684,0.5905263157894737,0.6221052631578947,0.5663157894736842,0.5926315789473684,0.5968421052631578,0.5652631578947368,0.5747368421052632,0.5452631578947369
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6473684210526316,2,0.1,0,10,0.4189473684210526,0.4431578947368421,0.6031578947368421,0.5873684210526315,0.6052631578947368,0.5778947368421052,0.5452631578947369,0.5326315789473685,0.5894736842105263,0.5578947368421052
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6663157894736842,3,0.1,0,10,0.47157894736842104,0.43157894736842106,0.5873684210526315,0.49157894736842106,0.5705263157894737,0.6021052631578947,0.6357894736842106,0.5473684210526316,0.5431578947368421,0.5589473684210526
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6694736842105263,4,0.1,0,10,0.4431578947368421,0.4768421052631579,0.6263157894736842,0.588421052631579,0.5715789473684211,0.5557894736842105,0.5821052631578948,0.5831578947368421,0.6126315789473684,0.5673684210526316
0000000011,2,"[1, 2]",0.4557894736842105,5,0.1,0,10,0.4357894736842105,0.4473684210526316,0.5631578947368421,0.5242105263157895,0.6010526315789474,0.5936842105263158,0.64,0.5747368421052632,0.6010526315789474,0.5852631578947368
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6642105263157895,5,0.1,0,10,0.4357894736842105,0.4473684210526316,0.5631578947368421,0.5242105263157895,0.6010526315789474,0.5936842105263158,0.64,0.5747368421052632,0.6010526315789474,0.5852631578947368
0000000011,2,"[1, 2]",0.44105263157894736,6,0.1,0,10,0.4242105263157895,0.41157894736842104,0.6021052631578947,0.5736842105263158,0.5852631578947368,0.611578947368421,0.5926315789473684,0.5,0.5905263157894737,0.5631578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6705263157894736,6,0.1,0,10,0.4242105263157895,0.41157894736842104,0.6021052631578947,0.5736842105263158,0.5852631578947368,0.611578947368421,0.5926315789473684,0.5,0.5905263157894737,0.5631578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6610526315789473,7,0.1,0,10,0.4831578947368421,0.4052631578947368,0.5747368421052632,0.5242105263157895,0.6052631578947368,0.6157894736842106,0.5842105263157895,0.49894736842105264,0.5473684210526316,0.5494736842105263
0000000011,2,"[1, 2]",0.4568421052631579,8,0.1,0,10,0.44526315789473686,0.4010526315789474,0.5694736842105264,0.5747368421052632,0.5905263157894737,0.5673684210526316,0.5863157894736842,0.5842105263157895,0.5768421052631579,0.5578947368421052
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6578947368421053,8,0.1,0,10,0.44526315789473686,0.4010526315789474,0.5694736842105264,0.5747368421052632,0.5905263157894737,0.5673684210526316,0.5863157894736842,0.5842105263157895,0.5768421052631579,0.5578947368421052
0000000011,2,"[1, 2]",0.44526315789473686,9,0.1,0,10,0.44,0.4305263157894737,0.5642105263157895,0.6263157894736842,0.5989473684210527,0.5905263157894737,0.6210526315789474,0.5810526315789474,0.608421052631579,0.5926315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6863157894736842,9,0.1,0,10,0.44,0.4305263157894737,0.5642105263157895,0.6263157894736842,0.5989473684210527,0.5905263157894737,0.6210526315789474,0.5810526315789474,0.608421052631579,0.5926315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6652631578947369,10,0.1,0,10,0.46421052631578946,0.42736842105263156,0.6063157894736843,0.5578947368421052,0.5905263157894737,0.5673684210526316,0.6021052631578947,0.5842105263157895,0.5894736842105263,0.5505263157894736
0000000011,2,"[1, 2]",0.4652631578947368,11,0.1,0,10,0.4284210526315789,0.46,0.5842105263157895,0.5252631578947369,0.5947368421052631,0.5852631578947368,0.5936842105263158,0.5578947368421052,0.5863157894736842,0.56
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6578947368421053,11,0.1,0,10,0.4284210526315789,0.46,0.5842105263157895,0.5252631578947369,0.5947368421052631,0.5852631578947368,0.5936842105263158,0.5578947368421052,0.5863157894736842,0.56
0000000011,2,"[1, 2]",0.4473684210526316,12,0.1,0,10,0.4421052631578947,0.4189473684210526,0.6178947368421053,0.611578947368421,0.5610526315789474,0.5947368421052631,0.5821052631578948,0.5736842105263158,0.5452631578947369,0.5547368421052632
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6557894736842105,12,0.1,0,10,0.4421052631578947,0.4189473684210526,0.6178947368421053,0.611578947368421,0.5610526315789474,0.5947368421052631,0.5821052631578948,0.5736842105263158,0.5452631578947369,0.5547368421052632
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6642105263157895,13,0.1,0,10,0.4473684210526316,0.4231578947368421,0.5736842105263158,0.5357894736842105,0.6073684210526316,0.5831578947368421,0.5957894736842105,0.5757894736842105,0.611578947368421,0.5242105263157895
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6578947368421053,14,0.1,0,10,0.4515789473684211,0.4421052631578947,0.5957894736842105,0.4884210526315789,0.5821052631578948,0.5684210526315789,0.6042105263157894,0.5484210526315789,0.5810526315789474,0.5589473684210526
0000000011,2,"[1, 2]",0.4557894736842105,15,0.1,0,10,0.4473684210526316,0.43157894736842106,0.5968421052631578,0.5789473684210527,0.6073684210526316,0.5968421052631578,0.588421052631579,0.5936842105263158,0.5673684210526316,0.588421052631579
