Trial,Combination,Clients,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value,Global Accuracy,Max Iter
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8979370249728555,0.09939140945634443,0.8892508143322475,0.09748505462791189,0.8762214983713354,0.10117595247465357,0.9066232356134636,0.10094966361200111,0.8946796959826275,0.09970015554431118,0.8870792616720955,0.0998852157943066,0.9022801302931596,0.10035934483986424,0.8914223669923995,0.09632877944566275,0.9120521172638436,0.10235471599107951,0.9109663409337676,0.10236970821386394,0.9196525515743756,10
2,1111111101,"1,3,4,5,6,7,8,9,10",0.8925081433224755,0.09754109138724561,,,0.8892508143322475,0.09888090541936682,0.8935939196525515,0.09700525969756749,0.8990228013029316,0.09846999154691496,0.9044516829533116,0.10312247581478329,0.8870792616720955,0.0949868507560818,0.8946796959826275,0.09851883159575471,0.9131378935939196,0.10169343477035778,0.9055374592833876,0.10498638114022715,0.9196525515743756,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8925081433224755,0.09754109138724561,0.9174809989142236,0.10479477787170086,0.8892508143322475,0.09888090541936682,0.8935939196525515,0.09700525969756749,0.8990228013029316,0.09846999154691496,0.9044516829533116,0.10312247581478329,0.8870792616720955,0.0949868507560818,0.8946796959826275,0.09851883159575471,0.9131378935939196,0.10169343477035778,0.9055374592833876,0.10498638114022715,0.9174809989142236,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9131378935939196,0.10016177202588354,0.9055374592833876,0.09641935364931922,0.9218241042345277,0.10332807919915914,0.9011943539630836,0.0996667772800176,0.9109663409337676,0.09991243109710006,0.9185667752442996,0.10438489759047233,0.8990228013029316,0.09793060855778613,0.9044516829533116,0.09989537820548243,0.9196525515743756,0.10029865604778497,0.9098805646036916,0.09800204634699435,0.9348534201954397,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8783930510314875,0.10027906081601219,0.8957654723127035,0.09991064555152311,0.9011943539630836,0.09884938964038273,0.9207383279044516,0.104803145276586,0.8968512486427795,0.09808644011877264,0.9098805646036916,0.10093295208768652,0.8903365906623235,0.09633921698009472,0.9196525515743756,0.10376021848308178,0.9022801302931596,0.09776201473661071,0.9087947882736156,0.099276916309249,0.9402823018458197,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9142236699239956,0.10583979977297665,0.8686210640608035,0.09247520422784204,0.8946796959826275,0.09593358640838136,0.9142236699239956,0.1053811012486273,0.9098805646036916,0.10100764807681559,0.9033659066232356,0.09952315822773025,0.8870792616720955,0.09690634362381131,0.9120521172638436,0.10157008876235127,0.9131378935939196,0.10268752674966022,0.9022801302931596,0.09867554290180312,0.9261672095548317,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9272529858849077,0.10334852895406506,0.9087947882736156,0.09864704051555244,0.9283387622149837,0.10514591457498017,0.9272529858849077,0.1036030098313834,0.8914223669923995,0.09605096940737061,0.9087947882736156,0.09502480730854455,0.9098805646036916,0.09850194979952766,0.8935939196525515,0.09272349462660893,0.9326818675352877,0.10387762948316566,0.9261672095548317,0.10307665549880063,0.9413680781758957,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9022801302931596,0.0972636260443998,0.9055374592833876,0.10115418969463515,0.8925081433224755,0.09412810063454877,0.9174809989142236,0.10329276689182865,0.9044516829533116,0.101968775005117,0.8968512486427795,0.09649974878579819,0.9142236699239956,0.1036826141163771,0.9087947882736156,0.10073503414652281,0.9163952225841476,0.10150914605779758,0.9055374592833876,0.09976599862297388,0.9261672095548317,10
8,1111111110,"2,3,4,5,6,7,8,9,10",,,0.9207383279044516,0.10438404188404174,0.9033659066232356,0.09867401117401117,0.9033659066232356,0.09841038591038598,0.9011943539630836,0.09730454730454714,0.9142236699239956,0.10197811447811446,0.8859934853420195,0.09330253080253083,0.9109663409337676,0.1009897509897509,0.8903365906623235,0.09683418433418423,0.9077090119435396,0.10081030081030062,0.9261672095548317,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8946796959826275,0.09827261483105645,0.9011943539630836,0.09917355371900827,0.9011943539630836,0.10074164652086719,0.9055374592833876,0.10103258934427745,0.9001085776330076,0.0995001030715315,0.9022801302931596,0.09983414853544714,0.9066232356134636,0.10147813946515216,0.9011943539630836,0.09731264406589084,0.9109663409337676,0.10221978598601972,0.9055374592833876,0.10043477446074849,0.9196525515743756,10
