Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0000000011,2,"[1, 2]",0.7654723127035831,1,5,2,10,0.6829533116178067,0.760043431053203,0.9055374592833876,0.9001085776330076,0.9077090119435396,0.9163952225841476,0.9044516829533116,0.9131378935939196,0.9077090119435396,0.9001085776330076
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,1,5,2,10,0.6829533116178067,0.760043431053203,0.9055374592833876,0.9001085776330076,0.9077090119435396,0.9163952225841476,0.9044516829533116,0.9131378935939196,0.9077090119435396,0.9001085776330076
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,2,5,2,10,0.6514657980456026,0.7328990228013029,0.8925081433224755,0.8783930510314875,0.9196525515743756,0.8990228013029316,0.8859934853420195,0.9153094462540716,0.9022801302931596,0.8838219326818675
0000000011,2,"[1, 2]",0.7937024972855592,3,5,2,10,0.760043431053203,0.7155266015200868,0.8968512486427795,0.9163952225841476,0.9098805646036916,0.8914223669923995,0.8816503800217155,0.8816503800217155,0.8859934853420195,0.8990228013029316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,3,5,2,10,0.760043431053203,0.7155266015200868,0.8968512486427795,0.9163952225841476,0.9098805646036916,0.8914223669923995,0.8816503800217155,0.8816503800217155,0.8859934853420195,0.8990228013029316
0000000011,2,"[1, 2]",0.7850162866449512,4,5,2,10,0.7318132464712269,0.747014115092291,0.8805646036916395,0.9033659066232356,0.9066232356134636,0.8957654723127035,0.9077090119435396,0.9033659066232356,0.9120521172638436,0.9185667752442996
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9272529858849077,4,5,2,10,0.7318132464712269,0.747014115092291,0.8805646036916395,0.9033659066232356,0.9066232356134636,0.8957654723127035,0.9077090119435396,0.9033659066232356,0.9120521172638436,0.9185667752442996
1111101111,1006,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.9142236699239956,5,5,2,10,0.745928338762215,0.8099891422366993,0.8946796959826275,0.9033659066232356,0.9196525515743756,0.9022801302931596,0.8697068403908795,0.8881650380021715,0.8881650380021715,0.9098805646036916
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,6,5,2,10,0.756786102062975,0.7372421281216069,0.8773072747014115,0.9055374592833876,0.9044516829533116,0.8990228013029316,0.8827361563517915,0.8621064060803475,0.9109663409337676,0.9109663409337676
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9272529858849077,7,5,2,10,0.7795874049945711,0.756786102062975,0.9098805646036916,0.8686210640608035,0.8892508143322475,0.8849077090119435,0.8773072747014115,0.9077090119435396,0.8903365906623235,0.8816503800217155
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,8,5,2,10,0.7709011943539631,0.7252985884907709,0.8892508143322475,0.8903365906623235,0.8816503800217155,0.9022801302931596,0.9066232356134636,0.8914223669923995,0.8827361563517915,0.9022801302931596
0000000011,2,"[1, 2]",0.7285559174809989,9,5,2,10,0.6644951140065146,0.7003257328990228,0.8990228013029316,0.8979370249728555,0.8838219326818675,0.9163952225841476,0.9087947882736156,0.8957654723127035,0.8697068403908795,0.9120521172638436
0110011111,414,"[1, 2, 3, 4, 5, 8, 9]",0.9022801302931596,9,5,2,10,0.6644951140065146,0.7003257328990228,0.8990228013029316,0.8979370249728555,0.8838219326818675,0.9163952225841476,0.9087947882736156,0.8957654723127035,0.8697068403908795,0.9120521172638436
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,9,5,2,10,0.6644951140065146,0.7003257328990228,0.8990228013029316,0.8979370249728555,0.8838219326818675,0.9163952225841476,0.9087947882736156,0.8957654723127035,0.8697068403908795,0.9120521172638436
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9272529858849077,10,5,2,10,0.8338762214983714,0.7111834961997828,0.8979370249728555,0.9044516829533116,0.9044516829533116,0.9250814332247557,0.8903365906623235,0.8935939196525515,0.9098805646036916,0.8686210640608035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,11,5,2,10,0.8089033659066233,0.757871878393051,0.8794788273615635,0.9185667752442996,0.8925081433224755,0.8849077090119435,0.8968512486427795,0.9011943539630836,0.8935939196525515,0.9120521172638436
0000000011,2,"[1, 2]",0.8132464712269273,12,5,2,10,0.7643865363735071,0.754614549402823,0.9185667752442996,0.8946796959826275,0.8946796959826275,0.8957654723127035,0.8968512486427795,0.8935939196525515,0.9120521172638436,0.9022801302931596
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,12,5,2,10,0.7643865363735071,0.754614549402823,0.9185667752442996,0.8946796959826275,0.8946796959826275,0.8957654723127035,0.8968512486427795,0.8935939196525515,0.9120521172638436,0.9022801302931596
0000000011,2,"[1, 2]",0.758957654723127,13,5,2,10,0.7014115092290988,0.744842562432139,0.9022801302931596,0.8892508143322475,0.9120521172638436,0.8914223669923995,0.8990228013029316,0.9022801302931596,0.8762214983713354,0.9077090119435396
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,13,5,2,10,0.7014115092290988,0.744842562432139,0.9022801302931596,0.8892508143322475,0.9120521172638436,0.8914223669923995,0.8990228013029316,0.9022801302931596,0.8762214983713354,0.9077090119435396
0000000011,2,"[1, 2]",0.7861020629750272,14,5,2,10,0.750271444082519,0.7654723127035831,0.9055374592833876,0.8849077090119435,0.9109663409337676,0.9033659066232356,0.9066232356134636,0.8870792616720955,0.9066232356134636,0.8957654723127035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,14,5,2,10,0.750271444082519,0.7654723127035831,0.9055374592833876,0.8849077090119435,0.9109663409337676,0.9033659066232356,0.9066232356134636,0.8870792616720955,0.9066232356134636,0.8957654723127035
0000000011,2,"[1, 2]",0.8067318132464713,15,5,2,10,0.7698154180238871,0.760043431053203,0.8968512486427795,0.9087947882736156,0.9033659066232356,0.9011943539630836,0.8805646036916395,0.9163952225841476,0.8805646036916395,0.8979370249728555
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,15,5,2,10,0.7698154180238871,0.760043431053203,0.8968512486427795,0.9087947882736156,0.9033659066232356,0.9011943539630836,0.8805646036916395,0.9163952225841476,0.8805646036916395,0.8979370249728555
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9272529858849077,16,5,2,10,0.6677524429967426,0.7024972855591748,0.8794788273615635,0.9011943539630836,0.8925081433224755,0.9142236699239956,0.9022801302931596,0.9131378935939196,0.9055374592833876,0.8859934853420195
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.9109663409337676,17,5,2,10,0.8002171552660152,0.7850162866449512,0.8881650380021715,0.9011943539630836,0.9077090119435396,0.8957654723127035,0.8664495114006515,0.8990228013029316,0.9218241042345277,0.9033659066232356
