Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,12,4,3,10,0.6851248642779587,0.7263843648208469,0.6851248642779587,0.8773072747014115,0.9077090119435396,0.9011943539630836,0.8968512486427795,0.9077090119435396,0.8794788273615635,0.9077090119435396
0000000111,6,"[1, 2, 3]",0.8458197611292074,13,4,3,10,0.7893593919652552,0.6916395222584147,0.8425624321389794,0.8903365906623235,0.8990228013029316,0.8870792616720955,0.8957654723127035,0.8914223669923995,0.8914223669923995,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,13,4,3,10,0.7893593919652552,0.6916395222584147,0.8425624321389794,0.8903365906623235,0.8990228013029316,0.8870792616720955,0.8957654723127035,0.8914223669923995,0.8914223669923995,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,14,4,3,10,0.7372421281216069,0.7785016286644951,0.752442996742671,0.9022801302931596,0.8979370249728555,0.8903365906623235,0.8957654723127035,0.9120521172638436,0.8816503800217155,0.8979370249728555
0000000111,6,"[1, 2, 3]",0.7687296416938111,15,4,3,10,0.7242128121606949,0.748099891422367,0.6264929424538545,0.8816503800217155,0.8935939196525515,0.8979370249728555,0.8914223669923995,0.9120521172638436,0.8990228013029316,0.8686210640608035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,15,4,3,10,0.7242128121606949,0.748099891422367,0.6264929424538545,0.8816503800217155,0.8935939196525515,0.8979370249728555,0.8914223669923995,0.9120521172638436,0.8990228013029316,0.8686210640608035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,16,4,3,10,0.8045602605863192,0.7263843648208469,0.742671009771987,0.9066232356134636,0.8827361563517915,0.8859934853420195,0.8751357220412594,0.9185667752442996,0.8990228013029316,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,17,4,3,10,0.7654723127035831,0.752442996742671,0.8056460369163952,0.9044516829533116,0.9033659066232356,0.8903365906623235,0.9174809989142236,0.8675352877307275,0.8794788273615635,0.8794788273615635
0000000111,6,"[1, 2, 3]",0.8165038002171553,18,4,3,10,0.6644951140065146,0.740499457111835,0.7350705754614549,0.8903365906623235,0.9120521172638436,0.9033659066232356,0.9077090119435396,0.9033659066232356,0.8946796959826275,0.8925081433224755
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,18,4,3,10,0.6644951140065146,0.740499457111835,0.7350705754614549,0.8903365906623235,0.9120521172638436,0.9033659066232356,0.9077090119435396,0.9033659066232356,0.8946796959826275,0.8925081433224755
