Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,1,0.5,3,10,0.8371335504885994,0.8110749185667753,0.8306188925081434,0.8925081433224755,0.8935939196525515,0.9055374592833876,0.9174809989142236,0.8903365906623235,0.8805646036916395,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9283387622149837,2,0.5,3,10,0.8479913137893594,0.8143322475570033,0.8469055374592834,0.8805646036916395,0.8751357220412594,0.8979370249728555,0.8968512486427795,0.8914223669923995,0.8925081433224755,0.9174809989142236
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9294245385450597,3,0.5,3,10,0.8545059717698155,0.7969598262757872,0.7861020629750272,0.8718783930510315,0.8773072747014115,0.8631921824104235,0.8903365906623235,0.8762214983713354,0.9011943539630836,0.8990228013029316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9283387622149837,4,0.5,3,10,0.8099891422366993,0.8686210640608035,0.8414766558089034,0.9142236699239956,0.9066232356134636,0.9120521172638436,0.9001085776330076,0.9163952225841476,0.8675352877307275,0.9022801302931596
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9283387622149837,6,0.5,3,10,0.8099891422366993,0.8686210640608035,0.8414766558089034,0.9142236699239956,0.9066232356134636,0.9120521172638436,0.9001085776330076,0.9163952225841476,0.8675352877307275,0.9022801302931596
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,7,0.5,3,10,0.8262757871878393,0.8523344191096635,0.8425624321389794,0.9055374592833876,0.9087947882736156,0.8686210640608035,0.8903365906623235,0.9185667752442996,0.8707926167209555,0.8925081433224755
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,8,0.5,3,10,0.8555917480998915,0.8056460369163952,0.8783930510314875,0.9001085776330076,0.9044516829533116,0.9033659066232356,0.8762214983713354,0.8979370249728555,0.9087947882736156,0.8892508143322475
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,10,0.5,3,10,0.8154180238870793,0.8631921824104235,0.7774158523344191,0.8555917480998915,0.9055374592833876,0.8925081433224755,0.9022801302931596,0.9120521172638436,0.8968512486427795,0.8783930510314875
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9294245385450597,11,0.5,3,10,0.8121606948968513,0.7958740499457112,0.8935939196525515,0.9055374592833876,0.8805646036916395,0.9011943539630836,0.8914223669923995,0.8794788273615635,0.8783930510314875,0.9153094462540716
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9283387622149837,12,0.5,3,10,0.7643865363735071,0.8349619978284474,0.8295331161780674,0.9109663409337676,0.9044516829533116,0.8957654723127035,0.8968512486427795,0.9033659066232356,0.8783930510314875,0.9033659066232356
