Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy (low-quality client),Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,2,0.7,7,10,0.8002171552660152,0.8099891422366993,0.7969598262757872,0.7176981541802389,0.8469055374592834,0.8284473398479913,0.8566775244299675,0.8870792616720955,0.8827361563517915,0.9077090119435396
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9066232356134636,3,0.7,7,10,0.8403908794788274,0.8469055374592834,0.8360477741585234,0.8154180238870793,0.8284473398479913,0.7980456026058632,0.8241042345276873,0.8935939196525515,0.8718783930510315,0.8729641693811075
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,4,0.7,7,10,0.7741585233441911,0.8023887079261672,0.7991313789359392,0.8230184581976113,0.8447339847991314,0.8469055374592834,0.8175895765472313,0.9022801302931596,0.9098805646036916,0.8827361563517915
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,5,0.7,7,10,0.8273615635179153,0.8371335504885994,0.8034744842562432,0.751357220412595,0.8686210640608035,0.8067318132464713,0.8469055374592834,0.8903365906623235,0.8783930510314875,0.9098805646036916
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8642779587404995,6,0.7,7,10,0.761129207383279,0.8327904451682954,0.8132464712269273,0.744842562432139,0.8403908794788274,0.8599348534201955,0.7741585233441911,0.9087947882736156,0.9011943539630836,0.9066232356134636
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9033659066232356,7,0.7,7,10,0.8251900108577633,0.7654723127035831,0.8534201954397395,0.8034744842562432,0.8186753528773073,0.8458197611292074,0.8262757871878393,0.8870792616720955,0.8859934853420195,0.8697068403908795
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.9022801302931596,9,0.7,7,10,0.8262757871878393,0.8262757871878393,0.8425624321389794,0.8219326818675353,0.8306188925081434,0.7828447339847991,0.8186753528773073,0.8762214983713354,0.9163952225841476,0.8946796959826275
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9098805646036916,10,0.7,7,10,0.8306188925081434,0.8099891422366993,0.8382193268186754,0.8078175895765473,0.8284473398479913,0.8034744842562432,0.8338762214983714,0.9066232356134636,0.8849077090119435,0.8946796959826275
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,11,0.7,7,10,0.8132464712269273,0.8197611292073833,0.8208469055374593,0.8110749185667753,0.8284473398479913,0.8067318132464713,0.8273615635179153,0.8859934853420195,0.8729641693811075,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9066232356134636,12,0.7,7,10,0.8132464712269273,0.8067318132464713,0.8013029315960912,0.8067318132464713,0.8132464712269273,0.8338762214983714,0.8295331161780674,0.8794788273615635,0.8870792616720955,0.8610206297502715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9066232356134636,13,0.7,7,10,0.7969598262757872,0.8165038002171553,0.8599348534201955,0.8295331161780674,0.8490770901194354,0.8078175895765473,0.8414766558089034,0.8892508143322475,0.8903365906623235,0.8968512486427795
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8979370249728555,14,0.7,7,10,0.8371335504885994,0.8317046688382194,0.8208469055374593,0.8306188925081434,0.7926167209554832,0.7893593919652552,0.7871878393051032,0.8946796959826275,0.8751357220412594,0.9087947882736156
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,15,0.7,7,10,0.8110749185667753,0.7947882736156352,0.8425624321389794,0.8165038002171553,0.8349619978284474,0.8067318132464713,0.8588490770901195,0.9044516829533116,0.8903365906623235,0.9098805646036916
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,16,0.7,7,10,0.7654723127035831,0.8143322475570033,0.8295331161780674,0.7882736156351792,0.8197611292073833,0.8045602605863192,0.8447339847991314,0.9066232356134636,0.8751357220412594,0.8881650380021715
