Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,1,0.1,2,10,0.8469055374592834,0.8371335504885994,0.8707926167209555,0.9011943539630836,0.8859934853420195,0.9044516829533116,0.8849077090119435,0.8783930510314875,0.8859934853420195,0.9055374592833876
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,2,0.1,2,10,0.8295331161780674,0.8295331161780674,0.8946796959826275,0.8979370249728555,0.8914223669923995,0.9174809989142236,0.8892508143322475,0.9066232356134636,0.8946796959826275,0.8903365906623235
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,3,0.1,2,10,0.8186753528773073,0.8273615635179153,0.8740499457111836,0.8870792616720955,0.8946796959826275,0.8870792616720955,0.9120521172638436,0.8827361563517915,0.9087947882736156,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,4,0.1,2,10,0.8143322475570033,0.8414766558089034,0.8957654723127035,0.8816503800217155,0.9163952225841476,0.9055374592833876,0.9044516829533116,0.9077090119435396,0.8881650380021715,0.9044516829533116
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,5,0.1,2,10,0.8577633007600435,0.8230184581976113,0.8838219326818675,0.9131378935939196,0.8773072747014115,0.8946796959826275,0.9055374592833876,0.9044516829533116,0.8946796959826275,0.8979370249728555
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,6,0.1,2,10,0.8273615635179153,0.8132464712269273,0.8979370249728555,0.9011943539630836,0.9087947882736156,0.9066232356134636,0.8903365906623235,0.8903365906623235,0.9098805646036916,0.9033659066232356
0000000011,2,"[1, 2]",0.8165038002171553,7,0.1,2,10,0.8034744842562432,0.7980456026058632,0.9131378935939196,0.9001085776330076,0.8740499457111836,0.9174809989142236,0.8838219326818675,0.9087947882736156,0.8968512486427795,0.8968512486427795
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,7,0.1,2,10,0.8034744842562432,0.7980456026058632,0.9131378935939196,0.9001085776330076,0.8740499457111836,0.9174809989142236,0.8838219326818675,0.9087947882736156,0.8968512486427795,0.8968512486427795
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,8,0.1,2,10,0.8382193268186754,0.8143322475570033,0.8827361563517915,0.8925081433224755,0.8870792616720955,0.8859934853420195,0.9109663409337676,0.9087947882736156,0.8881650380021715,0.8794788273615635
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9283387622149837,9,0.1,2,10,0.8436482084690554,0.8697068403908795,0.8751357220412594,0.9033659066232356,0.8794788273615635,0.8914223669923995,0.9055374592833876,0.9066232356134636,0.8621064060803475,0.8805646036916395
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,10,0.1,2,10,0.8208469055374593,0.8458197611292074,0.8968512486427795,0.9001085776330076,0.9044516829533116,0.9033659066232356,0.8762214983713354,0.8979370249728555,0.9087947882736156,0.8892508143322475
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9294245385450597,11,0.1,2,10,0.8545059717698155,0.8067318132464713,0.9066232356134636,0.8740499457111836,0.8859934853420195,0.9044516829533116,0.9066232356134636,0.8816503800217155,0.8946796959826275,0.8870792616720955
1111101111,1006,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.9153094462540716,12,0.1,2,10,0.7730727470141151,0.8382193268186754,0.9066232356134636,0.8849077090119435,0.9239956568946797,0.8935939196525515,0.8707926167209555,0.9120521172638436,0.8859934853420195,0.9011943539630836
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9294245385450597,13,0.1,2,10,0.8175895765472313,0.8729641693811075,0.8859934853420195,0.8990228013029316,0.9077090119435396,0.9033659066232356,0.8653637350705755,0.9022801302931596,0.8990228013029316,0.8968512486427795
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,14,0.1,2,10,0.8045602605863192,0.8262757871878393,0.9098805646036916,0.8794788273615635,0.8946796959826275,0.8881650380021715,0.8935939196525515,0.8773072747014115,0.8957654723127035,0.8903365906623235
