Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy (low-quality client),Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,2,4,7,10,0.8110749185667753,0.7947882736156352,0.7155266015200868,0.754614549402823,0.739413680781759,0.8338762214983714,0.8219326818675353,0.9033659066232356,0.9001085776330076,0.8957654723127035
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8534201954397395,3,4,7,10,0.8023887079261672,0.7676438653637351,0.761129207383279,0.752442996742671,0.7871878393051032,0.6558089033659066,0.7643865363735071,0.9044516829533116,0.9142236699239956,0.8762214983713354
0000001001,8,"[1, 4]",0.6753528773072747,4,4,7,10,0.5928338762214984,0.8013029315960912,0.7741585233441911,0.6579804560260586,0.8110749185667753,0.7991313789359392,0.752442996742671,0.8979370249728555,0.9001085776330076,0.8990228013029316
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8349619978284474,4,4,7,10,0.5928338762214984,0.8013029315960912,0.7741585233441911,0.6579804560260586,0.8110749185667753,0.7991313789359392,0.752442996742671,0.8979370249728555,0.9001085776330076,0.8990228013029316
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8403908794788274,5,4,7,10,0.7263843648208469,0.745928338762215,0.7676438653637351,0.6894679695982627,0.7882736156351792,0.7133550488599348,0.6210640608034745,0.8979370249728555,0.9022801302931596,0.8707926167209555
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8414766558089034,6,4,7,10,0.7828447339847991,0.7231270358306189,0.7090119435396308,0.8089033659066233,0.8110749185667753,0.7144408251900108,0.7144408251900108,0.9044516829533116,0.8968512486427795,0.8870792616720955
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9066232356134636,6,4,7,10,0.7828447339847991,0.7231270358306189,0.7090119435396308,0.8089033659066233,0.8110749185667753,0.7144408251900108,0.7144408251900108,0.9044516829533116,0.8968512486427795,0.8870792616720955
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8718783930510315,7,4,7,10,0.753528773072747,0.7730727470141151,0.7795874049945711,0.7252985884907709,0.8447339847991314,0.7111834961997828,0.6558089033659066,0.9022801302931596,0.9077090119435396,0.8979370249728555
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9098805646036916,7,4,7,10,0.753528773072747,0.7730727470141151,0.7795874049945711,0.7252985884907709,0.8447339847991314,0.7111834961997828,0.6558089033659066,0.9022801302931596,0.9077090119435396,0.8979370249728555
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8393051031487514,8,4,7,10,0.7828447339847991,0.739413680781759,0.7328990228013029,0.7090119435396308,0.758957654723127,0.762214983713355,0.7155266015200868,0.9239956568946797,0.8903365906623235,0.9011943539630836
