Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0000001111,14,"[1, 2, 3, 4]",0.8067318132464713,1,5,4,10,0.7079261672095548,0.6959826275787188,0.6840390879478827,0.745928338762215,0.9142236699239956,0.8935939196525515,0.8935939196525515,0.9120521172638436,0.9033659066232356,0.9142236699239956
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,1,5,4,10,0.7079261672095548,0.6959826275787188,0.6840390879478827,0.745928338762215,0.9142236699239956,0.8935939196525515,0.8935939196525515,0.9120521172638436,0.9033659066232356,0.9142236699239956
0000001111,14,"[1, 2, 3, 4]",0.8230184581976113,2,5,4,10,0.7871878393051032,0.7687296416938111,0.6742671009771987,0.7133550488599348,0.9022801302931596,0.8838219326818675,0.8838219326818675,0.8914223669923995,0.8707926167209555,0.9001085776330076
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9044516829533116,2,5,4,10,0.7871878393051032,0.7687296416938111,0.6742671009771987,0.7133550488599348,0.9022801302931596,0.8838219326818675,0.8838219326818675,0.8914223669923995,0.8707926167209555,0.9001085776330076
0000001111,14,"[1, 2, 3, 4]",0.8566775244299675,3,5,4,10,0.7166123778501629,0.7774158523344191,0.7155266015200868,0.7372421281216069,0.8914223669923995,0.8925081433224755,0.8783930510314875,0.9066232356134636,0.9109663409337676,0.9001085776330076
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,3,5,4,10,0.7166123778501629,0.7774158523344191,0.7155266015200868,0.7372421281216069,0.8914223669923995,0.8925081433224755,0.8783930510314875,0.9066232356134636,0.9109663409337676,0.9001085776330076
0000001111,14,"[1, 2, 3, 4]",0.758957654723127,4,5,4,10,0.6112920738327905,0.6612377850162866,0.6666666666666666,0.7133550488599348,0.9066232356134636,0.8870792616720955,0.9174809989142236,0.8838219326818675,0.8762214983713354,0.8675352877307275
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,4,5,4,10,0.6112920738327905,0.6612377850162866,0.6666666666666666,0.7133550488599348,0.9066232356134636,0.8870792616720955,0.9174809989142236,0.8838219326818675,0.8762214983713354,0.8675352877307275
0000001111,14,"[1, 2, 3, 4]",0.8458197611292074,5,5,4,10,0.7252985884907709,0.8121606948968513,0.7795874049945711,0.7741585233441911,0.8903365906623235,0.9011943539630836,0.9196525515743756,0.8935939196525515,0.8914223669923995,0.9077090119435396
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.9087947882736156,5,5,4,10,0.7252985884907709,0.8121606948968513,0.7795874049945711,0.7741585233441911,0.8903365906623235,0.9011943539630836,0.9196525515743756,0.8935939196525515,0.8914223669923995,0.9077090119435396
1000001111,526,"[1, 2, 3, 4, 10]",0.8697068403908795,6,5,4,10,0.743756786102063,0.7980456026058632,0.7024972855591748,0.7828447339847991,0.9109663409337676,0.9066232356134636,0.9001085776330076,0.9239956568946797,0.8968512486427795,0.8664495114006515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,7,5,4,10,0.7263843648208469,0.7709011943539631,0.8393051031487514,0.7296416938110749,0.8881650380021715,0.8935939196525515,0.8935939196525515,0.9196525515743756,0.8946796959826275,0.8957654723127035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9272529858849077,8,5,4,10,0.7665580890336591,0.749185667752443,0.761129207383279,0.7806731813246471,0.8925081433224755,0.9022801302931596,0.8805646036916395,0.9163952225841476,0.9131378935939196,0.9022801302931596
0000001111,14,"[1, 2, 3, 4]",0.8002171552660152,9,5,4,10,0.756786102062975,0.6731813246471227,0.756786102062975,0.758957654723127,0.9153094462540716,0.8903365906623235,0.8968512486427795,0.8903365906623235,0.9011943539630836,0.8783930510314875
1011101111,750,"[1, 2, 3, 4, 6, 7, 8, 10]",0.8979370249728555,9,5,4,10,0.756786102062975,0.6731813246471227,0.756786102062975,0.758957654723127,0.9153094462540716,0.8903365906623235,0.8968512486427795,0.8903365906623235,0.9011943539630836,0.8783930510314875
0000001110,13,"[2, 3, 4]",0.8143322475570033,10,5,4,10,0.8349619978284474,0.7285559174809989,0.7861020629750272,0.757871878393051,0.8968512486427795,0.8892508143322475,0.9131378935939196,0.9011943539630836,0.9174809989142236,0.8925081433224755
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,10,5,4,10,0.8349619978284474,0.7285559174809989,0.7861020629750272,0.757871878393051,0.8968512486427795,0.8892508143322475,0.9131378935939196,0.9011943539630836,0.9174809989142236,0.8925081433224755
0000001111,14,"[1, 2, 3, 4]",0.7339847991313789,11,5,4,10,0.6677524429967426,0.6764386536373507,0.6449511400651465,0.6395222584147665,0.9011943539630836,0.8794788273615635,0.8935939196525515,0.8881650380021715,0.9131378935939196,0.9109663409337676
0000001111,14,"[1, 2, 3, 4]",0.8034744842562432,12,5,4,10,0.6731813246471227,0.7947882736156352,0.6807817589576547,0.7252985884907709,0.9066232356134636,0.8675352877307275,0.9011943539630836,0.8881650380021715,0.8631921824104235,0.8881650380021715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,12,5,4,10,0.6731813246471227,0.7947882736156352,0.6807817589576547,0.7252985884907709,0.9066232356134636,0.8675352877307275,0.9011943539630836,0.8881650380021715,0.8631921824104235,0.8881650380021715
0000001111,14,"[1, 2, 3, 4]",0.8208469055374593,13,5,4,10,0.7633007600434311,0.7166123778501629,0.760043431053203,0.6862106406080347,0.9098805646036916,0.9153094462540716,0.8903365906623235,0.8729641693811075,0.8838219326818675,0.8957654723127035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,13,5,4,10,0.7633007600434311,0.7166123778501629,0.760043431053203,0.6862106406080347,0.9098805646036916,0.9153094462540716,0.8903365906623235,0.8729641693811075,0.8838219326818675,0.8957654723127035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,14,5,4,10,0.760043431053203,0.6514657980456026,0.6970684039087948,0.7100977198697068,0.9044516829533116,0.8718783930510315,0.9174809989142236,0.8827361563517915,0.9011943539630836,0.8729641693811075
