Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy (low-quality client),Client 8 Accuracy (low-quality client),Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,1,2,8,10,0.7958740499457112,0.8034744842562432,0.8230184581976113,0.8382193268186754,0.8056460369163952,0.6829533116178067,0.7850162866449512,0.762214983713355,0.8805646036916395,0.8946796959826275
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8946796959826275,2,2,8,10,0.7958740499457112,0.7926167209554832,0.7307274701411509,0.8577633007600435,0.8186753528773073,0.8089033659066233,0.7144408251900108,0.8610206297502715,0.8892508143322475,0.9022801302931596
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8870792616720955,3,2,8,10,0.8501628664495114,0.8512486427795874,0.7947882736156352,0.756786102062975,0.7937024972855592,0.756786102062975,0.7904451682953312,0.7372421281216069,0.9033659066232356,0.9087947882736156
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8566775244299675,4,2,8,10,0.7633007600434311,0.7850162866449512,0.7687296416938111,0.7719869706840391,0.7893593919652552,0.7980456026058632,0.8230184581976113,0.7698154180238871,0.8892508143322475,0.8870792616720955
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8707926167209555,5,2,8,10,0.7991313789359392,0.7155266015200868,0.8610206297502715,0.7752442996742671,0.751357220412595,0.7741585233441911,0.7871878393051032,0.8099891422366993,0.9087947882736156,0.8903365906623235
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.9001085776330076,6,2,8,10,0.7068403908794788,0.7947882736156352,0.7958740499457112,0.8023887079261672,0.7806731813246471,0.7806731813246471,0.8241042345276873,0.7719869706840391,0.9218241042345277,0.8859934853420195
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,7,2,8,10,0.7654723127035831,0.7882736156351792,0.8447339847991314,0.6938110749185668,0.8132464712269273,0.8154180238870793,0.7774158523344191,0.7915309446254072,0.8762214983713354,0.8881650380021715
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.8957654723127035,8,2,8,10,0.7709011943539631,0.8588490770901195,0.8251900108577633,0.7687296416938111,0.740499457111835,0.7991313789359392,0.8045602605863192,0.8382193268186754,0.9044516829533116,0.8859934853420195
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8783930510314875,9,2,8,10,0.8241042345276873,0.7958740499457112,0.7046688382193268,0.7709011943539631,0.7817589576547231,0.7991313789359392,0.8154180238870793,0.8241042345276873,0.9011943539630836,0.9066232356134636
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8968512486427795,10,2,8,10,0.7850162866449512,0.7850162866449512,0.6395222584147665,0.7220412595005429,0.7893593919652552,0.7730727470141151,0.7785016286644951,0.753528773072747,0.8642779587404995,0.8849077090119435
