Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,2,0.5,4,10,0.8089033659066233,0.8447339847991314,0.8023887079261672,0.7991313789359392,0.8979370249728555,0.9044516829533116,0.8946796959826275,0.9077090119435396,0.8707926167209555,0.9109663409337676
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,3,0.5,4,10,0.8403908794788274,0.8317046688382194,0.8371335504885994,0.8208469055374593,0.8903365906623235,0.9011943539630836,0.9196525515743756,0.8935939196525515,0.8914223669923995,0.9077090119435396
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,4,0.5,4,10,0.8251900108577633,0.8393051031487514,0.8317046688382194,0.8099891422366993,0.9163952225841476,0.8914223669923995,0.9044516829533116,0.9098805646036916,0.8957654723127035,0.8859934853420195
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,5,0.5,4,10,0.8653637350705755,0.7817589576547231,0.7741585233441911,0.8186753528773073,0.8979370249728555,0.8577633007600435,0.9044516829533116,0.8849077090119435,0.8957654723127035,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,6,0.5,4,10,0.8555917480998915,0.8783930510314875,0.8121606948968513,0.7709011943539631,0.9087947882736156,0.8849077090119435,0.8968512486427795,0.8740499457111836,0.8859934853420195,0.8903365906623235
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,7,0.5,4,10,0.8023887079261672,0.8089033659066233,0.8110749185667753,0.8013029315960912,0.8762214983713354,0.8773072747014115,0.8914223669923995,0.8903365906623235,0.9131378935939196,0.9163952225841476
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,8,0.5,4,10,0.8414766558089034,0.8566775244299675,0.8262757871878393,0.8219326818675353,0.8881650380021715,0.8957654723127035,0.8957654723127035,0.9066232356134636,0.8968512486427795,0.8914223669923995
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,9,0.5,4,10,0.8534201954397395,0.8729641693811075,0.8067318132464713,0.7947882736156352,0.8827361563517915,0.8914223669923995,0.9044516829533116,0.9022801302931596,0.9011943539630836,0.9142236699239956
1010101111,686,"[1, 2, 3, 4, 6, 8, 10]",0.8925081433224755,10,0.5,4,10,0.7709011943539631,0.7698154180238871,0.8393051031487514,0.8208469055374593,0.9153094462540716,0.8762214983713354,0.9163952225841476,0.8599348534201955,0.9087947882736156,0.8816503800217155
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,11,0.5,4,10,0.8197611292073833,0.8241042345276873,0.8262757871878393,0.8165038002171553,0.8610206297502715,0.9055374592833876,0.8914223669923995,0.9120521172638436,0.9153094462540716,0.8990228013029316
