Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,1,0.7,5,10,0.8284473398479913,0.8338762214983714,0.8295331161780674,0.8208469055374593,0.8208469055374593,0.9022801302931596,0.9098805646036916,0.9055374592833876,0.8979370249728555,0.8805646036916395
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.9077090119435396,2,0.7,5,10,0.8577633007600435,0.8577633007600435,0.8284473398479913,0.7958740499457112,0.8186753528773073,0.8925081433224755,0.9229098805646037,0.8935939196525515,0.9001085776330076,0.8946796959826275
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,3,0.7,5,10,0.8490770901194354,0.7980456026058632,0.7698154180238871,0.8436482084690554,0.8479913137893594,0.9109663409337676,0.8783930510314875,0.8957654723127035,0.8642779587404995,0.9066232356134636
0010111111,190,"[1, 2, 3, 4, 5, 6, 8]",0.8979370249728555,4,0.7,5,10,0.8425624321389794,0.7904451682953312,0.8186753528773073,0.8121606948968513,0.8805646036916395,0.8773072747014115,0.9098805646036916,0.8914223669923995,0.9077090119435396,0.9055374592833876
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,4,0.7,5,10,0.8425624321389794,0.7904451682953312,0.8186753528773073,0.8121606948968513,0.8805646036916395,0.8773072747014115,0.9098805646036916,0.8914223669923995,0.9077090119435396,0.9055374592833876
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,5,0.7,5,10,0.8175895765472313,0.8023887079261672,0.8078175895765473,0.7871878393051032,0.8458197611292074,0.8914223669923995,0.9044516829533116,0.9022801302931596,0.9011943539630836,0.9142236699239956
0001011111,94,"[1, 2, 3, 4, 5, 7]",0.8870792616720955,6,0.7,5,10,0.8132464712269273,0.8230184581976113,0.8154180238870793,0.7947882736156352,0.7850162866449512,0.9120521172638436,0.8827361563517915,0.9142236699239956,0.9153094462540716,0.8990228013029316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,6,0.7,5,10,0.8132464712269273,0.8230184581976113,0.8154180238870793,0.7947882736156352,0.7850162866449512,0.9120521172638436,0.8827361563517915,0.9142236699239956,0.9153094462540716,0.8990228013029316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,7,0.7,5,10,0.7915309446254072,0.8545059717698155,0.8002171552660152,0.7915309446254072,0.8230184581976113,0.8957654723127035,0.9001085776330076,0.8990228013029316,0.8925081433224755,0.9011943539630836
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,8,0.7,5,10,0.7654723127035831,0.8143322475570033,0.8295331161780674,0.7882736156351792,0.8197611292073833,0.8968512486427795,0.8849077090119435,0.9066232356134636,0.8751357220412594,0.8881650380021715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,9,0.7,5,10,0.8110749185667753,0.7947882736156352,0.8425624321389794,0.8165038002171553,0.8349619978284474,0.9022801302931596,0.8957654723127035,0.9044516829533116,0.8903365906623235,0.9098805646036916
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,10,0.7,5,10,0.8165038002171553,0.8262757871878393,0.8555917480998915,0.8034744842562432,0.8132464712269273,0.9120521172638436,0.9055374592833876,0.8990228013029316,0.8946796959826275,0.9066232356134636
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.9153094462540716,11,0.7,5,10,0.8013029315960912,0.8555917480998915,0.8512486427795874,0.7752442996742671,0.8653637350705755,0.8903365906623235,0.9250814332247557,0.8751357220412594,0.9066232356134636,0.8957654723127035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,12,0.7,5,10,0.8306188925081434,0.8284473398479913,0.8295331161780674,0.8881650380021715,0.8262757871878393,0.8957654723127035,0.9174809989142236,0.8979370249728555,0.9033659066232356,0.8870792616720955
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,13,0.7,5,10,0.8110749185667753,0.8154180238870793,0.7654723127035831,0.8241042345276873,0.7372421281216069,0.9153094462540716,0.9033659066232356,0.8729641693811075,0.8979370249728555,0.8881650380021715
0000011111,30,"[1, 2, 3, 4, 5]",0.8631921824104235,14,0.7,5,10,0.8002171552660152,0.8317046688382194,0.7361563517915309,0.751357220412595,0.8089033659066233,0.9077090119435396,0.9087947882736156,0.9087947882736156,0.9066232356134636,0.9163952225841476
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,15,0.7,5,10,0.8382193268186754,0.7947882736156352,0.7719869706840391,0.8599348534201955,0.8045602605863192,0.9098805646036916,0.8783930510314875,0.8838219326818675,0.9011943539630836,0.8838219326818675
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9283387622149837,16,0.7,5,10,0.742671009771987,0.8186753528773073,0.8621064060803475,0.8512486427795874,0.8002171552660152,0.9131378935939196,0.9055374592833876,0.9098805646036916,0.8892508143322475,0.8816503800217155
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,17,0.7,5,10,0.8110749185667753,0.8306188925081434,0.757871878393051,0.7947882736156352,0.8208469055374593,0.9055374592833876,0.8914223669923995,0.9033659066232356,0.9022801302931596,0.9055374592833876
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8968512486427795,18,0.7,5,10,0.7741585233441911,0.8349619978284474,0.8045602605863192,0.8371335504885994,0.8501628664495114,0.8903365906623235,0.8957654723127035,0.8881650380021715,0.9131378935939196,0.9066232356134636
0110111111,446,"[1, 2, 3, 4, 5, 6, 8, 9]",0.8990228013029316,19,0.7,5,10,0.8327904451682954,0.8034744842562432,0.8175895765472313,0.8089033659066233,0.8067318132464713,0.8979370249728555,0.9142236699239956,0.8968512486427795,0.8816503800217155,0.9120521172638436
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,20,0.7,5,10,0.8219326818675353,0.8056460369163952,0.7980456026058632,0.8588490770901195,0.8023887079261672,0.8740499457111836,0.8892508143322475,0.8838219326818675,0.9044516829533116,0.8935939196525515
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9098805646036916,22,0.7,5,10,0.7980456026058632,0.8034744842562432,0.7969598262757872,0.8154180238870793,0.8251900108577633,0.8664495114006515,0.8794788273615635,0.9011943539630836,0.9066232356134636,0.9153094462540716
