Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy (low-quality client),Client 8 Accuracy (low-quality client),Client 9 Accuracy (low-quality client),Client 10 Accuracy
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8241042345276873,14,5,9,100,0.7090119435396308,0.7068403908794788,0.7003257328990228,0.758957654723127,0.6449511400651465,0.7850162866449512,0.6829533116178067,0.740499457111835,0.7111834961997828,0.8935939196525515
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8327904451682954,15,5,9,100,0.7980456026058632,0.7014115092290988,0.6471226927252985,0.6286644951140065,0.6416938110749185,0.6080347448425625,0.7882736156351792,0.7893593919652552,0.8045602605863192,0.8794788273615635
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8642779587404995,16,5,9,100,0.753528773072747,0.7719869706840391,0.7763300760043431,0.6297502714440825,0.8262757871878393,0.7318132464712269,0.754614549402823,0.7350705754614549,0.7122692725298588,0.9055374592833876
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8501628664495114,17,5,9,100,0.747014115092291,0.7893593919652552,0.7307274701411509,0.758957654723127,0.743756786102063,0.7198697068403909,0.7079261672095548,0.748099891422367,0.751357220412595,0.8968512486427795
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8110749185667753,18,5,9,100,0.748099891422367,0.6753528773072747,0.7144408251900108,0.761129207383279,0.7198697068403909,0.7024972855591748,0.7209554831704669,0.7654723127035831,0.745928338762215,0.9044516829533116
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8849077090119435,19,5,9,100,0.7111834961997828,0.5993485342019544,0.7633007600434311,0.7307274701411509,0.7871878393051032,0.7785016286644951,0.6829533116178067,0.756786102062975,0.7937024972855592,0.8653637350705755
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8382193268186754,20,5,9,100,0.753528773072747,0.7861020629750272,0.7991313789359392,0.6102062975027145,0.6927252985884907,0.750271444082519,0.7795874049945711,0.7187839305103149,0.6970684039087948,0.9066232356134636
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8707926167209555,21,5,9,100,0.7318132464712269,0.7947882736156352,0.6666666666666666,0.8002171552660152,0.7850162866449512,0.7155266015200868,0.6536373507057546,0.6905537459283387,0.7318132464712269,0.9142236699239956
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8545059717698155,22,5,9,100,0.751357220412595,0.7795874049945711,0.6851248642779587,0.6395222584147665,0.8154180238870793,0.6612377850162866,0.748099891422367,0.762214983713355,0.750271444082519,0.8935939196525515
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8447339847991314,23,5,9,100,0.7187839305103149,0.8132464712269273,0.6796959826275787,0.6058631921824105,0.7633007600434311,0.740499457111835,0.7166123778501629,0.743756786102063,0.6362649294245385,0.9033659066232356
