Number of Bad Clients,0.1,0.3,0.5,0.7,1.0,2.0,3.0,4.0,5.0
0,94,96,93,95,93,96,95,96,95
1,92,92,96,88,91,89,84,86,85
2,94,87,86,93,83,83,86,76,86
3,85,83,81,80,84,79,69,74,72
4,83,82,74,75,75,70,55,62,58
5,78,81,76,71,75,67,62,41,52
6,77,70,71,63,64,54,48,36,22
7,73,67,72,64,65,48,35,27,20
8,76,76,84,61,55,33,22,20,6
9,82,75,79,65,65,32,26,8,6
10,100,100,100,100,99,99,99,96,98
