Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,1,4,5,10,0.8317046688382194,0.8154180238870793,0.6666666666666666,0.7806731813246471,0.756786102062975,0.9207383279044516,0.8642779587404995,0.9077090119435396,0.9033659066232356,0.9001085776330076
0000011111,30,"[1, 2, 3, 4, 5]",0.8110749185667753,2,4,5,10,0.6927252985884907,0.7024972855591748,0.7133550488599348,0.7698154180238871,0.740499457111835,0.9218241042345277,0.9011943539630836,0.8968512486427795,0.8794788273615635,0.8968512486427795
0000011111,30,"[1, 2, 3, 4, 5]",0.7643865363735071,4,4,5,10,0.6362649294245385,0.7328990228013029,0.6623235613463626,0.752442996742671,0.7024972855591748,0.9022801302931596,0.8946796959826275,0.9098805646036916,0.9131378935939196,0.8849077090119435
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,4,4,5,10,0.6362649294245385,0.7328990228013029,0.6623235613463626,0.752442996742671,0.7024972855591748,0.9022801302931596,0.8946796959826275,0.9098805646036916,0.9131378935939196,0.8849077090119435
0000011111,30,"[1, 2, 3, 4, 5]",0.8414766558089034,5,4,5,10,0.7871878393051032,0.754614549402823,0.750271444082519,0.7676438653637351,0.6699239956568946,0.8968512486427795,0.9011943539630836,0.8957654723127035,0.9120521172638436,0.8957654723127035
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.9055374592833876,5,4,5,10,0.7871878393051032,0.754614549402823,0.750271444082519,0.7676438653637351,0.6699239956568946,0.8968512486427795,0.9011943539630836,0.8957654723127035,0.9120521172638436,0.8957654723127035
0000011111,30,"[1, 2, 3, 4, 5]",0.8577633007600435,6,4,5,10,0.7882736156351792,0.760043431053203,0.8013029315960912,0.7882736156351792,0.8056460369163952,0.8903365906623235,0.9066232356134636,0.8870792616720955,0.8957654723127035,0.8827361563517915
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.8990228013029316,6,4,5,10,0.7882736156351792,0.760043431053203,0.8013029315960912,0.7882736156351792,0.8056460369163952,0.8903365906623235,0.9066232356134636,0.8870792616720955,0.8957654723127035,0.8827361563517915
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,7,4,5,10,0.7817589576547231,0.7752442996742671,0.762214983713355,0.7643865363735071,0.7285559174809989,0.8805646036916395,0.8935939196525515,0.9066232356134636,0.9022801302931596,0.8827361563517915
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,8,4,5,10,0.7828447339847991,0.7839305103148752,0.742671009771987,0.745928338762215,0.7176981541802389,0.8870792616720955,0.9001085776330076,0.8762214983713354,0.8979370249728555,0.8686210640608035
0000011111,30,"[1, 2, 3, 4, 5]",0.8425624321389794,9,4,5,10,0.752442996742671,0.758957654723127,0.7709011943539631,0.7850162866449512,0.7263843648208469,0.8870792616720955,0.8849077090119435,0.8838219326818675,0.9001085776330076,0.9022801302931596
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,9,4,5,10,0.752442996742671,0.758957654723127,0.7709011943539631,0.7850162866449512,0.7263843648208469,0.8870792616720955,0.8849077090119435,0.8838219326818675,0.9001085776330076,0.9022801302931596
0000011111,30,"[1, 2, 3, 4, 5]",0.8360477741585234,10,4,5,10,0.7871878393051032,0.741585233441911,0.749185667752443,0.6894679695982627,0.6590662323561346,0.9077090119435396,0.8751357220412594,0.8827361563517915,0.8903365906623235,0.9011943539630836
1111011111,990,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.9022801302931596,10,4,5,10,0.7871878393051032,0.741585233441911,0.749185667752443,0.6894679695982627,0.6590662323561346,0.9077090119435396,0.8751357220412594,0.8827361563517915,0.8903365906623235,0.9011943539630836
0000000101,4,"[1, 3]",0.6883821932681867,11,4,5,10,0.6069489685124865,0.7633007600434311,0.6807817589576547,0.8089033659066233,0.7806731813246471,0.8631921824104235,0.8903365906623235,0.8762214983713354,0.9011943539630836,0.8990228013029316
0000011111,30,"[1, 2, 3, 4, 5]",0.8414766558089034,11,4,5,10,0.6069489685124865,0.7633007600434311,0.6807817589576547,0.8089033659066233,0.7806731813246471,0.8631921824104235,0.8903365906623235,0.8762214983713354,0.9011943539630836,0.8990228013029316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,11,4,5,10,0.6069489685124865,0.7633007600434311,0.6807817589576547,0.8089033659066233,0.7806731813246471,0.8631921824104235,0.8903365906623235,0.8762214983713354,0.9011943539630836,0.8990228013029316
0000010100,19,"[3, 5]",0.6373507057546145,12,4,5,10,0.7350705754614549,0.7850162866449512,0.6134636264929425,0.8056460369163952,0.6178067318132465,0.9044516829533116,0.8729641693811075,0.8925081433224755,0.8979370249728555,0.9109663409337676
0000011111,30,"[1, 2, 3, 4, 5]",0.8425624321389794,13,4,5,10,0.7730727470141151,0.7719869706840391,0.6905537459283387,0.7350705754614549,0.7980456026058632,0.8957654723127035,0.9033659066232356,0.8892508143322475,0.8979370249728555,0.8979370249728555
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,13,4,5,10,0.7730727470141151,0.7719869706840391,0.6905537459283387,0.7350705754614549,0.7980456026058632,0.8957654723127035,0.9033659066232356,0.8892508143322475,0.8979370249728555,0.8979370249728555
0000011111,30,"[1, 2, 3, 4, 5]",0.7958740499457112,14,4,5,10,0.6786102062975027,0.7318132464712269,0.7068403908794788,0.7057546145494028,0.749185667752443,0.8664495114006515,0.9022801302931596,0.8859934853420195,0.9011943539630836,0.8979370249728555
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9044516829533116,14,4,5,10,0.6786102062975027,0.7318132464712269,0.7068403908794788,0.7057546145494028,0.749185667752443,0.8664495114006515,0.9022801302931596,0.8859934853420195,0.9011943539630836,0.8979370249728555
1100011111,798,"[1, 2, 3, 4, 5, 9, 10]",0.8925081433224755,15,4,5,10,0.7785016286644951,0.6416938110749185,0.7980456026058632,0.8534201954397395,0.7100977198697068,0.9077090119435396,0.9066232356134636,0.9066232356134636,0.8729641693811075,0.8762214983713354
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,15,4,5,10,0.7785016286644951,0.6416938110749185,0.7980456026058632,0.8534201954397395,0.7100977198697068,0.9077090119435396,0.9066232356134636,0.9066232356134636,0.8729641693811075,0.8762214983713354
0000011111,30,"[1, 2, 3, 4, 5]",0.8414766558089034,16,4,5,10,0.7687296416938111,0.8110749185667753,0.7763300760043431,0.7231270358306189,0.7274701411509229,0.8946796959826275,0.9142236699239956,0.8946796959826275,0.8773072747014115,0.9163952225841476
0110111111,446,"[1, 2, 3, 4, 5, 6, 8, 9]",0.9044516829533116,16,4,5,10,0.7687296416938111,0.8110749185667753,0.7763300760043431,0.7231270358306189,0.7274701411509229,0.8946796959826275,0.9142236699239956,0.8946796959826275,0.8773072747014115,0.9163952225841476
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,17,4,5,10,0.7806731813246471,0.8273615635179153,0.8023887079261672,0.8219326818675353,0.8013029315960912,0.8849077090119435,0.8935939196525515,0.9055374592833876,0.9077090119435396,0.8957654723127035
0000011111,30,"[1, 2, 3, 4, 5]",0.7839305103148752,18,4,5,10,0.6612377850162866,0.6938110749185668,0.7198697068403909,0.7133550488599348,0.7079261672095548,0.9077090119435396,0.9163952225841476,0.8870792616720955,0.8946796959826275,0.9066232356134636
0000011111,30,"[1, 2, 3, 4, 5]",0.8555917480998915,19,4,5,10,0.6862106406080347,0.7665580890336591,0.7741585233441911,0.749185667752443,0.8230184581976113,0.8892508143322475,0.9033659066232356,0.8892508143322475,0.9218241042345277,0.9055374592833876
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.9044516829533116,19,4,5,10,0.6862106406080347,0.7665580890336591,0.7741585233441911,0.749185667752443,0.8230184581976113,0.8892508143322475,0.9033659066232356,0.8892508143322475,0.9218241042345277,0.9055374592833876
0000011111,30,"[1, 2, 3, 4, 5]",0.8013029315960912,20,4,5,10,0.7198697068403909,0.7871878393051032,0.6330076004343105,0.7285559174809989,0.7361563517915309,0.8946796959826275,0.8805646036916395,0.8686210640608035,0.8903365906623235,0.8990228013029316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9044516829533116,20,4,5,10,0.7198697068403909,0.7871878393051032,0.6330076004343105,0.7285559174809989,0.7361563517915309,0.8946796959826275,0.8805646036916395,0.8686210640608035,0.8903365906623235,0.8990228013029316
0000011111,30,"[1, 2, 3, 4, 5]",0.8110749185667753,21,4,5,10,0.740499457111835,0.6547231270358306,0.7350705754614549,0.7719869706840391,0.7318132464712269,0.8729641693811075,0.9055374592833876,0.9033659066232356,0.8805646036916395,0.8881650380021715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,21,4,5,10,0.740499457111835,0.6547231270358306,0.7350705754614549,0.7719869706840391,0.7318132464712269,0.8729641693811075,0.9055374592833876,0.9033659066232356,0.8805646036916395,0.8881650380021715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,22,4,5,10,0.7861020629750272,0.6449511400651465,0.7871878393051032,0.6438653637350705,0.757871878393051,0.8990228013029316,0.8859934853420195,0.9153094462540716,0.9022801302931596,0.8838219326818675
0010011111,158,"[1, 2, 3, 4, 5, 8]",0.8816503800217155,23,4,5,10,0.7774158523344191,0.7643865363735071,0.8327904451682954,0.752442996742671,0.6927252985884907,0.9120521172638436,0.8925081433224755,0.8740499457111836,0.8979370249728555,0.9098805646036916
