Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.8197611292073833,1,5,6,10,0.7057546145494028,0.7166123778501629,0.6970684039087948,0.741585233441911,0.8067318132464713,0.6981541802388708,0.8925081433224755,0.9185667752442996,0.9022801302931596,0.8968512486427795
1101111111,894,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.9044516829533116,1,5,6,10,0.7057546145494028,0.7166123778501629,0.6970684039087948,0.741585233441911,0.8067318132464713,0.6981541802388708,0.8925081433224755,0.9185667752442996,0.9022801302931596,0.8968512486427795
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.8642779587404995,2,5,6,10,0.7709011943539631,0.7252985884907709,0.742671009771987,0.7817589576547231,0.7947882736156352,0.7035830618892508,0.9066232356134636,0.8914223669923995,0.8827361563517915,0.9022801302931596
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.8327904451682954,3,5,6,10,0.7024972855591748,0.7861020629750272,0.6449511400651465,0.745928338762215,0.7024972855591748,0.8056460369163952,0.8979370249728555,0.9044516829533116,0.9142236699239956,0.8762214983713354
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.8382193268186754,5,5,6,10,0.7068403908794788,0.6905537459283387,0.8154180238870793,0.752442996742671,0.6308360477741585,0.7339847991313789,0.8751357220412594,0.8718783930510315,0.9044516829533116,0.8740499457111836
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.8794788273615635,5,5,6,10,0.7068403908794788,0.6905537459283387,0.8154180238870793,0.752442996742671,0.6308360477741585,0.7339847991313789,0.8751357220412594,0.8718783930510315,0.9044516829533116,0.8740499457111836
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.7774158523344191,6,5,6,10,0.6666666666666666,0.7220412595005429,0.749185667752443,0.5635179153094463,0.7155266015200868,0.7633007600434311,0.8925081433224755,0.8968512486427795,0.9033659066232356,0.8794788273615635
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,7,5,6,10,0.6862106406080347,0.8002171552660152,0.738327904451683,0.6579804560260586,0.7296416938110749,0.8208469055374593,0.9077090119435396,0.9131378935939196,0.8957654723127035,0.8805646036916395
0000001110,13,"[2, 3, 4]",0.7057546145494028,9,5,6,10,0.8110749185667753,0.6688382193268186,0.6796959826275787,0.6123778501628665,0.7915309446254072,0.7654723127035831,0.8621064060803475,0.8849077090119435,0.8827361563517915,0.8729641693811075
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8957654723127035,9,5,6,10,0.8110749185667753,0.6688382193268186,0.6796959826275787,0.6123778501628665,0.7915309446254072,0.7654723127035831,0.8621064060803475,0.8849077090119435,0.8827361563517915,0.8729641693811075
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.8132464712269273,10,5,6,10,0.7871878393051032,0.7209554831704669,0.5841476655808904,0.6188925081433225,0.6796959826275787,0.7730727470141151,0.8903365906623235,0.8925081433224755,0.9077090119435396,0.8881650380021715
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.8935939196525515,10,5,6,10,0.7871878393051032,0.7209554831704669,0.5841476655808904,0.6188925081433225,0.6796959826275787,0.7730727470141151,0.8903365906623235,0.8925081433224755,0.9077090119435396,0.8881650380021715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,11,5,6,10,0.7328990228013029,0.747014115092291,0.6514657980456026,0.740499457111835,0.756786102062975,0.7709011943539631,0.9066232356134636,0.9066232356134636,0.8729641693811075,0.8762214983713354
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.8251900108577633,12,5,6,10,0.8132464712269273,0.6330076004343105,0.743756786102063,0.6080347448425625,0.748099891422367,0.761129207383279,0.8914223669923995,0.8957654723127035,0.9087947882736156,0.8816503800217155
0000101111,46,"[1, 2, 3, 4, 6]",0.7904451682953312,13,5,6,10,0.6590662323561346,0.7871878393051032,0.7676438653637351,0.7014115092290988,0.8241042345276873,0.7079261672095548,0.9033659066232356,0.8729641693811075,0.8979370249728555,0.8881650380021715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,14,5,6,10,0.6970684039087948,0.7676438653637351,0.8002171552660152,0.7795874049945711,0.7220412595005429,0.7372421281216069,0.8805646036916395,0.8968512486427795,0.8946796959826275,0.8935939196525515
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.8414766558089034,15,5,6,10,0.7252985884907709,0.743756786102063,0.8045602605863192,0.752442996742671,0.7187839305103149,0.7904451682953312,0.9098805646036916,0.8794788273615635,0.8838219326818675,0.8957654723127035
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.8023887079261672,16,5,6,10,0.738327904451683,0.7926167209554832,0.6460369163952225,0.6015200868621065,0.6851248642779587,0.6623235613463626,0.8881650380021715,0.8827361563517915,0.8990228013029316,0.9163952225841476
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.8295331161780674,17,5,6,10,0.7231270358306189,0.742671009771987,0.7709011943539631,0.6264929424538545,0.742671009771987,0.7372421281216069,0.9044516829533116,0.9131378935939196,0.8903365906623235,0.9131378935939196
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.8360477741585234,18,5,6,10,0.7144408251900108,0.7068403908794788,0.7752442996742671,0.7633007600434311,0.7730727470141151,0.7296416938110749,0.9109663409337676,0.8979370249728555,0.9087947882736156,0.9142236699239956
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.7850162866449512,19,5,6,10,0.752442996742671,0.7806731813246471,0.7187839305103149,0.6178067318132465,0.6916395222584147,0.6981541802388708,0.8946796959826275,0.8968512486427795,0.8935939196525515,0.8968512486427795
0100111111,318,"[1, 2, 3, 4, 5, 6, 9]",0.8718783930510315,20,5,6,10,0.7752442996742671,0.7144408251900108,0.6851248642779587,0.6634093376764386,0.6644951140065146,0.6905537459283387,0.8957654723127035,0.9001085776330076,0.8664495114006515,0.9044516829533116
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9011943539630836,20,5,6,10,0.7752442996742671,0.7144408251900108,0.6851248642779587,0.6634093376764386,0.6644951140065146,0.6905537459283387,0.8957654723127035,0.9001085776330076,0.8664495114006515,0.9044516829533116
