Combination,index,Clients,Global Accuracy,Trial,Max Iter or Depth,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Client 11 Accuracy,Client 12 Accuracy,Client 13 Accuracy,Client 14 Accuracy,Client 15 Accuracy,Client 16 Accuracy,Client 17 Accuracy,Client 18 Accuracy,Client 19 Accuracy,Client 20 Accuracy,Client 21 Accuracy,Client 22 Accuracy,Client 23 Accuracy,Client 24 Accuracy,Client 25 Accuracy,Client 26 Accuracy,Client 27 Accuracy,Client 28 Accuracy,Client 29 Accuracy,Client 30 Accuracy,Client 31 Accuracy,Client 32 Accuracy,Client 33 Accuracy,Client 34 Accuracy,Client 35 Accuracy,n_clients
11111111111111111111111111111111111,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.8233333333333334,1,10,0.63,0.348,0.6766666666666666,0.622,0.606,0.6693333333333333,0.5553333333333333,0.592,0.5973333333333334,0.668,0.6726666666666666,0.368,0.6433333333333333,0.5086666666666667,0.3506666666666667,0.58,0.43666666666666665,0.6373333333333333,0.646,0.69,0.6406666666666667,0.356,0.674,0.488,0.6706666666666666,0.37,0.6533333333333333,0.5926666666666667,0.5913333333333334,0.5953333333333334,0.7266666666666667,0.658,0.6666666666666666,0.5746666666666667,0.436,35
11111111111111111111111111111111111,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.8353333333333334,2,10,0.6073333333333333,0.6346666666666667,0.372,0.698,0.5653333333333334,0.672,0.554,0.41,0.6286666666666667,0.67,0.6833333333333333,0.6473333333333333,0.618,0.628,0.6773333333333333,0.3486666666666667,0.472,0.44733333333333336,0.6033333333333334,0.5333333333333333,0.5466666666666666,0.43466666666666665,0.642,0.6366666666666667,0.4086666666666667,0.5366666666666666,0.4246666666666667,0.488,0.5466666666666666,0.426,0.6606666666666666,0.334,0.65,0.35533333333333333,0.3526666666666667,35
11111111111111111111111111111111111,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.8153333333333334,3,10,0.36866666666666664,0.6246666666666667,0.6713333333333333,0.6526666666666666,0.6633333333333333,0.436,0.6793333333333333,0.48333333333333334,0.6633333333333333,0.4266666666666667,0.646,0.656,0.6466666666666666,0.6426666666666667,0.36933333333333335,0.6473333333333333,0.6326666666666667,0.37866666666666665,0.6713333333333333,0.44333333333333336,0.48333333333333334,0.5666666666666667,0.6413333333333333,0.4633333333333333,0.5333333333333333,0.33466666666666667,0.698,0.624,0.652,0.634,0.614,0.406,0.4633333333333333,0.532,0.6113333333333333,35
11111111111111111111111111111111111,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.8326666666666667,4,10,0.6046666666666667,0.39266666666666666,0.5993333333333334,0.5513333333333333,0.6473333333333333,0.4746666666666667,0.632,0.33266666666666667,0.6093333333333333,0.6746666666666666,0.6326666666666667,0.6733333333333333,0.422,0.6486666666666666,0.6526666666666666,0.6353333333333333,0.6966666666666667,0.4593333333333333,0.43733333333333335,0.6726666666666666,0.6306666666666667,0.6133333333333333,0.6613333333333333,0.3913333333333333,0.6246666666666667,0.6453333333333333,0.4846666666666667,0.454,0.4726666666666667,0.396,0.6906666666666667,0.47933333333333333,0.472,0.33466666666666667,0.712,35
11111111111111111111111111111111111,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.8233333333333334,5,10,0.6186666666666667,0.44533333333333336,0.46066666666666667,0.6453333333333333,0.6366666666666667,0.656,0.6146666666666667,0.42,0.37466666666666665,0.5193333333333333,0.49266666666666664,0.5973333333333334,0.6053333333333333,0.4866666666666667,0.6626666666666666,0.572,0.594,0.61,0.67,0.64,0.7046666666666667,0.584,0.556,0.6146666666666667,0.66,0.6593333333333333,0.6133333333333333,0.45666666666666667,0.39466666666666667,0.6673333333333333,0.5913333333333334,0.48133333333333334,0.6346666666666667,0.6606666666666666,0.482,35
11111111111111111111111111111111111,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.8233333333333334,6,10,0.4246666666666667,0.62,0.6486666666666666,0.7113333333333334,0.546,0.544,0.582,0.6193333333333333,0.5973333333333334,0.654,0.6426666666666667,0.6033333333333334,0.596,0.6266666666666667,0.36733333333333335,0.6126666666666667,0.596,0.43666666666666665,0.34933333333333333,0.674,0.5226666666666666,0.6206666666666667,0.6633333333333333,0.6786666666666666,0.642,0.606,0.5666666666666667,0.38666666666666666,0.6246666666666667,0.5086666666666667,0.6973333333333334,0.6813333333333333,0.628,0.35733333333333334,0.502,35
11111111111111111111111111111111111,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.8433333333333334,7,10,0.6126666666666667,0.7253333333333334,0.686,0.4646666666666667,0.6826666666666666,0.6013333333333334,0.5813333333333334,0.6173333333333333,0.6986666666666667,0.5066666666666667,0.6826666666666666,0.568,0.7026666666666667,0.6346666666666667,0.6286666666666667,0.42333333333333334,0.6086666666666667,0.6213333333333333,0.586,0.524,0.5706666666666667,0.634,0.6126666666666667,0.6546666666666666,0.5993333333333334,0.6773333333333333,0.6206666666666667,0.404,0.6573333333333333,0.6693333333333333,0.4866666666666667,0.5933333333333334,0.6313333333333333,0.38266666666666665,0.71,35
11111111111111111111111111111111111,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.8206666666666667,8,10,0.6193333333333333,0.478,0.6786666666666666,0.5093333333333333,0.6333333333333333,0.5793333333333334,0.6006666666666667,0.524,0.4533333333333333,0.5933333333333334,0.6886666666666666,0.6046666666666667,0.7166666666666667,0.614,0.6666666666666666,0.47533333333333333,0.5913333333333334,0.622,0.6766666666666666,0.6613333333333333,0.6193333333333333,0.46266666666666667,0.604,0.4186666666666667,0.5813333333333334,0.43533333333333335,0.618,0.5446666666666666,0.3913333333333333,0.334,0.3253333333333333,0.664,0.6786666666666666,0.312,0.6433333333333333,35
11111111111111111111111111111111111,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.8206666666666667,9,10,0.6013333333333334,0.4166666666666667,0.574,0.656,0.6626666666666666,0.59,0.628,0.6313333333333333,0.6593333333333333,0.642,0.41,0.5106666666666667,0.6646666666666666,0.586,0.702,0.5526666666666666,0.35133333333333333,0.6766666666666666,0.6046666666666667,0.46,0.41533333333333333,0.62,0.5853333333333334,0.47733333333333333,0.5633333333333334,0.49133333333333334,0.32066666666666666,0.6126666666666667,0.7053333333333334,0.6446666666666667,0.6033333333333334,0.6686666666666666,0.6113333333333333,0.5833333333333334,0.608,35
11111111111111111111111111111111111,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.8246666666666667,10,10,0.5786666666666667,0.626,0.41333333333333333,0.37733333333333335,0.6393333333333333,0.6153333333333333,0.6313333333333333,0.4066666666666667,0.3233333333333333,0.6393333333333333,0.62,0.674,0.512,0.6166666666666667,0.5706666666666667,0.6533333333333333,0.328,0.42333333333333334,0.46066666666666667,0.6846666666666666,0.514,0.6926666666666667,0.5766666666666667,0.6286666666666667,0.692,0.4033333333333333,0.5926666666666667,0.5546666666666666,0.6646666666666666,0.41533333333333333,0.6573333333333333,0.5006666666666667,0.6593333333333333,0.65,0.338,35
