Combination,index,Clients,Global Accuracy,Trial,Max Iter or Depth,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Client 11 Accuracy,Client 12 Accuracy,Client 13 Accuracy,Client 14 Accuracy,Client 15 Accuracy,Client 16 Accuracy,Client 17 Accuracy,Client 18 Accuracy,Client 19 Accuracy,Client 20 Accuracy,Client 21 Accuracy,Client 22 Accuracy,Client 23 Accuracy,Client 24 Accuracy,Client 25 Accuracy,Client 26 Accuracy,Client 27 Accuracy,Client 28 Accuracy,Client 29 Accuracy,Client 30 Accuracy,Client 31 Accuracy,Client 32 Accuracy,Client 33 Accuracy,Client 34 Accuracy,Client 35 Accuracy,Client 36 Accuracy,Client 37 Accuracy,Client 38 Accuracy,Client 39 Accuracy,Client 40 Accuracy,Client 41 Accuracy,Client 42 Accuracy,Client 43 Accuracy,Client 44 Accuracy,Client 45 Accuracy,Client 46 Accuracy,Client 47 Accuracy,Client 48 Accuracy,Client 49 Accuracy,Client 50 Accuracy,n_clients
11111111111111111111111111111111111111111111111111,22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.802,1,10,0.6,0.38866666666666666,0.5406666666666666,0.6133333333333333,0.412,0.48933333333333334,0.5446666666666666,0.6166666666666667,0.632,0.45866666666666667,0.366,0.4866666666666667,0.632,0.3393333333333333,0.632,0.366,0.642,0.472,0.6526666666666666,0.612,0.534,0.6026666666666667,0.6293333333333333,0.5673333333333334,0.5606666666666666,0.35533333333333333,0.606,0.47933333333333333,0.5546666666666666,0.668,0.4646666666666667,0.376,0.43866666666666665,0.43266666666666664,0.5633333333333334,0.5266666666666666,0.632,0.572,0.5973333333333334,0.5233333333333333,0.35733333333333334,0.6013333333333334,0.618,0.5866666666666667,0.396,0.5846666666666667,0.6466666666666666,0.46266666666666667,0.6293333333333333,0.4226666666666667,50
11111111111111111111111111111111111111111111111111,22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.798,2,10,0.376,0.332,0.6286666666666667,0.662,0.412,0.606,0.5013333333333333,0.37933333333333336,0.32066666666666666,0.414,0.33666666666666667,0.546,0.328,0.462,0.31733333333333336,0.6126666666666667,0.4093333333333333,0.442,0.464,0.6246666666666667,0.5153333333333333,0.6806666666666666,0.35333333333333333,0.446,0.644,0.5506666666666666,0.51,0.44333333333333336,0.5973333333333334,0.35333333333333333,0.5993333333333334,0.6226666666666667,0.478,0.6293333333333333,0.5406666666666666,0.6026666666666667,0.5246666666666666,0.65,0.528,0.3406666666666667,0.5313333333333333,0.356,0.5133333333333333,0.5393333333333333,0.63,0.5513333333333333,0.4766666666666667,0.6926666666666667,0.282,0.5873333333333334,50
11111111111111111111111111111111111111111111111111,22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.7913333333333333,3,10,0.5793333333333334,0.6293333333333333,0.4746666666666667,0.36333333333333334,0.598,0.30533333333333335,0.512,0.32266666666666666,0.6673333333333333,0.624,0.54,0.5213333333333333,0.352,0.37133333333333335,0.5926666666666667,0.5013333333333333,0.49533333333333335,0.51,0.626,0.6606666666666666,0.356,0.5106666666666667,0.41,0.6006666666666667,0.344,0.634,0.6233333333333333,0.6833333333333333,0.5373333333333333,0.6286666666666667,0.6013333333333334,0.6306666666666667,0.3993333333333333,0.31066666666666665,0.5526666666666666,0.4186666666666667,0.5713333333333334,0.66,0.3253333333333333,0.434,0.36866666666666664,0.58,0.4073333333333333,0.6046666666666667,0.4686666666666667,0.6153333333333333,0.556,0.31533333333333335,0.37266666666666665,0.466,50
11111111111111111111111111111111111111111111111111,22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.7873333333333333,4,10,0.6326666666666667,0.624,0.3453333333333333,0.6473333333333333,0.506,0.30666666666666664,0.5306666666666666,0.3233333333333333,0.512,0.5946666666666667,0.5633333333333334,0.352,0.6706666666666666,0.298,0.3406666666666667,0.5773333333333334,0.5106666666666667,0.3233333333333333,0.6906666666666667,0.322,0.37333333333333335,0.6666666666666666,0.632,0.5266666666666666,0.6753333333333333,0.5206666666666667,0.5213333333333333,0.544,0.43466666666666665,0.5826666666666667,0.5813333333333334,0.664,0.6306666666666667,0.5806666666666667,0.6166666666666667,0.386,0.5746666666666667,0.48533333333333334,0.6526666666666666,0.6373333333333333,0.5693333333333334,0.628,0.32866666666666666,0.40066666666666667,0.4513333333333333,0.5046666666666667,0.586,0.42933333333333334,0.518,0.36,50
11111111111111111111111111111111111111111111111111,22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.8173333333333334,5,10,0.602,0.6226666666666667,0.512,0.6813333333333333,0.5406666666666666,0.6573333333333333,0.6406666666666667,0.5626666666666666,0.6253333333333333,0.4746666666666667,0.6093333333333333,0.4573333333333333,0.45866666666666667,0.614,0.374,0.352,0.658,0.42333333333333334,0.6233333333333333,0.602,0.552,0.3993333333333333,0.5786666666666667,0.38,0.506,0.6286666666666667,0.388,0.676,0.6493333333333333,0.576,0.372,0.43066666666666664,0.6106666666666667,0.518,0.47933333333333333,0.632,0.3893333333333333,0.434,0.6686666666666666,0.5633333333333334,0.6313333333333333,0.4686666666666667,0.45466666666666666,0.6266666666666667,0.3873333333333333,0.5226666666666666,0.722,0.616,0.6433333333333333,0.6593333333333333,50
11111111111111111111111111111111111111111111111111,22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.794,6,10,0.664,0.63,0.3586666666666667,0.6573333333333333,0.5826666666666667,0.39866666666666667,0.6333333333333333,0.6426666666666667,0.49333333333333335,0.35333333333333333,0.5766666666666667,0.6153333333333333,0.552,0.528,0.5433333333333333,0.5693333333333334,0.612,0.35933333333333334,0.6006666666666667,0.6573333333333333,0.5433333333333333,0.6246666666666667,0.43066666666666664,0.4146666666666667,0.4086666666666667,0.5333333333333333,0.37533333333333335,0.468,0.47733333333333333,0.6593333333333333,0.6213333333333333,0.30666666666666664,0.6853333333333333,0.3506666666666667,0.67,0.614,0.5893333333333334,0.632,0.538,0.49333333333333335,0.47,0.3546666666666667,0.606,0.6633333333333333,0.534,0.34,0.496,0.5933333333333334,0.638,0.6126666666666667,50
11111111111111111111111111111111111111111111111111,22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.7933333333333333,7,10,0.5206666666666667,0.38533333333333336,0.6313333333333333,0.632,0.598,0.428,0.6033333333333334,0.6093333333333333,0.5286666666666666,0.6673333333333333,0.3526666666666667,0.374,0.5666666666666667,0.31933333333333336,0.3453333333333333,0.32,0.4046666666666667,0.592,0.3566666666666667,0.6286666666666667,0.5186666666666667,0.5513333333333333,0.652,0.5553333333333333,0.36666666666666664,0.52,0.45466666666666666,0.6306666666666667,0.31733333333333336,0.5506666666666666,0.31666666666666665,0.598,0.4886666666666667,0.44533333333333336,0.536,0.44733333333333336,0.386,0.628,0.496,0.33266666666666667,0.31,0.45666666666666667,0.48,0.348,0.616,0.3873333333333333,0.6113333333333333,0.5933333333333334,0.30733333333333335,0.3486666666666667,50
11111111111111111111111111111111111111111111111111,22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.7986666666666666,8,10,0.3393333333333333,0.608,0.6053333333333333,0.6813333333333333,0.5086666666666667,0.4053333333333333,0.5906666666666667,0.5993333333333334,0.524,0.5686666666666667,0.4666666666666667,0.59,0.6573333333333333,0.6253333333333333,0.356,0.6226666666666667,0.5746666666666667,0.488,0.6366666666666667,0.32,0.35933333333333334,0.5866666666666667,0.462,0.49266666666666664,0.28933333333333333,0.6206666666666667,0.6493333333333333,0.5986666666666667,0.6313333333333333,0.612,0.5626666666666666,0.658,0.358,0.256,0.6166666666666667,0.6126666666666667,0.7306666666666667,0.31266666666666665,0.37,0.6013333333333334,0.5646666666666667,0.31866666666666665,0.6233333333333333,0.6393333333333333,0.3973333333333333,0.298,0.5393333333333333,0.42933333333333334,0.4886666666666667,0.6593333333333333,50
11111111111111111111111111111111111111111111111111,22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.8006666666666666,9,10,0.5186666666666667,0.4766666666666667,0.5586666666666666,0.516,0.4266666666666667,0.33,0.6453333333333333,0.2753333333333333,0.316,0.3473333333333333,0.6093333333333333,0.58,0.5906666666666667,0.5793333333333334,0.38333333333333336,0.38066666666666665,0.5353333333333333,0.6186666666666667,0.422,0.5853333333333334,0.5713333333333334,0.57,0.6766666666666666,0.4026666666666667,0.28933333333333333,0.53,0.666,0.41933333333333334,0.3393333333333333,0.5273333333333333,0.6253333333333333,0.6126666666666667,0.666,0.6246666666666667,0.434,0.4146666666666667,0.44,0.43866666666666665,0.4013333333333333,0.378,0.56,0.36133333333333334,0.592,0.6386666666666667,0.6213333333333333,0.652,0.6393333333333333,0.6773333333333333,0.5466666666666666,0.6386666666666667,50
11111111111111111111111111111111111111111111111111,22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.812,10,10,0.29333333333333333,0.346,0.32866666666666666,0.568,0.44066666666666665,0.596,0.35133333333333333,0.5666666666666667,0.5546666666666666,0.6653333333333333,0.6093333333333333,0.61,0.5126666666666667,0.57,0.4086666666666667,0.5046666666666667,0.556,0.4666666666666667,0.6126666666666667,0.6106666666666667,0.5586666666666666,0.3973333333333333,0.5793333333333334,0.58,0.5226666666666666,0.5546666666666666,0.44,0.4206666666666667,0.616,0.6966666666666667,0.4226666666666667,0.39666666666666667,0.44066666666666665,0.3313333333333333,0.442,0.516,0.684,0.668,0.6173333333333333,0.4073333333333333,0.372,0.5746666666666667,0.4,0.5373333333333333,0.448,0.6466666666666666,0.3393333333333333,0.6413333333333333,0.5926666666666667,0.5706666666666667,50
