Nash Equilibrium,Occurrences,Max Depth
0000000010,7,10
0000000100,4,10
1111111111,10,10
0000000001,5,10
0000010011,1,10
0000000010,3,100
0000000100,1,100
1111111111,10,100
0000000001,1,100
