Trial,Combination,Clients,Global Accuracy,Subsample Ratio,Max Iter
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6191239577325734,0.5,10
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6130536358393368,0.5,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6069148884175131,0.5,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6100331375059872,0.5,10
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6110692955103079,0.5,10
6,0000000011,"1,2",0.4297611949052306,0.5,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6130927361413867,0.5,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5972864390377416,0.5,10
8,1110101111,"1,2,3,4,6,8,9,10",0.6036109128943021,0.5,10
9,1011111111,"1,2,3,4,5,6,7,8,10",0.6006588400895397,0.5,10
9,1110111111,"1,2,3,4,5,6,8,9,10",0.6065434355480396,0.5,10
9,1111110111,"1,2,3,5,6,7,8,9,10",0.6012746698468245,0.5,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6152139275275902,0.5,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6230437630130693,0.5,100
2,1111101111,"1,2,3,4,6,7,8,9,10",0.619456310299997,0.5,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6087037272362928,0.5,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6106978426408344,0.5,100
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6121934291942406,0.5,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6152823530561774,0.5,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6048621225598968,0.5,100
8,1110101111,"1,2,3,4,6,8,9,10",0.605996031319342,0.5,100
9,1111110111,"1,2,3,5,6,7,8,9,10",0.6054975024682065,0.5,100
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6171591675545693,0.5,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6175892708771176,0.6,10
2,1111011111,"1,2,3,4,5,7,8,9,10",0.6231317386926813,0.6,10
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6142755202783942,0.6,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6064554598684275,0.6,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6107076177163469,0.6,10
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6112354717940196,0.6,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6147935992805544,0.6,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5975601411520904,0.6,10
8,1110101111,"1,2,3,4,6,8,9,10",0.6034349615350778,0.6,10
9,1110111111,"1,2,3,4,5,6,8,9,10",0.6069833139461003,0.6,10
9,1111110111,"1,2,3,5,6,7,8,9,10",0.6011769190917,0.6,10
9,1111111011,"1,2,4,5,6,7,8,9,10",0.6048816727109217,0.6,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6128288091025503,0.6,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6215384013841507,0.6,100
2,1111101111,"1,2,3,4,6,7,8,9,10",0.619964614226645,0.6,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6078044202891467,0.6,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6120663532125785,0.6,100
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6122618547228277,0.6,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6166899639299713,0.6,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6051553748252705,0.6,100
8,1110101111,"1,2,3,4,6,8,9,10",0.6058103048846052,0.6,100
9,1111110111,"1,2,3,5,6,7,8,9,10",0.6048523474843843,0.6,100
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6154485293398891,0.6,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6171982678566192,0.7,10
2,1111011111,"1,2,3,4,5,7,8,9,10",0.6226625350680834,0.7,10
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6140897938436575,0.7,10
3,1110111111,"1,2,3,4,5,6,8,9,10",0.6157906569828252,0.7,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6100526876570121,0.7,10
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6115971495879806,0.7,10
6,0000000011,"1,2",0.4308364532116011,0.7,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6145394473172305,0.7,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6000234601812299,0.7,10
8,1110101111,"1,2,3,4,6,8,9,10",0.603288335402391,0.7,10
9,1110111111,"1,2,3,4,5,6,8,9,10",0.6079803716483709,0.7,10
9,1111110111,"1,2,3,5,6,7,8,9,10",0.6019589251326967,0.7,10
9,1111111011,"1,2,4,5,6,7,8,9,10",0.6055561529212813,0.7,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6121836541187281,0.7,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6221249059148982,0.7,100
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6206195442859797,0.7,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6075698184768478,0.7,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6113234474736318,0.7,100
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6117828760227173,0.7,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6163087359849855,0.7,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6059862562438295,0.7,100
8,1110101111,"1,2,3,4,6,8,9,10",0.6049696483905338,0.7,100
9,1110111111,"1,2,3,4,5,6,8,9,10",0.6099647119774,0.7,100
9,1111110111,"1,2,3,5,6,7,8,9,10",0.6050185237680961,0.7,100
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.615233477678615,0.7,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6180095991241532,0.8,10
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6135814899170096,0.8,10
3,1110111111,"1,2,3,4,5,6,8,9,10",0.6164749122686973,0.8,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6099940372039374,0.8,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.612457356233077,0.8,10
6,0000000011,"1,2",0.42877391227847234,0.8,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6130927361413867,0.8,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5990850529320338,0.8,10
8,1110101111,"1,2,3,4,6,8,9,10",0.6049109979374591,0.8,10
9,1110111111,"1,2,3,4,5,6,8,9,10",0.6075209430992854,0.8,10
9,1111110111,"1,2,3,5,6,7,8,9,10",0.601303995073362,0.8,10
9,1111111011,"1,2,4,5,6,7,8,9,10",0.603992140839288,0.8,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6135130643884223,0.8,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6227505107476955,0.8,100
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6207954956452039,0.8,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6070810647012248,0.8,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6120663532125785,0.8,100
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6122032042697529,0.8,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6148229245070919,0.8,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6053117760334699,0.8,100
8,1110101111,"1,2,3,4,6,8,9,10",0.6056930039784557,0.8,100
9,1111110111,"1,2,3,5,6,7,8,9,10",0.6041680921985122,0.8,100
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6163478362870353,0.8,100
