Trial,Combination,Clients,Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Noise Std,Corrupted Clients,Num Samples,Max depth
1,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7081162451979942,0.44554794185785085,0.4847948700403711,0.45143253731635075,0.36224474834068093,0.5048239997653982,0.3635057330817881,0.2983744049422782,0.53020009579574,0.4725173751967234,0.5011583464482263,1,9,350,10
2,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6903842582183948,0.417952903686181,0.41155022922552076,0.4687148708223771,0.42792348070888847,0.4493308960811722,0.4547071876130243,0.40655516563865457,0.4168189949267358,0.4762905543445323,0.3743365167495919,1,9,350,10
3,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6864253526358491,0.4997214103478949,0.2614441696562106,0.4071025698673522,0.38307543425772966,0.38471764694382266,0.4919404502399781,0.4478841849053284,0.535019208023382,0.44730745545009337,0.557433456173449,1,9,350,10
4,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6860050243888134,0.2990684353036627,0.3702505351853843,0.3042590004007781,0.33587159460806837,0.3573278853579144,0.5872865367884967,0.45981955210604003,0.4985777265129373,0.4781282685408745,0.5591147691615918,1,9,350,10
5,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6363867410875749,0.3632418060429517,0.3050410064417748,0.30899991202432037,0.4805524872679641,0.4571705066421638,0.3953627041768898,0.5483817362489125,0.3850793247377836,0.5182549535195159,0.4136225452341619,1,9,350,10
6,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.723639065111778,0.354014134759191,0.3269860509672437,0.44470728536377946,0.3704949120731958,0.37587120360504783,0.5493592438001583,0.567159656308345,0.42004476984584704,0.4856746268364923,0.5688996197495626,1,9,350,10
7,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7069725613630365,0.41357366985659966,0.4247954565449018,0.5723795466319977,0.28454267309214964,0.39263545810891387,0.42508870881027555,0.4369752006334249,0.4269166479311053,0.44601714548244886,0.4725173751967234,1,9,350,10
8,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6874908358667071,0.4979227964536026,0.34143361257465715,0.38807049784459585,0.3595957028768047,0.3834859874292529,0.4315109334219607,0.4785485967879102,0.5150878290534794,0.513543367122511,0.5265344424785682,1,9,350,10
9,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7182920988064633,0.3815798477043235,0.3085600336262598,0.5563777480181035,0.5704636318315559,0.49371951398324554,0.46045493201434984,0.5242666249596778,0.47855837186342265,0.5042472703101631,0.4066626914692916,1,9,350,10
10,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7061221297934527,0.418422107310779,0.31257758966188015,0.4913148454071808,0.2890587579789054,0.5426437669230995,0.3264875221161083,0.4716962688536769,0.5408353779532947,0.316243242979052,0.5427415176782241,1,9,350,10
11,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.702524902004868,0.5263096157417816,0.43292831937126713,0.40950723844341697,0.25997790832934187,0.5314122051592849,0.35715193399869016,0.522927439614471,0.3744049422781791,0.4637198072355109,0.5006011671440161,1,9,350,10
12,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.627471872220213,0.27972356086450767,0.30453270251512693,0.25032990879854544,0.47805984301228727,0.3828310573699182,0.29269508606953987,0.4935337875485088,0.5548626113136724,0.4487541666259372,0.4816179704988221,1,9,350,10
13,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.693610033137506,0.5108063459790226,0.33516778917117135,0.29692769376643435,0.2890685330544178,0.4376985562213468,0.5193106616748614,0.48240975161533123,0.4225862894790862,0.45166713912864975,0.43728800304982357,1,9,350,10
14,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7228766092218062,0.39443407200320624,0.4442869571167437,0.4643258619172833,0.5419204113351775,0.4989882796844606,0.46895924771018854,0.46119783775329665,0.4480308110380153,0.4533973274943549,0.3911985220085825,1,9,350,10
15,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6856237964438275,0.5042374952346507,0.3842582183947371,0.46029853080615046,0.34651665184113545,0.4788418490532839,0.3307201298130028,0.46944800148581145,0.5128982121386888,0.4471119539398442,0.526573542780618,1,9,350,10
16,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6662495967781351,0.35552927146362207,0.41904771214357633,0.46494169167456817,0.29223565752045433,0.47464834165843933,0.3406907068357103,0.478949374883921,0.33458128464042386,0.4855573259303428,0.4811292167231992,1,9,350,10
17,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.712612779933725,0.3661841037722016,0.5760940753267318,0.44995650091396955,0.4698585546573347,0.5029374101914937,0.33484521167926024,0.3849326986050967,0.4967302372410827,0.41066069735388705,0.4972580913187554,1,9,350,10
18,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6780481129216723,0.4622242206821048,0.4409634314425079,0.34558801966745195,0.472957253594784,0.5087926804234563,0.5372088249381727,0.5160066861516506,0.3337992785994272,0.4342772797919864,0.41750325021260787,1,9,350,10
19,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6701303017565811,0.3260085434159979,0.2944448245862699,0.3961935855954487,0.48614383046109033,0.48158864527228473,0.5193106616748614,0.372205550287876,0.2950411041925299,0.4905914898192589,0.4428109207143625,1,9,350,10
20,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.672495870030596,0.428040781615038,0.3118346839229333,0.26832582281698125,0.5636504041993724,0.45737578322792544,0.4623708468147916,0.4605820079960118,0.5196332391667725,0.2689416525742661,0.3140927263663112,1,9,350,10
21,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6342459995503466,0.2596162305353809,0.3122256869434316,0.4196635419008612,0.48803042003499475,0.5219108317611754,0.4382557355255569,0.3845612457356233,0.5241102237514785,0.37769914272587757,0.3690091005953021,1,9,350,10
22,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7014496436984976,0.42100272724606796,0.44662320016422125,0.572535947840197,0.5461236938055346,0.35228394639348587,0.47473631733805144,0.5025952825485577,0.3920391785026539,0.468392293330466,0.374189890616905,1,9,350,10
23,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6322127838437552,0.311316604920773,0.37838339801174964,0.2503494589495704,0.3331541236156049,0.35440513777968935,0.4402791761566358,0.49918378119470974,0.42786483025581373,0.43247866589769407,0.42720990019647903,1,9,350,10
24,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6939814860069794,0.3588430220623454,0.39379869209489643,0.489506456437376,0.4145902777098953,0.505566905504345,0.3775036412156284,0.3997712632330085,0.5598478998250261,0.4375617051641724,0.35286067584872094,1,9,350,10
25,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6670511529701567,0.40630101367533067,0.3366145003470152,0.28794439937048516,0.3998396887615957,0.45176488988377433,0.30262656279019756,0.4827421041827548,0.41751302528812034,0.33149236077848704,0.5622036930235286,1,9,350,10
26,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6732876511471051,0.4399272734381873,0.27884380406838644,0.3643952649534218,0.31688839796287427,0.5508352802025396,0.4772973871223155,0.4362029696679407,0.36759171464599566,0.4447854859678791,0.4433876501695976,1,9,350,10
27,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7099441843188239,0.3801135863774548,0.3441022081895583,0.5035239147222412,0.4511490601264895,0.4588909199323565,0.470034506016559,0.4233389702935455,0.5240417982228913,0.5225071113674353,0.5452732622359507,1,9,350,10
28,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6731703502409556,0.5307866003264875,0.39975171308198354,0.44986852523435744,0.36418998836766014,0.40920421110253075,0.36782631645829467,0.5439731771927938,0.5459966178238727,0.4608166098083108,0.38791409663639653,1,9,350,10
29,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7218306761419732,0.39085639436564645,0.46940890118376166,0.4180408793657931,0.5575800823061358,0.3869756893872005,0.4882259215452439,0.4780989433143371,0.45466808731097447,0.4202011710540464,0.5938358373818438,1,9,350,10
