Trial,Combination,Clients,Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Noise Std,Corrupted Clients,Num Samples,Max depth
1,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7526612643082667,0.4790080253369957,0.5730442517668449,0.5315881565185091,0.522692837802172,0.49819649856795145,0.4252939853960372,0.5942170653268296,0.5582643375920079,0.4315500337240105,0.5011583464482263,0.3,9,350,10
2,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7295725359478402,0.5699260026783707,0.3588723472888828,0.32062247680863337,0.4768770588752798,0.5434844234171708,0.5245892024515889,0.4477962092257163,0.5721058445176489,0.5226537375001222,0.3743365167495919,0.3,9,350,10
3,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.762240838310476,0.45547941857850854,0.4669358070791097,0.48507834723023235,0.48360231082785116,0.6089578791996169,0.5410015542370065,0.5568078513406516,0.6067780373603386,0.4935142373974839,0.557433456173449,0.3,9,350,10
4,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7484970821399596,0.4802592350025904,0.4466623004662711,0.545195061631851,0.6244513738868632,0.45587042159900687,0.5050292763511598,0.584735242079745,0.5125463094202403,0.5263096157417816,0.5591147691615918,0.3,9,350,10
5,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7487219088767461,0.45739533337895033,0.43722935259674883,0.5489975660061974,0.5117740784547561,0.5586357904614813,0.5553318149382704,0.6076480190809475,0.4573366829258756,0.5056646562594697,0.4136225452341619,0.3,9,350,10
6,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.767275002199392,0.3708174895651069,0.5760451999491696,0.3772006138747422,0.5542956569339498,0.49535195159382606,0.5922327249978006,0.5545498088972737,0.570786209323467,0.4643942874458705,0.5688996197495626,0.3,9,350,10
7,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7470601460396281,0.548264435342763,0.46267387415567784,0.5452732622359507,0.6270124436711274,0.501001945240027,0.5235725945982933,0.5461432439565596,0.5232500171063822,0.4729181532927342,0.4725173751967234,0.3,9,350,10
8,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7607550268325822,0.5051954526348716,0.3519809190525997,0.5542858818584373,0.49652496065532103,0.49706258980850626,0.5477659064916276,0.5885475215296038,0.5480689338325139,0.5068767656230144,0.5265344424785682,0.3,9,350,10
9,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7072462634773854,0.4549613395763482,0.3196449692573875,0.32630179568137163,0.43611499398832854,0.508870881027556,0.34753325969443116,0.5229078894634461,0.5439047516642066,0.48571372713854216,0.4066626914692916,0.3,9,350,10
10,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7195726336985954,0.4520874673756855,0.47065033577384385,0.4502106528772935,0.49903715506202284,0.49052306429067166,0.41415039931183467,0.5452928123869757,0.540395499555234,0.45083625771009084,0.5427415176782241,0.3,9,350,10
11,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7301785906296127,0.4811194416476867,0.32923431833510913,0.43663307299048887,0.48294738076851645,0.5568665017937263,0.4277084290476144,0.5351756092315814,0.5924380015835622,0.44505918808222794,0.5006011671440161,0.3,9,350,10
12,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7468255442273292,0.42678957194944334,0.42133507981349155,0.49355333769953375,0.5369839982013861,0.46764938759151914,0.367386438060234,0.5706689084173175,0.5519789640374972,0.4120585331521686,0.4816179704988221,0.3,9,350,10
13,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7326907850363144,0.49296683316878626,0.3871223155198874,0.4574833090585625,0.4720677217231503,0.5552047389566085,0.39151132442498116,0.653023919609779,0.44601714548244886,0.4809532653639749,0.43728800304982357,0.3,9,350,10
14,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7469721703600161,0.5757030723062335,0.339938026021251,0.603415411384053,0.6024672290593445,0.5760354248736571,0.494433094495655,0.5446672075541783,0.49593845612457355,0.4277964047272265,0.3911985220085825,0.3,9,350,10
15,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.742407210095698,0.3975816463182178,0.4437297778125336,0.5430249948680853,0.5705613825866804,0.5139343701430094,0.4872288638429732,0.5925553024897118,0.5096919873706024,0.49908603043958516,0.526573542780618,0.3,9,350,10
16,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7420357572262246,0.43445323115121065,0.43651577208433934,0.5189783091074378,0.5251072814537492,0.5189489838809005,0.4878935689778204,0.5135335920469986,0.5972082384336419,0.456769728546153,0.4811292167231992,0.3,9,350,10
17,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7397874898583592,0.6353505830832543,0.3124016383026559,0.4354796140800188,0.470376633659495,0.5512751586006002,0.5513533592046999,0.5640707324464082,0.5664265256449106,0.4782846697490738,0.4972580913187554,0.3,9,350,10
18,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7325832592056774,0.5122041817773042,0.4074446975102883,0.4198883686376477,0.6015092716591236,0.5382352078669808,0.46459956403163216,0.5058210574676689,0.5425655663189998,0.46903744831428823,0.41750325021260787,0.3,9,350,10
19,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.742280134114036,0.29899023469956304,0.4597022511998905,0.5021260789239597,0.4306702769278893,0.48361208590336363,0.5626240212705643,0.5786453700354836,0.5241199988269909,0.46471686493778164,0.4428109207143625,0.3,9,350,10
20,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7088396007859161,0.4772289615937283,0.2714147466789181,0.3329292968788184,0.5214709533631148,0.4354991642310437,0.4132315422136636,0.4436613522839464,0.5455958397278619,0.5302391960977898,0.3140927263663112,0.3,9,350,10
21,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7510483768487112,0.5010410455420768,0.4833090585624774,0.4886266996412547,0.5552438392586583,0.5327122902024418,0.44440425802289324,0.5925650775652241,0.5534843256664158,0.46292802611900175,0.3690091005953021,0.3,9,350,10
22,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7377053987742055,0.49560610355714996,0.5281571050136362,0.3807880665878144,0.5710012609847411,0.5067008142637902,0.5882640443397426,0.4010029227475782,0.5821350719934312,0.5096626621440651,0.374189890616905,0.3,9,350,10
23,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7070409868916238,0.4027135609622584,0.5088220056499937,0.3893412576612154,0.5092325588215169,0.4691645242959502,0.48222402518059454,0.47113908954946676,0.5704049813784812,0.4486759660218375,0.42720990019647903,0.3,9,350,10
24,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7329156117731009,0.46295735134553917,0.3992238590043108,0.4383534862806815,0.5783814429966472,0.46326037868642533,0.3999374395167203,0.5460845935034848,0.5173360964213448,0.531969384463495,0.35286067584872094,0.3,9,350,10
25,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7681840842220506,0.6123009550248776,0.5178835006500425,0.43346594852445236,0.49242920401560103,0.5558205687138933,0.5348530317396701,0.5852630961574178,0.5532399487786043,0.554129480650238,0.5622036930235286,0.3,9,350,10
26,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7479301277602369,0.3910518958758956,0.527042746405216,0.32938094446779603,0.5463778457688586,0.416310691000088,0.6751937908720345,0.5697011759415842,0.5054496045981955,0.48110966657217424,0.4433876501695976,0.3,9,350,10
27,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7586045102198414,0.6080781224034956,0.3011407513123039,0.5434941984926833,0.5504638273330662,0.48990723453338675,0.4447561607413417,0.5793100751703307,0.48614383046109033,0.5559769699220927,0.5452732622359507,0.3,9,350,10
28,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7433162921183566,0.5573650306448618,0.512008680267055,0.5792220994907186,0.4385489877909307,0.5384404844527424,0.32658527287123296,0.5230447405206206,0.41131562741322175,0.5284112569769601,0.38791409663639653,0.3,9,350,10
29,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7310778975767588,0.39804107486730333,0.3230564706112355,0.49396389087105697,0.4643063117662584,0.5664460757959355,0.44409145560649455,0.4824879522194309,0.5530542223438676,0.3803384131142413,0.5938358373818438,0.3,9,350,10
30,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.739357386535811,0.4469946530336947,0.3140829512907987,0.4404453524403476,0.5366027702564002,0.5627510972522263,0.4406310788750843,0.5449604598195521,0.5593004955963284,0.4461637716151357,0.5141689719553083,0.3,9,350,10
31,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7330817880568128,0.4544823608762378,0.4322147388588577,0.42645721938201975,0.5875113635252832,0.5940704391941428,0.3986178043225384,0.5352342596846561,0.4891936540209773,0.4877176176185961,0.45420865876188893,0.3,9,350,10
32,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.757656327895133,0.4029579378500699,0.274141992746894,0.32220603904165157,0.6054486270906443,0.613483739161885,0.5139930205960841,0.6251845045502976,0.5790070478294445,0.4456847929150253,0.41814840519643015,0.3,9,350,10
33,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7430914653815701,0.622525684010909,0.3659397268843902,0.5684499662759894,0.3475919101475059,0.47339713199284467,0.5263878163458813,0.5767196801595292,0.5841389624734851,0.46714108366487134,0.41415039931183467,0.3,9,350,10
