Trial,Combination,Clients,Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Noise Std,Corrupted Clients,Num Samples,Max depth
1,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7427200125120966,0.48564530160995495,0.5172578958172452,0.5429663444150106,0.5747157896794752,0.37371091191679456,0.6434736708341072,0.5519300886599349,0.5865925064271121,0.4825172774459683,0.5011583464482263,0.5,9,350,10
2,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7231014359585928,0.5671889815348824,0.3787450758057106,0.5200535674138083,0.5654783433202022,0.5131719142530377,0.3454022932327152,0.5483817362489125,0.3420787675584794,0.4873461647491227,0.3743365167495919,0.5,9,350,10
3,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7016158199822093,0.2948553777577932,0.2726561812690003,0.5007380182011906,0.4674050107037077,0.5581274865348335,0.35091543582174173,0.5457815661625987,0.24287152618253977,0.5536407268746151,0.557433456173449,0.5,9,350,10
4,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.746268364923119,0.5676875103860177,0.4426251942796258,0.4868378608224749,0.49836267485166325,0.4870138121816991,0.59704206214993,0.564451960391394,0.5693101729210858,0.5154690569984653,0.5591147691615918,0.5,9,350,10
5,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7232676122423046,0.3878652212588342,0.3314043850988749,0.38743511793628604,0.5176586739132559,0.5363486182930763,0.4115111289234709,0.5798477043235158,0.5833862816590258,0.4709533631147301,0.4136225452341619,0.5,9,350,10
6,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7507844498098748,0.3331834488421423,0.3922835553904654,0.49560610355714996,0.5083332518743707,0.5320964604451569,0.553191073401042,0.49566475401022475,0.48164729572535947,0.4737783599378305,0.5688996197495626,0.5,9,350,10
7,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7086929746532292,0.4020488558274113,0.4675907371384444,0.3825671303310818,0.4673756854771703,0.5337093479047126,0.47515664558508713,0.5533865749112912,0.4559486222031065,0.5471403016588303,0.4725173751967234,0.5,9,350,10
8,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7161220320426975,0.3768682613073186,0.39167750070869295,0.43349527375098973,0.49166674812562927,0.4224201131953744,0.5465146968260329,0.3439360319058465,0.5090370573112677,0.4980009970577023,0.5265344424785682,0.5,9,350,10
9,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7234240134505039,0.3790676532976217,0.45273262235950773,0.576670804781967,0.4397024467014008,0.4931134593014731,0.45947742446310397,0.5889287494745897,0.4661147007360632,0.43649622193331444,0.4066626914692916,0.5,9,350,10
10,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7322606817137662,0.36858877234826637,0.41260593738086626,0.42328031984047076,0.5505322528616533,0.46365138170692366,0.568117613708566,0.5059188082227936,0.40378881926862886,0.3840236165824381,0.5427415176782241,0.5,9,350,10
11,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7195824087741077,0.3370348285940509,0.29000694030361385,0.6079803716483709,0.45735623307690054,0.5210115248140292,0.5220770080448871,0.46747343623229487,0.501363623033988,0.46689670677705986,0.5006011671440161,0.5,9,350,10
12,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7318012531646807,0.5434257729640961,0.37086636494266917,0.498421325304738,0.4127623385890656,0.5339634998680365,0.5005913920685038,0.5293105639241064,0.5581470366858584,0.4840812895279616,0.4816179704988221,0.5,9,350,10
13,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7450367054085493,0.5490268912327347,0.34846189186811466,0.33811986197593374,0.6112452468695321,0.49650541050429614,0.5324288130125805,0.4967009120145453,0.5320866853696444,0.3201825984105727,0.43728800304982357,0.5,9,350,10
14,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7109021417190448,0.3790676532976217,0.24045708253096254,0.47139324151279066,0.4814615692906228,0.4130458157789269,0.5548723863891849,0.5065639632066158,0.517296996119295,0.40722964584901417,0.3911985220085825,0.5,9,350,10
15,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7010586406779993,0.40461970068718783,0.3693805534647755,0.4063596641284054,0.43648644685780197,0.49038621323349724,0.5721156195931614,0.3501138796297201,0.5175413730071065,0.38396496612936337,0.526573542780618,0.5,9,350,10
16,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7249587003059599,0.38480562262343476,0.2970743198991212,0.4084906305901213,0.5230838408226703,0.4916569730501168,0.40256693482957157,0.48036676083322744,0.5395548430611626,0.3395665731517776,0.4811292167231992,0.5,9,350,10
17,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7565517443622252,0.5447845084603279,0.42417962678761695,0.37509897263956365,0.5941486397982424,0.4433583249430602,0.6043733687842738,0.5171405949110957,0.5053225286165336,0.4631333027047634,0.4972580913187554,0.5,9,350,10
18,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7314884507482821,0.4111885514315598,0.32149245852924213,0.4992815319498343,0.3260085434159979,0.6126039823657637,0.574090184846678,0.5040419937244015,0.5935328100409576,0.4606602086001114,0.41750325021260787,0.5,9,350,10
19,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.723658615262803,0.5508939306556143,0.25967488098845565,0.5043743462918251,0.48998543513748644,0.5857322997820158,0.5689875954291747,0.41809952981886783,0.35820764215403567,0.34193214142579254,0.4428109207143625,0.5,9,350,10
