Combination,index,Clients,Global Accuracy,Trial,Max Iter or Depth,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,n_clients
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8505263157894737,1,10,0.7147368421052631,0.6989473684210527,0.6705263157894736,0.62,0.72,0.6926315789473684,0.7,0.6021052631578947,0.6915789473684211,0.6673684210526316,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8315789473684211,2,10,0.6957894736842105,0.6631578947368421,0.7210526315789474,0.7663157894736842,0.7063157894736842,0.6136842105263158,0.6442105263157895,0.7210526315789474,0.3873684210526316,0.7157894736842105,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8526315789473684,3,10,0.6947368421052632,0.4831578947368421,0.7642105263157895,0.5021052631578947,0.6968421052631579,0.4789473684210526,0.7094736842105264,0.6884210526315789,0.6989473684210527,0.7126315789473684,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8347368421052631,4,10,0.6947368421052632,0.6568421052631579,0.7,0.5926315789473684,0.7157894736842105,0.52,0.64,0.6010526315789474,0.5284210526315789,0.64,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8347368421052631,5,10,0.6684210526315789,0.6157894736842106,0.6663157894736842,0.5894736842105263,0.7273684210526316,0.7557894736842106,0.7610526315789473,0.6978947368421052,0.7147368421052631,0.6273684210526316,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8263157894736842,6,10,0.7526315789473684,0.6926315789473684,0.4284210526315789,0.6073684210526316,0.4073684210526316,0.631578947368421,0.6578947368421053,0.36947368421052634,0.5147368421052632,0.7231578947368421,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.848421052631579,7,10,0.671578947368421,0.6873684210526316,0.7568421052631579,0.7063157894736842,0.6863157894736842,0.7136842105263158,0.6263157894736842,0.6873684210526316,0.7042105263157895,0.7273684210526316,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8631578947368421,8,10,0.7210526315789474,0.6936842105263158,0.7263157894736842,0.4242105263157895,0.5978947368421053,0.5473684210526316,0.7589473684210526,0.6473684210526316,0.5294736842105263,0.7073684210526315,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8368421052631579,9,10,0.6768421052631579,0.6431578947368422,0.5631578947368421,0.43157894736842106,0.6905263157894737,0.6936842105263158,0.6873684210526316,0.6663157894736842,0.7021052631578948,0.6705263157894736,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8410526315789474,10,10,0.708421052631579,0.6694736842105263,0.6873684210526316,0.6652631578947369,0.6968421052631579,0.6842105263157895,0.7305263157894737,0.4842105263157895,0.7294736842105263,0.6726315789473685,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8621052631578947,11,10,0.46421052631578946,0.6684210526315789,0.6663157894736842,0.48,0.7042105263157895,0.7505263157894737,0.7357894736842105,0.7136842105263158,0.6947368421052632,0.7094736842105264,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8136842105263158,12,10,0.6736842105263158,0.6821052631578948,0.6873684210526316,0.6968421052631579,0.7010526315789474,0.6915789473684211,0.3642105263157895,0.6547368421052632,0.5852631578947368,0.631578947368421,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8526315789473684,13,10,0.6978947368421052,0.7294736842105263,0.46210526315789474,0.6242105263157894,0.6768421052631579,0.5905263157894737,0.7263157894736842,0.7073684210526315,0.5294736842105263,0.6778947368421052,10
1111111111,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8189473684210526,14,10,0.72,0.6905263157894737,0.7063157894736842,0.6336842105263157,0.7221052631578947,0.38105263157894737,0.6821052631578948,0.42105263157894735,0.6231578947368421,0.6621052631578948,10
