Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy (low-quality client),Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,1,0.1,7,10,0.7719869706840391,0.8262757871878393,0.8425624321389794,0.7904451682953312,0.8002171552660152,0.8338762214983714,0.8034744842562432,0.8718783930510315,0.8653637350705755,0.6905537459283387
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8979370249728555,2,0.1,7,10,0.7980456026058632,0.8045602605863192,0.753528773072747,0.6536373507057546,0.5906623235613464,0.7719869706840391,0.8067318132464713,0.8805646036916395,0.6590662323561346,0.8762214983713354
0000100010,33,"[2, 6]",0.6492942453854506,3,0.1,7,10,0.750271444082519,0.5211726384364821,0.6720955483170467,0.7654723127035831,0.7958740499457112,0.6232356134636265,0.6927252985884907,0.8371335504885994,0.8566775244299675,0.8664495114006515
0001000010,65,"[2, 7]",0.7252985884907709,3,0.1,7,10,0.750271444082519,0.5211726384364821,0.6720955483170467,0.7654723127035831,0.7958740499457112,0.6232356134636265,0.6927252985884907,0.8371335504885994,0.8566775244299675,0.8664495114006515
0001100110,101,"[2, 3, 6, 7]",0.6970684039087948,3,0.1,7,10,0.750271444082519,0.5211726384364821,0.6720955483170467,0.7654723127035831,0.7958740499457112,0.6232356134636265,0.6927252985884907,0.8371335504885994,0.8566775244299675,0.8664495114006515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,3,0.1,7,10,0.750271444082519,0.5211726384364821,0.6720955483170467,0.7654723127035831,0.7958740499457112,0.6232356134636265,0.6927252985884907,0.8371335504885994,0.8566775244299675,0.8664495114006515
1000000100,515,"[3, 10]",0.749185667752443,4,0.1,7,10,0.8067318132464713,0.8165038002171553,0.7068403908794788,0.743756786102063,0.8349619978284474,0.7665580890336591,0.8013029315960912,0.8327904451682954,0.8762214983713354,0.5515743756786102
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8935939196525515,4,0.1,7,10,0.8067318132464713,0.8165038002171553,0.7068403908794788,0.743756786102063,0.8349619978284474,0.7665580890336591,0.8013029315960912,0.8327904451682954,0.8762214983713354,0.5515743756786102
0100001000,263,"[4, 9]",0.6167209554831705,5,0.1,7,10,0.753528773072747,0.8414766558089034,0.7969598262757872,0.505971769815418,0.7893593919652552,0.6775244299674267,0.7774158523344191,0.8479913137893594,0.5765472312703583,0.762214983713355
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8870792616720955,5,0.1,7,10,0.753528773072747,0.8414766558089034,0.7969598262757872,0.505971769815418,0.7893593919652552,0.6775244299674267,0.7774158523344191,0.8479913137893594,0.5765472312703583,0.762214983713355
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8990228013029316,6,0.1,7,10,0.6916395222584147,0.7741585233441911,0.8034744842562432,0.7698154180238871,0.8197611292073833,0.8327904451682954,0.8132464712269273,0.8555917480998915,0.8273615635179153,0.8664495114006515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,7,0.1,7,10,0.760043431053203,0.7676438653637351,0.745928338762215,0.751357220412595,0.7828447339847991,0.8067318132464713,0.8023887079261672,0.8545059717698155,0.8599348534201955,0.8664495114006515
0001010011,82,"[1, 2, 5, 7]",0.7958740499457112,8,0.1,7,10,0.739413680781759,0.7100977198697068,0.8110749185667753,0.8208469055374593,0.6102062975027145,0.8110749185667753,0.6644951140065146,0.8284473398479913,0.8914223669923995,0.8360477741585234
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,8,0.1,7,10,0.739413680781759,0.7100977198697068,0.8110749185667753,0.8208469055374593,0.6102062975027145,0.8110749185667753,0.6644951140065146,0.8284473398479913,0.8914223669923995,0.8360477741585234
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9001085776330076,9,0.1,7,10,0.8143322475570033,0.7817589576547231,0.6894679695982627,0.7752442996742671,0.751357220412595,0.7763300760043431,0.8110749185667753,0.8588490770901195,0.8545059717698155,0.8729641693811075
0100010000,271,"[5, 9]",0.6905537459283387,10,0.1,7,10,0.8034744842562432,0.7795874049945711,0.6796959826275787,0.8110749185667753,0.6286644951140065,0.7252985884907709,0.7969598262757872,0.8110749185667753,0.6004343105320304,0.7947882736156352
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8838219326818675,10,0.1,7,10,0.8034744842562432,0.7795874049945711,0.6796959826275787,0.8110749185667753,0.6286644951140065,0.7252985884907709,0.7969598262757872,0.8110749185667753,0.6004343105320304,0.7947882736156352
0010000100,131,"[3, 8]",0.6655808903365906,11,0.1,7,10,0.755700325732899,0.7947882736156352,0.5743756786102063,0.7969598262757872,0.7079261672095548,0.7947882736156352,0.8306188925081434,0.5700325732899023,0.8664495114006515,0.6264929424538545
