Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy (low-quality client),Client 8 Accuracy (low-quality client),Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8990228013029316,1,0.1,8,10,0.7795874049945711,0.8154180238870793,0.7090119435396308,0.7665580890336591,0.7719869706840391,0.7839305103148752,0.8219326818675353,0.8197611292073833,0.8425624321389794,0.8132464712269273
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,2,0.1,8,10,0.7252985884907709,0.8121606948968513,0.8295331161780674,0.8034744842562432,0.7947882736156352,0.754614549402823,0.7763300760043431,0.756786102062975,0.8838219326818675,0.8631921824104235
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,3,0.1,8,10,0.7741585233441911,0.761129207383279,0.7719869706840391,0.8566775244299675,0.7687296416938111,0.738327904451683,0.7231270358306189,0.8110749185667753,0.8013029315960912,0.8371335504885994
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,4,0.1,8,10,0.8056460369163952,0.8034744842562432,0.7828447339847991,0.8642779587404995,0.7361563517915309,0.740499457111835,0.7958740499457112,0.8154180238870793,0.8143322475570033,0.8501628664495114
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,5,0.1,8,10,0.8056460369163952,0.8360477741585234,0.8208469055374593,0.7242128121606949,0.8056460369163952,0.749185667752443,0.8371335504885994,0.8121606948968513,0.8469055374592834,0.8729641693811075
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,6,0.1,8,10,0.8121606948968513,0.8490770901194354,0.7252985884907709,0.6134636264929425,0.8219326818675353,0.6710097719869706,0.8175895765472313,0.8327904451682954,0.9131378935939196,0.8479913137893594
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8925081433224755,7,0.1,8,10,0.7969598262757872,0.7763300760043431,0.747014115092291,0.7871878393051032,0.750271444082519,0.7763300760043431,0.8306188925081434,0.7937024972855592,0.8773072747014115,0.8414766558089034
0010100000,159,"[6, 8]",0.7024972855591748,8,0.1,8,10,0.7633007600434311,0.6720955483170467,0.8317046688382194,0.7730727470141151,0.8317046688382194,0.5374592833876222,0.8002171552660152,0.6688382193268186,0.6796959826275787,0.8393051031487514
0110100010,417,"[2, 6, 8, 9]",0.745928338762215,8,0.1,8,10,0.7633007600434311,0.6720955483170467,0.8317046688382194,0.7730727470141151,0.8317046688382194,0.5374592833876222,0.8002171552660152,0.6688382193268186,0.6796959826275787,0.8393051031487514
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8870792616720955,8,0.1,8,10,0.7633007600434311,0.6720955483170467,0.8317046688382194,0.7730727470141151,0.8317046688382194,0.5374592833876222,0.8002171552660152,0.6688382193268186,0.6796959826275787,0.8393051031487514
0100010010,273,"[2, 5, 9]",0.7361563517915309,9,0.1,8,10,0.8078175895765473,0.7187839305103149,0.760043431053203,0.744842562432139,0.7122692725298588,0.7774158523344191,0.8208469055374593,0.8099891422366993,0.5613463626492943,0.8751357220412594
0100011110,285,"[2, 3, 4, 5, 9]",0.7850162866449512,9,0.1,8,10,0.8078175895765473,0.7187839305103149,0.760043431053203,0.744842562432139,0.7122692725298588,0.7774158523344191,0.8208469055374593,0.8099891422366993,0.5613463626492943,0.8751357220412594
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8859934853420195,9,0.1,8,10,0.8078175895765473,0.7187839305103149,0.760043431053203,0.744842562432139,0.7122692725298588,0.7774158523344191,0.8208469055374593,0.8099891422366993,0.5613463626492943,0.8751357220412594
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,10,0.1,8,10,0.7958740499457112,0.8273615635179153,0.7339847991313789,0.760043431053203,0.747014115092291,0.5982627578718784,0.7904451682953312,0.748099891422367,0.8089033659066233,0.8816503800217155
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8892508143322475,11,0.1,8,10,0.6862106406080347,0.8393051031487514,0.8295331161780674,0.34310532030401736,0.509229098805646,0.5939196525515744,0.749185667752443,0.8154180238870793,0.7980456026058632,0.8382193268186754
0000110000,47,"[5, 6]",0.6948968512486428,12,0.1,8,10,0.7676438653637351,0.8056460369163952,0.7654723127035831,0.8219326818675353,0.6232356134636265,0.5233441910966341,0.7752442996742671,0.8219326818675353,0.8718783930510315,0.8577633007600435
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,12,0.1,8,10,0.7676438653637351,0.8056460369163952,0.7654723127035831,0.8219326818675353,0.6232356134636265,0.5233441910966341,0.7752442996742671,0.8219326818675353,0.8718783930510315,0.8577633007600435
0000000101,4,"[1, 3]",0.744842562432139,13,0.1,8,10,0.740499457111835,0.7947882736156352,0.4777415852334419,0.7665580890336591,0.6286644951140065,0.8121606948968513,0.7709011943539631,0.761129207383279,0.6786102062975027,0.8382193268186754
0000010100,19,"[3, 5]",0.6460369163952225,13,0.1,8,10,0.740499457111835,0.7947882736156352,0.4777415852334419,0.7665580890336591,0.6286644951140065,0.8121606948968513,0.7709011943539631,0.761129207383279,0.6786102062975027,0.8382193268186754
0100000100,259,"[3, 9]",0.6862106406080347,13,0.1,8,10,0.740499457111835,0.7947882736156352,0.4777415852334419,0.7665580890336591,0.6286644951140065,0.8121606948968513,0.7709011943539631,0.761129207383279,0.6786102062975027,0.8382193268186754
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8903365906623235,13,0.1,8,10,0.740499457111835,0.7947882736156352,0.4777415852334419,0.7665580890336591,0.6286644951140065,0.8121606948968513,0.7709011943539631,0.761129207383279,0.6786102062975027,0.8382193268186754
0001000001,64,"[1, 7]",0.6883821932681867,14,0.1,8,10,0.5960912052117264,0.7937024972855592,0.738327904451683,0.8588490770901195,0.8002171552660152,0.8110749185667753,0.5722041259500543,0.7285559174809989,0.8317046688382194,0.8555917480998915
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9044516829533116,14,0.1,8,10,0.5960912052117264,0.7937024972855592,0.738327904451683,0.8588490770901195,0.8002171552660152,0.8110749185667753,0.5722041259500543,0.7285559174809989,0.8317046688382194,0.8555917480998915
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,15,0.1,8,10,0.7850162866449512,0.7643865363735071,0.757871878393051,0.8306188925081434,0.7947882736156352,0.7774158523344191,0.7361563517915309,0.7969598262757872,0.8718783930510315,0.8566775244299675
1010000000,639,"[8, 10]",0.6102062975027145,16,0.1,8,10,0.7904451682953312,0.7915309446254072,0.7752442996742671,0.6742671009771987,0.8295331161780674,0.8371335504885994,0.7850162866449512,0.5179153094462541,0.7231270358306189,0.5960912052117264
1110001000,903,"[4, 8, 9, 10]",0.7318132464712269,16,0.1,8,10,0.7904451682953312,0.7915309446254072,0.7752442996742671,0.6742671009771987,0.8295331161780674,0.8371335504885994,0.7850162866449512,0.5179153094462541,0.7231270358306189,0.5960912052117264
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8935939196525515,16,0.1,8,10,0.7904451682953312,0.7915309446254072,0.7752442996742671,0.6742671009771987,0.8295331161780674,0.8371335504885994,0.7850162866449512,0.5179153094462541,0.7231270358306189,0.5960912052117264
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8914223669923995,17,0.1,8,10,0.8241042345276873,0.7904451682953312,0.7839305103148752,0.7252985884907709,0.4191096634093377,0.7763300760043431,0.8338762214983714,0.4809989142236699,0.5852334419109664,0.8371335504885994
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8968512486427795,18,0.1,8,10,0.7111834961997828,0.7752442996742671,0.8132464712269273,0.762214983713355,0.8251900108577633,0.8458197611292074,0.8175895765472313,0.8089033659066233,0.8393051031487514,0.8675352877307275
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,19,0.1,8,10,0.7915309446254072,0.7328990228013029,0.7882736156351792,0.739413680781759,0.8023887079261672,0.7372421281216069,0.7752442996742671,0.8110749185667753,0.8610206297502715,0.8143322475570033
1000000001,512,"[1, 10]",0.5971769815418024,20,0.1,8,10,0.5667752442996743,0.8165038002171553,0.8414766558089034,0.5602605863192183,0.7752442996742671,0.8089033659066233,0.7871878393051032,0.8610206297502715,0.8686210640608035,0.499457111834962
1000001000,519,"[4, 10]",0.5950054288816504,20,0.1,8,10,0.5667752442996743,0.8165038002171553,0.8414766558089034,0.5602605863192183,0.7752442996742671,0.8089033659066233,0.7871878393051032,0.8610206297502715,0.8686210640608035,0.499457111834962
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9098805646036916,20,0.1,8,10,0.5667752442996743,0.8165038002171553,0.8414766558089034,0.5602605863192183,0.7752442996742671,0.8089033659066233,0.7871878393051032,0.8610206297502715,0.8686210640608035,0.499457111834962
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,21,0.1,8,10,0.7665580890336591,0.8121606948968513,0.8013029315960912,0.8251900108577633,0.7187839305103149,0.7339847991313789,0.7882736156351792,0.8349619978284474,0.748099891422367,0.8686210640608035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9098805646036916,22,0.1,8,10,0.7231270358306189,0.6992399565689468,0.7372421281216069,0.747014115092291,0.7242128121606949,0.5765472312703583,0.748099891422367,0.8295331161780674,0.738327904451683,0.7915309446254072
