Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0010001000,135,"[4, 8]",0.6319218241042345,1,0.1,3,10,0.8523344191096635,0.7328990228013029,0.7350705754614549,0.5722041259500543,0.8794788273615635,0.8197611292073833,0.8675352877307275,0.6297502714440825,0.8121606948968513,0.8393051031487514
0010001110,141,"[2, 3, 4, 8]",0.7958740499457112,1,0.1,3,10,0.8523344191096635,0.7328990228013029,0.7350705754614549,0.5722041259500543,0.8794788273615635,0.8197611292073833,0.8675352877307275,0.6297502714440825,0.8121606948968513,0.8393051031487514
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,1,0.1,3,10,0.8523344191096635,0.7328990228013029,0.7350705754614549,0.5722041259500543,0.8794788273615635,0.8197611292073833,0.8675352877307275,0.6297502714440825,0.8121606948968513,0.8393051031487514
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,2,0.1,3,10,0.7307274701411509,0.8251900108577633,0.6948968512486428,0.8751357220412594,0.8545059717698155,0.8469055374592834,0.8393051031487514,0.8566775244299675,0.8175895765472313,0.8718783930510315
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,3,0.1,3,10,0.6872964169381107,0.7654723127035831,0.8306188925081434,0.8512486427795874,0.8078175895765473,0.8371335504885994,0.747014115092291,0.7806731813246471,0.8186753528773073,0.7915309446254072
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9305103148751357,4,0.1,3,10,0.7828447339847991,0.8143322475570033,0.8175895765472313,0.8566775244299675,0.5494028230184582,0.8143322475570033,0.8490770901194354,0.8805646036916395,0.8675352877307275,0.8631921824104235
0010010000,143,"[5, 8]",0.761129207383279,5,0.1,3,10,0.756786102062975,0.739413680781759,0.7937024972855592,0.8512486427795874,0.6297502714440825,0.8295331161780674,0.8566775244299675,0.6102062975027145,0.8653637350705755,0.6731813246471227
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9011943539630836,5,0.1,3,10,0.756786102062975,0.739413680781759,0.7937024972855592,0.8512486427795874,0.6297502714440825,0.8295331161780674,0.8566775244299675,0.6102062975027145,0.8653637350705755,0.6731813246471227
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,6,0.1,3,10,0.7904451682953312,0.8132464712269273,0.6058631921824105,0.7969598262757872,0.8599348534201955,0.8403908794788274,0.8371335504885994,0.7133550488599348,0.8284473398479913,0.747014115092291
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,7,0.1,3,10,0.7817589576547231,0.8555917480998915,0.7024972855591748,0.8349619978284474,0.8631921824104235,0.7057546145494028,0.8002171552660152,0.8675352877307275,0.6362649294245385,0.8697068403908795
0000011000,23,"[4, 5]",0.6503800217155266,8,0.1,3,10,0.7980456026058632,0.8403908794788274,0.748099891422367,0.505971769815418,0.6492942453854506,0.8045602605863192,0.8469055374592834,0.7709011943539631,0.8783930510314875,0.8545059717698155
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9098805646036916,8,0.1,3,10,0.7980456026058632,0.8403908794788274,0.748099891422367,0.505971769815418,0.6492942453854506,0.8045602605863192,0.8469055374592834,0.7709011943539631,0.8783930510314875,0.8545059717698155
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,9,0.1,3,10,0.8327904451682954,0.7893593919652552,0.8382193268186754,0.8577633007600435,0.8566775244299675,0.8664495114006515,0.8143322475570033,0.8653637350705755,0.8425624321389794,0.8306188925081434
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,10,0.1,3,10,0.7122692725298588,0.7122692725298588,0.7741585233441911,0.8393051031487514,0.8631921824104235,0.8653637350705755,0.745928338762215,0.7850162866449512,0.8110749185667753,0.8034744842562432
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,11,0.1,3,10,0.6764386536373507,0.738327904451683,0.747014115092291,0.8099891422366993,0.8349619978284474,0.6449511400651465,0.6905537459283387,0.8610206297502715,0.7687296416938111,0.8566775244299675
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,12,0.1,3,10,0.7817589576547231,0.8121606948968513,0.8197611292073833,0.8371335504885994,0.8479913137893594,0.8664495114006515,0.8762214983713354,0.8534201954397395,0.6992399565689468,0.8425624321389794
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,13,0.1,3,10,0.8197611292073833,0.8512486427795874,0.7339847991313789,0.8577633007600435,0.6492942453854506,0.8360477741585234,0.8697068403908795,0.8110749185667753,0.8414766558089034,0.8154180238870793
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,14,0.1,3,10,0.7665580890336591,0.7719869706840391,0.6688382193268186,0.8545059717698155,0.8675352877307275,0.8436482084690554,0.8946796959826275,0.8566775244299675,0.5298588490770901,0.8914223669923995
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,15,0.1,3,10,0.8132464712269273,0.8403908794788274,0.8327904451682954,0.8859934853420195,0.8751357220412594,0.8892508143322475,0.761129207383279,0.8534201954397395,0.749185667752443,0.7882736156351792
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,16,0.1,3,10,0.8273615635179153,0.8219326818675353,0.8110749185667753,0.8469055374592834,0.5754614549402823,0.8208469055374593,0.760043431053203,0.6655808903365906,0.8110749185667753,0.8599348534201955
0010001000,135,"[4, 8]",0.6319218241042345,17,0.1,3,10,0.8523344191096635,0.7328990228013029,0.7350705754614549,0.5722041259500543,0.8794788273615635,0.8197611292073833,0.8675352877307275,0.6297502714440825,0.8121606948968513,0.8393051031487514
0010001110,141,"[2, 3, 4, 8]",0.7958740499457112,17,0.1,3,10,0.8523344191096635,0.7328990228013029,0.7350705754614549,0.5722041259500543,0.8794788273615635,0.8197611292073833,0.8675352877307275,0.6297502714440825,0.8121606948968513,0.8393051031487514
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,17,0.1,3,10,0.8523344191096635,0.7328990228013029,0.7350705754614549,0.5722041259500543,0.8794788273615635,0.8197611292073833,0.8675352877307275,0.6297502714440825,0.8121606948968513,0.8393051031487514
0000001100,11,"[3, 4]",0.7035830618892508,18,0.1,3,10,0.8045602605863192,0.7698154180238871,0.6796959826275787,0.4755700325732899,0.8349619978284474,0.8327904451682954,0.8697068403908795,0.8577633007600435,0.8729641693811075,0.6829533116178067
1000001000,519,"[4, 10]",0.7024972855591748,18,0.1,3,10,0.8045602605863192,0.7698154180238871,0.6796959826275787,0.4755700325732899,0.8349619978284474,0.8327904451682954,0.8697068403908795,0.8577633007600435,0.8729641693811075,0.6829533116178067
1000001110,525,"[2, 3, 4, 10]",0.8002171552660152,18,0.1,3,10,0.8045602605863192,0.7698154180238871,0.6796959826275787,0.4755700325732899,0.8349619978284474,0.8327904451682954,0.8697068403908795,0.8577633007600435,0.8729641693811075,0.6829533116178067
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,18,0.1,3,10,0.8045602605863192,0.7698154180238871,0.6796959826275787,0.4755700325732899,0.8349619978284474,0.8327904451682954,0.8697068403908795,0.8577633007600435,0.8729641693811075,0.6829533116178067
0110111010,441,"[2, 4, 5, 6, 8, 9]",0.8295331161780674,19,0.1,3,10,0.7709011943539631,0.8078175895765473,0.8197611292073833,0.4234527687296417,0.8132464712269273,0.8056460369163952,0.8501628664495114,0.50271444082519,0.4766558089033659,0.8425624321389794
