Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,1,0.1,6,10,0.7817589576547231,0.7307274701411509,0.7361563517915309,0.8099891422366993,0.8045602605863192,0.8045602605863192,0.8327904451682954,0.8436482084690554,0.5971769815418024,0.8230184581976113
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9011943539630836,2,0.1,6,10,0.7980456026058632,0.8284473398479913,0.7871878393051032,0.7947882736156352,0.743756786102063,0.751357220412595,0.8599348534201955,0.6992399565689468,0.8447339847991314,0.8653637350705755
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,3,0.1,6,10,0.8045602605863192,0.7828447339847991,0.7665580890336591,0.753528773072747,0.7871878393051032,0.7926167209554832,0.8425624321389794,0.8501628664495114,0.8794788273615635,0.8794788273615635
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9066232356134636,4,0.1,6,10,0.8208469055374593,0.740499457111835,0.6862106406080347,0.755700325732899,0.8034744842562432,0.7958740499457112,0.8295331161780674,0.8360477741585234,0.8697068403908795,0.8566775244299675
0001001000,71,"[4, 7]",0.6492942453854506,5,0.1,6,10,0.760043431053203,0.7350705754614549,0.8034744842562432,0.5928338762214984,0.7285559174809989,0.8219326818675353,0.49728555917481,0.8175895765472313,0.8545059717698155,0.8729641693811075
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,5,0.1,6,10,0.760043431053203,0.7350705754614549,0.8034744842562432,0.5928338762214984,0.7285559174809989,0.8219326818675353,0.49728555917481,0.8175895765472313,0.8545059717698155,0.8729641693811075
0000100100,35,"[3, 6]",0.5537459283387622,6,0.1,6,10,0.7654723127035831,0.754614549402823,0.5168295331161781,0.742671009771987,0.6775244299674267,0.48642779587404994,0.8089033659066233,0.6503800217155266,0.8881650380021715,0.8251900108577633
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8979370249728555,6,0.1,6,10,0.7654723127035831,0.754614549402823,0.5168295331161781,0.742671009771987,0.6775244299674267,0.48642779587404994,0.8089033659066233,0.6503800217155266,0.8881650380021715,0.8251900108577633
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8968512486427795,7,0.1,6,10,0.7850162866449512,0.7654723127035831,0.760043431053203,0.6688382193268186,0.7730727470141151,0.6330076004343105,0.7068403908794788,0.8501628664495114,0.758957654723127,0.8458197611292074
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9283387622149837,8,0.1,6,10,0.7926167209554832,0.7893593919652552,0.7795874049945711,0.6243213897937026,0.7698154180238871,0.8208469055374593,0.8165038002171553,0.8154180238870793,0.8686210640608035,0.7763300760043431
0001001000,71,"[4, 7]",0.6492942453854506,9,0.1,6,10,0.760043431053203,0.7350705754614549,0.8034744842562432,0.5928338762214984,0.7285559174809989,0.8219326818675353,0.49728555917481,0.8175895765472313,0.8545059717698155,0.8729641693811075
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,9,0.1,6,10,0.760043431053203,0.7350705754614549,0.8034744842562432,0.5928338762214984,0.7285559174809989,0.8219326818675353,0.49728555917481,0.8175895765472313,0.8545059717698155,0.8729641693811075
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,10,0.1,6,10,0.8089033659066233,0.8143322475570033,0.8338762214983714,0.8110749185667753,0.8414766558089034,0.7904451682953312,0.8631921824104235,0.8458197611292074,0.7741585233441911,0.6807817589576547
0000001001,8,"[1, 4]",0.6330076004343105,11,0.1,6,10,0.6297502714440825,0.7937024972855592,0.8089033659066233,0.507057546145494,0.7839305103148752,0.7980456026058632,0.8762214983713354,0.8783930510314875,0.8327904451682954,0.8327904451682954
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,11,0.1,6,10,0.6297502714440825,0.7937024972855592,0.8089033659066233,0.507057546145494,0.7839305103148752,0.7980456026058632,0.8762214983713354,0.8783930510314875,0.8327904451682954,0.8327904451682954
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8914223669923995,12,0.1,6,10,0.7828447339847991,0.762214983713355,0.749185667752443,0.7991313789359392,0.5461454940282302,0.8393051031487514,0.7730727470141151,0.745928338762215,0.8903365906623235,0.8349619978284474
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,13,0.1,6,10,0.7980456026058632,0.8034744842562432,0.8067318132464713,0.8295331161780674,0.8458197611292074,0.6872964169381107,0.7893593919652552,0.8610206297502715,0.8403908794788274,0.8197611292073833
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,14,0.1,6,10,0.7980456026058632,0.6666666666666666,0.7980456026058632,0.8099891422366993,0.7209554831704669,0.7828447339847991,0.8707926167209555,0.8816503800217155,0.8306188925081434,0.8512486427795874
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,15,0.1,6,10,0.741585233441911,0.5722041259500543,0.8251900108577633,0.7328990228013029,0.7318132464712269,0.8588490770901195,0.8621064060803475,0.8751357220412594,0.8577633007600435,0.8208469055374593
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,16,0.1,6,10,0.7654723127035831,0.4147665580890337,0.8078175895765473,0.760043431053203,0.8067318132464713,0.8067318132464713,0.8414766558089034,0.5646036916395223,0.8186753528773073,0.8523344191096635
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,17,0.1,6,10,0.745928338762215,0.8089033659066233,0.7730727470141151,0.758957654723127,0.7296416938110749,0.8045602605863192,0.8469055374592834,0.8566775244299675,0.8436482084690554,0.8393051031487514
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,18,0.1,6,10,0.7296416938110749,0.6829533116178067,0.7839305103148752,0.7328990228013029,0.6134636264929425,0.7187839305103149,0.8534201954397395,0.7687296416938111,0.8751357220412594,0.6471226927252985
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,19,0.1,6,10,0.752442996742671,0.743756786102063,0.8143322475570033,0.7709011943539631,0.7915309446254072,0.8393051031487514,0.8631921824104235,0.6416938110749185,0.8479913137893594,0.8241042345276873
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,20,0.1,6,10,0.750271444082519,0.8132464712269273,0.7361563517915309,0.3995656894679696,0.8056460369163952,0.512486427795874,0.8262757871878393,0.8534201954397395,0.8599348534201955,0.8653637350705755
