Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0101000000,319,"[7, 9]",0.6666666666666666,1,0.1,2,10,0.7785016286644951,0.7730727470141151,0.8545059717698155,0.8827361563517915,0.7698154180238871,0.8262757871878393,0.6384364820846905,0.8197611292073833,0.5396308360477742,0.8653637350705755
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,1,0.1,2,10,0.7785016286644951,0.7730727470141151,0.8545059717698155,0.8827361563517915,0.7698154180238871,0.8262757871878393,0.6384364820846905,0.8197611292073833,0.5396308360477742,0.8653637350705755
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,2,0.1,2,10,0.8002171552660152,0.8371335504885994,0.8555917480998915,0.8534201954397395,0.8545059717698155,0.8588490770901195,0.7893593919652552,0.6786102062975027,0.7339847991313789,0.8425624321389794
0100100000,287,"[6, 9]",0.7785016286644951,3,0.1,2,10,0.8099891422366993,0.8034744842562432,0.8306188925081434,0.8577633007600435,0.6688382193268186,0.5743756786102063,0.8762214983713354,0.8034744842562432,0.6894679695982627,0.8599348534201955
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9098805646036916,3,0.1,2,10,0.8099891422366993,0.8034744842562432,0.8306188925081434,0.8577633007600435,0.6688382193268186,0.5743756786102063,0.8762214983713354,0.8034744842562432,0.6894679695982627,0.8599348534201955
0000100001,32,"[1, 6]",0.7719869706840391,4,0.1,2,10,0.747014115092291,0.8002171552660152,0.8762214983713354,0.8208469055374593,0.8740499457111836,0.5200868621064061,0.8631921824104235,0.8089033659066233,0.8740499457111836,0.8251900108577633
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8990228013029316,4,0.1,2,10,0.747014115092291,0.8002171552660152,0.8762214983713354,0.8208469055374593,0.8740499457111836,0.5200868621064061,0.8631921824104235,0.8089033659066233,0.8740499457111836,0.8251900108577633
0001000010,65,"[2, 7]",0.6851248642779587,5,0.1,2,10,0.7741585233441911,0.6579804560260586,0.8914223669923995,0.8241042345276873,0.8436482084690554,0.8317046688382194,0.5461454940282302,0.8870792616720955,0.7665580890336591,0.8881650380021715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,5,0.1,2,10,0.7741585233441911,0.6579804560260586,0.8914223669923995,0.8241042345276873,0.8436482084690554,0.8317046688382194,0.5461454940282302,0.8870792616720955,0.7665580890336591,0.8881650380021715
0000100001,32,"[1, 6]",0.6568946796959826,6,0.1,2,10,0.5526601520086862,0.8219326818675353,0.8186753528773073,0.8002171552660152,0.8327904451682954,0.6406080347448425,0.8338762214983714,0.8425624321389794,0.8555917480998915,0.8881650380021715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,6,0.1,2,10,0.5526601520086862,0.8219326818675353,0.8186753528773073,0.8002171552660152,0.8327904451682954,0.6406080347448425,0.8338762214983714,0.8425624321389794,0.8555917480998915,0.8881650380021715
