Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0010000001,128,"[1, 8]",0.6840390879478827,1,0.1,1,10,0.5591748099891423,0.8642779587404995,0.7090119435396308,0.8838219326818675,0.8827361563517915,0.8794788273615635,0.8957654723127035,0.5819761129207384,0.8479913137893594,0.8501628664495114
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,1,0.1,1,10,0.5591748099891423,0.8642779587404995,0.7090119435396308,0.8838219326818675,0.8827361563517915,0.8794788273615635,0.8957654723127035,0.5819761129207384,0.8479913137893594,0.8501628664495114
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,2,0.1,1,10,0.8121606948968513,0.8675352877307275,0.8523344191096635,0.8349619978284474,0.8566775244299675,0.8251900108577633,0.5418023887079262,0.8555917480998915,0.8425624321389794,0.8642779587404995
1101000001,832,"[1, 7, 9, 10]",0.8197611292073833,3,0.1,1,10,0.7057546145494028,0.8610206297502715,0.8555917480998915,0.8783930510314875,0.8642779587404995,0.8512486427795874,0.7795874049945711,0.8827361563517915,0.6514657980456026,0.6286644951140065
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,3,0.1,1,10,0.7057546145494028,0.8610206297502715,0.8555917480998915,0.8783930510314875,0.8642779587404995,0.8512486427795874,0.7795874049945711,0.8827361563517915,0.6514657980456026,0.6286644951140065
0010010000,143,"[5, 8]",0.7209554831704669,4,0.1,1,10,0.7980456026058632,0.8707926167209555,0.8740499457111836,0.7882736156351792,0.7046688382193268,0.6308360477741585,0.8805646036916395,0.4809989142236699,0.8186753528773073,0.7958740499457112
0010100000,159,"[6, 8]",0.6492942453854506,4,0.1,1,10,0.7980456026058632,0.8707926167209555,0.8740499457111836,0.7882736156351792,0.7046688382193268,0.6308360477741585,0.8805646036916395,0.4809989142236699,0.8186753528773073,0.7958740499457112
1010000000,639,"[8, 10]",0.8219326818675353,4,0.1,1,10,0.7980456026058632,0.8707926167209555,0.8740499457111836,0.7882736156351792,0.7046688382193268,0.6308360477741585,0.8805646036916395,0.4809989142236699,0.8186753528773073,0.7958740499457112
1010111001,696,"[1, 4, 5, 6, 8, 10]",0.8371335504885994,4,0.1,1,10,0.7980456026058632,0.8707926167209555,0.8740499457111836,0.7882736156351792,0.7046688382193268,0.6308360477741585,0.8805646036916395,0.4809989142236699,0.8186753528773073,0.7958740499457112
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9305103148751357,4,0.1,1,10,0.7980456026058632,0.8707926167209555,0.8740499457111836,0.7882736156351792,0.7046688382193268,0.6308360477741585,0.8805646036916395,0.4809989142236699,0.8186753528773073,0.7958740499457112
0001000100,67,"[3, 7]",0.7719869706840391,5,0.1,1,10,0.7893593919652552,0.8545059717698155,0.7111834961997828,0.8165038002171553,0.8338762214983714,0.762214983713355,0.6243213897937026,0.7741585233441911,0.8555917480998915,0.8631921824104235
0011100100,227,"[3, 6, 7, 8]",0.7871878393051032,5,0.1,1,10,0.7893593919652552,0.8545059717698155,0.7111834961997828,0.8165038002171553,0.8338762214983714,0.762214983713355,0.6243213897937026,0.7741585233441911,0.8555917480998915,0.8631921824104235
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,5,0.1,1,10,0.7893593919652552,0.8545059717698155,0.7111834961997828,0.8165038002171553,0.8338762214983714,0.762214983713355,0.6243213897937026,0.7741585233441911,0.8555917480998915,0.8631921824104235
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9294245385450597,6,0.1,1,10,0.757871878393051,0.8132464712269273,0.8718783930510315,0.8545059717698155,0.496199782844734,0.8588490770901195,0.8132464712269273,0.8588490770901195,0.8165038002171553,0.8208469055374593
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,7,0.1,1,10,0.4201954397394137,0.8816503800217155,0.8393051031487514,0.8512486427795874,0.8338762214983714,0.8393051031487514,0.8534201954397395,0.8338762214983714,0.8393051031487514,0.6243213897937026
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,8,0.1,1,10,0.7937024972855592,0.8327904451682954,0.8653637350705755,0.8371335504885994,0.8903365906623235,0.7926167209554832,0.7785016286644951,0.8740499457111836,0.8165038002171553,0.8403908794788274
0010100000,159,"[6, 8]",0.6720955483170467,9,0.1,1,10,0.7828447339847991,0.6460369163952225,0.6308360477741585,0.6862106406080347,0.8599348534201955,0.5765472312703583,0.8295331161780674,0.5841476655808904,0.8371335504885994,0.8718783930510315
0010100110,165,"[2, 3, 6, 8]",0.6796959826275787,9,0.1,1,10,0.7828447339847991,0.6460369163952225,0.6308360477741585,0.6862106406080347,0.8599348534201955,0.5765472312703583,0.8295331161780674,0.5841476655808904,0.8371335504885994,0.8718783930510315
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,9,0.1,1,10,0.7828447339847991,0.6460369163952225,0.6308360477741585,0.6862106406080347,0.8599348534201955,0.5765472312703583,0.8295331161780674,0.5841476655808904,0.8371335504885994,0.8718783930510315
