Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,1,0.1,4,10,0.8403908794788274,0.7969598262757872,0.7719869706840391,0.7752442996742671,0.8979370249728555,0.8783930510314875,0.6514657980456026,0.749185667752443,0.8338762214983714,0.8881650380021715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,2,0.1,4,10,0.7176981541802389,0.8034744842562432,0.754614549402823,0.8045602605863192,0.8805646036916395,0.8382193268186754,0.8697068403908795,0.8469055374592834,0.8621064060803475,0.7926167209554832
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,3,0.1,4,10,0.8175895765472313,0.7817589576547231,0.7958740499457112,0.8414766558089034,0.8740499457111836,0.8523344191096635,0.6547231270358306,0.8349619978284474,0.7024972855591748,0.8273615635179153
1000100000,543,"[6, 10]",0.7763300760043431,4,0.1,4,10,0.7839305103148752,0.8588490770901195,0.8241042345276873,0.8338762214983714,0.8566775244299675,0.6862106406080347,0.8729641693811075,0.8089033659066233,0.8436482084690554,0.6199782844733985
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9326818675352877,4,0.1,4,10,0.7839305103148752,0.8588490770901195,0.8241042345276873,0.8338762214983714,0.8566775244299675,0.6862106406080347,0.8729641693811075,0.8089033659066233,0.8436482084690554,0.6199782844733985
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,5,0.1,4,10,0.7795874049945711,0.7861020629750272,0.7947882736156352,0.744842562432139,0.6340933767643865,0.7806731813246471,0.8588490770901195,0.8208469055374593,0.8610206297502715,0.8621064060803475
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,6,0.1,4,10,0.7698154180238871,0.8045602605863192,0.8045602605863192,0.8295331161780674,0.8805646036916395,0.8219326818675353,0.8686210640608035,0.8588490770901195,0.6145494028230185,0.8469055374592834
0100000001,256,"[1, 9]",0.6036916395222585,7,0.1,4,10,0.5700325732899023,0.7361563517915309,0.8056460369163952,0.7741585233441911,0.8816503800217155,0.8360477741585234,0.8523344191096635,0.7817589576547231,0.495114006514658,0.8610206297502715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,7,0.1,4,10,0.5700325732899023,0.7361563517915309,0.8056460369163952,0.7741585233441911,0.8816503800217155,0.8360477741585234,0.8523344191096635,0.7817589576547231,0.495114006514658,0.8610206297502715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9294245385450597,8,0.1,4,10,0.7643865363735071,0.7263843648208469,0.8078175895765473,0.8545059717698155,0.8664495114006515,0.8555917480998915,0.8653637350705755,0.8132464712269273,0.7915309446254072,0.7839305103148752
0100000010,257,"[2, 9]",0.744842562432139,9,0.1,4,10,0.8067318132464713,0.7133550488599348,0.7785016286644951,0.8067318132464713,0.7795874049945711,0.8545059717698155,0.8555917480998915,0.8501628664495114,0.6134636264929425,0.8794788273615635
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,9,0.1,4,10,0.8067318132464713,0.7133550488599348,0.7785016286644951,0.8067318132464713,0.7795874049945711,0.8545059717698155,0.8555917480998915,0.8501628664495114,0.6134636264929425,0.8794788273615635
0000000110,5,"[2, 3]",0.6959826275787188,10,0.1,4,10,0.6818675352877307,0.6286644951140065,0.6123778501628665,0.7774158523344191,0.8697068403908795,0.8610206297502715,0.8458197611292074,0.8740499457111836,0.7274701411509229,0.8013029315960912
0100000111,262,"[1, 2, 3, 9]",0.7871878393051032,10,0.1,4,10,0.6818675352877307,0.6286644951140065,0.6123778501628665,0.7774158523344191,0.8697068403908795,0.8610206297502715,0.8458197611292074,0.8740499457111836,0.7274701411509229,0.8013029315960912
1100001111,782,"[1, 2, 3, 4, 9, 10]",0.8382193268186754,10,0.1,4,10,0.6818675352877307,0.6286644951140065,0.6123778501628665,0.7774158523344191,0.8697068403908795,0.8610206297502715,0.8458197611292074,0.8740499457111836,0.7274701411509229,0.8013029315960912
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,10,0.1,4,10,0.6818675352877307,0.6286644951140065,0.6123778501628665,0.7774158523344191,0.8697068403908795,0.8610206297502715,0.8458197611292074,0.8740499457111836,0.7274701411509229,0.8013029315960912
1000001100,523,"[3, 4, 10]",0.7926167209554832,11,0.1,4,10,0.7958740499457112,0.7633007600434311,0.7643865363735071,0.6905537459283387,0.8805646036916395,0.8458197611292074,0.8697068403908795,0.8447339847991314,0.8284473398479913,0.5928338762214984
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,11,0.1,4,10,0.7958740499457112,0.7633007600434311,0.7643865363735071,0.6905537459283387,0.8805646036916395,0.8458197611292074,0.8697068403908795,0.8447339847991314,0.8284473398479913,0.5928338762214984
