Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,1,3,2,10,0.757871878393051,0.7111834961997828,0.8545059717698155,0.8002171552660152,0.8262757871878393,0.8295331161780674,0.7871878393051032,0.6568946796959826,0.8490770901194354,0.8555917480998915
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,2,3,2,10,0.760043431053203,0.6829533116178067,0.8805646036916395,0.8360477741585234,0.6655808903365906,0.5168295331161781,0.8729641693811075,0.8425624321389794,0.8251900108577633,0.8469055374592834
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,3,3,2,10,0.752442996742671,0.6775244299674267,0.8523344191096635,0.8447339847991314,0.6655808903365906,0.8327904451682954,0.8469055374592834,0.6340933767643865,0.8642779587404995,0.6688382193268186
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9066232356134636,4,3,2,10,0.750271444082519,0.7252985884907709,0.7252985884907709,0.6286644951140065,0.8251900108577633,0.8490770901194354,0.8490770901194354,0.8469055374592834,0.758957654723127,0.7991313789359392
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,5,3,2,10,0.6742671009771987,0.7231270358306189,0.8458197611292074,0.8718783930510315,0.8773072747014115,0.6818675352877307,0.7198697068403909,0.7166123778501629,0.6384364820846905,0.8469055374592834
0100000100,259,"[3, 9]",0.5711183496199783,6,3,2,10,0.6927252985884907,0.6720955483170467,0.498371335504886,0.8805646036916395,0.8762214983713354,0.8382193268186754,0.8794788273615635,0.8545059717698155,0.5494028230184582,0.8621064060803475
0100000111,262,"[1, 2, 3, 9]",0.7242128121606949,6,3,2,10,0.6927252985884907,0.6720955483170467,0.498371335504886,0.8805646036916395,0.8762214983713354,0.8382193268186754,0.8794788273615635,0.8545059717698155,0.5494028230184582,0.8621064060803475
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,6,3,2,10,0.6927252985884907,0.6720955483170467,0.498371335504886,0.8805646036916395,0.8762214983713354,0.8382193268186754,0.8794788273615635,0.8545059717698155,0.5494028230184582,0.8621064060803475
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9305103148751357,7,3,2,10,0.7068403908794788,0.7057546145494028,0.8338762214983714,0.8566775244299675,0.8914223669923995,0.8436482084690554,0.7795874049945711,0.8653637350705755,0.6862106406080347,0.7068403908794788
0001001000,71,"[4, 7]",0.7687296416938111,8,3,2,10,0.7904451682953312,0.8121606948968513,0.8023887079261672,0.7122692725298588,0.8327904451682954,0.8621064060803475,0.5765472312703583,0.8501628664495114,0.8458197611292074,0.8610206297502715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,8,3,2,10,0.7904451682953312,0.8121606948968513,0.8023887079261672,0.7122692725298588,0.8327904451682954,0.8621064060803475,0.5765472312703583,0.8501628664495114,0.8458197611292074,0.8610206297502715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,9,3,2,10,0.738327904451683,0.6340933767643865,0.8523344191096635,0.8545059717698155,0.8262757871878393,0.7795874049945711,0.8859934853420195,0.7231270358306189,0.8783930510314875,0.8512486427795874
0001001000,71,"[4, 7]",0.6275787187839305,10,3,2,10,0.6688382193268186,0.6720955483170467,0.8588490770901195,0.5939196525515744,0.8523344191096635,0.7231270358306189,0.5776330076004343,0.8534201954397395,0.8436482084690554,0.8783930510314875
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,10,3,2,10,0.6688382193268186,0.6720955483170467,0.8588490770901195,0.5939196525515744,0.8523344191096635,0.7231270358306189,0.5776330076004343,0.8534201954397395,0.8436482084690554,0.8783930510314875
0000011000,23,"[4, 5]",0.6395222584147665,11,3,2,10,0.7698154180238871,0.7372421281216069,0.8762214983713354,0.5580890336590663,0.5689467969598263,0.7024972855591748,0.8425624321389794,0.8230184581976113,0.8729641693811075,0.8458197611292074
0000111010,57,"[2, 4, 5, 6]",0.755700325732899,11,3,2,10,0.7698154180238871,0.7372421281216069,0.8762214983713354,0.5580890336590663,0.5689467969598263,0.7024972855591748,0.8425624321389794,0.8230184581976113,0.8729641693811075,0.8458197611292074
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,11,3,2,10,0.7698154180238871,0.7372421281216069,0.8762214983713354,0.5580890336590663,0.5689467969598263,0.7024972855591748,0.8425624321389794,0.8230184581976113,0.8729641693811075,0.8458197611292074
1100000000,767,"[9, 10]",0.6590662323561346,12,3,2,10,0.6536373507057546,0.6753528773072747,0.8566775244299675,0.8729641693811075,0.8740499457111836,0.8816503800217155,0.8458197611292074,0.6362649294245385,0.5504885993485342,0.6145494028230185
1100000011,770,"[1, 2, 9, 10]",0.7861020629750272,12,3,2,10,0.6536373507057546,0.6753528773072747,0.8566775244299675,0.8729641693811075,0.8740499457111836,0.8816503800217155,0.8458197611292074,0.6362649294245385,0.5504885993485342,0.6145494028230185
1110000001,896,"[1, 8, 9, 10]",0.6851248642779587,12,3,2,10,0.6536373507057546,0.6753528773072747,0.8566775244299675,0.8729641693811075,0.8740499457111836,0.8816503800217155,0.8458197611292074,0.6362649294245385,0.5504885993485342,0.6145494028230185
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,12,3,2,10,0.6536373507057546,0.6753528773072747,0.8566775244299675,0.8729641693811075,0.8740499457111836,0.8816503800217155,0.8458197611292074,0.6362649294245385,0.5504885993485342,0.6145494028230185
0000000011,2,"[1, 2]",0.7915309446254072,13,3,2,10,0.7187839305103149,0.750271444082519,0.8447339847991314,0.8219326818675353,0.8327904451682954,0.8631921824104235,0.8121606948968513,0.8262757871878393,0.8545059717698155,0.8642779587404995
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,13,3,2,10,0.7187839305103149,0.750271444082519,0.8447339847991314,0.8219326818675353,0.8327904451682954,0.8631921824104235,0.8121606948968513,0.8262757871878393,0.8545059717698155,0.8642779587404995
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,14,3,2,10,0.6536373507057546,0.6460369163952225,0.8816503800217155,0.8360477741585234,0.6710097719869706,0.8566775244299675,0.8631921824104235,0.8447339847991314,0.8317046688382194,0.8273615635179153
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,15,3,2,10,0.758957654723127,0.7915309446254072,0.6395222584147665,0.8686210640608035,0.8838219326818675,0.8197611292073833,0.8675352877307275,0.8371335504885994,0.8317046688382194,0.761129207383279
0000000011,2,"[1, 2]",0.6905537459283387,16,3,2,10,0.6786102062975027,0.4831704668838219,0.8545059717698155,0.8436482084690554,0.8306188925081434,0.7969598262757872,0.8034744842562432,0.8490770901194354,0.8403908794788274,0.6981541802388708
1000000010,513,"[2, 10]",0.7155266015200868,16,3,2,10,0.6786102062975027,0.4831704668838219,0.8545059717698155,0.8436482084690554,0.8306188925081434,0.7969598262757872,0.8034744842562432,0.8490770901194354,0.8403908794788274,0.6981541802388708
1000100011,546,"[1, 2, 6, 10]",0.8208469055374593,16,3,2,10,0.6786102062975027,0.4831704668838219,0.8545059717698155,0.8436482084690554,0.8306188925081434,0.7969598262757872,0.8034744842562432,0.8490770901194354,0.8403908794788274,0.6981541802388708
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,16,3,2,10,0.6786102062975027,0.4831704668838219,0.8545059717698155,0.8436482084690554,0.8306188925081434,0.7969598262757872,0.8034744842562432,0.8490770901194354,0.8403908794788274,0.6981541802388708
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,17,3,2,10,0.6970684039087948,0.747014115092291,0.8588490770901195,0.8697068403908795,0.744842562432139,0.8610206297502715,0.8371335504885994,0.8360477741585234,0.8697068403908795,0.8675352877307275
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,18,3,2,10,0.6883821932681867,0.7296416938110749,0.5363735070575462,0.8740499457111836,0.8512486427795874,0.8338762214983714,0.8436482084690554,0.8317046688382194,0.8870792616720955,0.8631921824104235
0110100100,419,"[3, 6, 8, 9]",0.6938110749185668,19,3,2,10,0.743756786102063,0.756786102062975,0.6449511400651465,0.8838219326818675,0.8436482084690554,0.5461454940282302,0.8306188925081434,0.5472312703583062,0.6525515743756786,0.8588490770901195
0110100111,422,"[1, 2, 3, 6, 8, 9]",0.8154180238870793,19,3,2,10,0.743756786102063,0.756786102062975,0.6449511400651465,0.8838219326818675,0.8436482084690554,0.5461454940282302,0.8306188925081434,0.5472312703583062,0.6525515743756786,0.8588490770901195
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,19,3,2,10,0.743756786102063,0.756786102062975,0.6449511400651465,0.8838219326818675,0.8436482084690554,0.5461454940282302,0.8306188925081434,0.5472312703583062,0.6525515743756786,0.8588490770901195
