Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8849077090119435,1,0.1,10,10,0.8251900108577633,0.7926167209554832,0.7643865363735071,0.6894679695982627,0.7969598262757872,0.7339847991313789,0.754614549402823,0.7947882736156352,0.7687296416938111,0.6547231270358306
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8859934853420195,2,0.1,10,10,0.7676438653637351,0.8078175895765473,0.7166123778501629,0.741585233441911,0.8447339847991314,0.7861020629750272,0.7882736156351792,0.8262757871878393,0.7741585233441911,0.8197611292073833
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8849077090119435,3,0.1,10,10,0.7741585233441911,0.6188925081433225,0.7893593919652552,0.8219326818675353,0.7991313789359392,0.7958740499457112,0.8306188925081434,0.8121606948968513,0.8143322475570033,0.6547231270358306
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,4,0.1,10,10,0.7090119435396308,0.7242128121606949,0.8110749185667753,0.8143322475570033,0.7350705754614549,0.8132464712269273,0.7947882736156352,0.8121606948968513,0.8295331161780674,0.7730727470141151
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8870792616720955,5,0.1,10,10,0.6992399565689468,0.741585233441911,0.7882736156351792,0.7926167209554832,0.7937024972855592,0.7806731813246471,0.7654723127035831,0.7643865363735071,0.8306188925081434,0.8251900108577633
0001010100,83,"[3, 5, 7]",0.7111834961997828,6,0.1,10,10,0.7806731813246471,0.7785016286644951,0.6807817589576547,0.8023887079261672,0.5874049945711184,0.8034744842562432,0.6818675352877307,0.7752442996742671,0.7915309446254072,0.7795874049945711
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,6,0.1,10,10,0.7806731813246471,0.7785016286644951,0.6807817589576547,0.8023887079261672,0.5874049945711184,0.8034744842562432,0.6818675352877307,0.7752442996742671,0.7915309446254072,0.7795874049945711
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8979370249728555,7,0.1,10,10,0.6080347448425625,0.7709011943539631,0.7372421281216069,0.7882736156351792,0.6829533116178067,0.7958740499457112,0.7871878393051032,0.7698154180238871,0.7328990228013029,0.8045602605863192
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8935939196525515,8,0.1,10,10,0.8023887079261672,0.757871878393051,0.8273615635179153,0.7752442996742671,0.7654723127035831,0.7339847991313789,0.8154180238870793,0.3984799131378936,0.6731813246471227,0.7774158523344191
0000010001,16,"[1, 5]",0.6742671009771987,9,0.1,10,10,0.5613463626492943,0.7361563517915309,0.7763300760043431,0.7350705754614549,0.6503800217155266,0.7252985884907709,0.7318132464712269,0.7839305103148752,0.757871878393051,0.7046688382193268
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8783930510314875,9,0.1,10,10,0.5613463626492943,0.7361563517915309,0.7763300760043431,0.7350705754614549,0.6503800217155266,0.7252985884907709,0.7318132464712269,0.7839305103148752,0.757871878393051,0.7046688382193268
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,10,0.1,10,10,0.739413680781759,0.8121606948968513,0.7024972855591748,0.8371335504885994,0.8479913137893594,0.7654723127035831,0.7958740499457112,0.7947882736156352,0.7090119435396308,0.7915309446254072
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8935939196525515,11,0.1,10,10,0.762214983713355,0.7839305103148752,0.7339847991313789,0.8143322475570033,0.8143322475570033,0.7893593919652552,0.5624321389793703,0.754614549402823,0.8023887079261672,0.7079261672095548
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9001085776330076,12,0.1,10,10,0.8121606948968513,0.7926167209554832,0.7806731813246471,0.8273615635179153,0.7350705754614549,0.7937024972855592,0.7882736156351792,0.7307274701411509,0.751357220412595,0.5819761129207384
0010001000,135,"[4, 8]",0.4820846905537459,13,0.1,10,10,0.7285559174809989,0.7079261672095548,0.758957654723127,0.43322475570032576,0.738327904451683,0.7328990228013029,0.7372421281216069,0.4744842562432139,0.748099891422367,0.6872964169381107
1000001000,519,"[4, 10]",0.6938110749185668,13,0.1,10,10,0.7285559174809989,0.7079261672095548,0.758957654723127,0.43322475570032576,0.738327904451683,0.7328990228013029,0.7372421281216069,0.4744842562432139,0.748099891422367,0.6872964169381107
1010001001,648,"[1, 4, 8, 10]",0.753528773072747,13,0.1,10,10,0.7285559174809989,0.7079261672095548,0.758957654723127,0.43322475570032576,0.738327904451683,0.7328990228013029,0.7372421281216069,0.4744842562432139,0.748099891422367,0.6872964169381107
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8403908794788274,13,0.1,10,10,0.7285559174809989,0.7079261672095548,0.758957654723127,0.43322475570032576,0.738327904451683,0.7328990228013029,0.7372421281216069,0.4744842562432139,0.748099891422367,0.6872964169381107
0100000001,256,"[1, 9]",0.6601520086862106,14,0.1,10,10,0.5678610206297503,0.8002171552660152,0.7850162866449512,0.740499457111835,0.8273615635179153,0.8208469055374593,0.8393051031487514,0.7730727470141151,0.5798045602605864,0.7068403908794788
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8990228013029316,14,0.1,10,10,0.5678610206297503,0.8002171552660152,0.7850162866449512,0.740499457111835,0.8273615635179153,0.8208469055374593,0.8393051031487514,0.7730727470141151,0.5798045602605864,0.7068403908794788
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8990228013029316,15,0.1,10,10,0.7709011943539631,0.7122692725298588,0.6731813246471227,0.8002171552660152,0.7144408251900108,0.7969598262757872,0.8349619978284474,0.3550488599348534,0.757871878393051,0.8023887079261672
0100010000,271,"[5, 9]",0.6243213897937026,16,0.1,10,10,0.8067318132464713,0.762214983713355,0.7719869706840391,0.7763300760043431,0.4809989142236699,0.6406080347448425,0.8241042345276873,0.8197611292073833,0.6188925081433225,0.757871878393051
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8707926167209555,16,0.1,10,10,0.8067318132464713,0.762214983713355,0.7719869706840391,0.7763300760043431,0.4809989142236699,0.6406080347448425,0.8241042345276873,0.8197611292073833,0.6188925081433225,0.757871878393051
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9022801302931596,17,0.1,10,10,0.8317046688382194,0.7252985884907709,0.7263843648208469,0.7795874049945711,0.7991313789359392,0.739413680781759,0.760043431053203,0.7893593919652552,0.758957654723127,0.7024972855591748
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8946796959826275,18,0.1,10,10,0.761129207383279,0.740499457111835,0.8013029315960912,0.7882736156351792,0.7252985884907709,0.8295331161780674,0.8610206297502715,0.6807817589576547,0.8089033659066233,0.8078175895765473
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,19,0.1,10,10,0.7915309446254072,0.8110749185667753,0.6525515743756786,0.751357220412595,0.6644951140065146,0.6080347448425625,0.8121606948968513,0.8023887079261672,0.7752442996742671,0.7763300760043431
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9011943539630836,20,0.1,10,10,0.7915309446254072,0.6753528773072747,0.750271444082519,0.8393051031487514,0.740499457111835,0.8067318132464713,0.7882736156351792,0.8023887079261672,0.8284473398479913,0.7676438653637351
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8957654723127035,21,0.1,10,10,0.8045602605863192,0.7795874049945711,0.7817589576547231,0.6829533116178067,0.7654723127035831,0.8251900108577633,0.7785016286644951,0.8295331161780674,0.7209554831704669,0.5179153094462541
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8957654723127035,22,0.1,10,10,0.7969598262757872,0.7687296416938111,0.7274701411509229,0.8262757871878393,0.7698154180238871,0.7633007600434311,0.7187839305103149,0.742671009771987,0.8425624321389794,0.7676438653637351
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8903365906623235,23,0.1,10,10,0.761129207383279,0.7817589576547231,0.6406080347448425,0.7915309446254072,0.7698154180238871,0.7882736156351792,0.8056460369163952,0.7079261672095548,0.7991313789359392,0.8230184581976113
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8914223669923995,24,0.1,10,10,0.755700325732899,0.6981541802388708,0.7882736156351792,0.7296416938110749,0.8078175895765473,0.7231270358306189,0.5418023887079262,0.7806731813246471,0.7958740499457112,0.7763300760043431
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9011943539630836,25,0.1,10,10,0.8154180238870793,0.7861020629750272,0.6894679695982627,0.7980456026058632,0.7893593919652552,0.8056460369163952,0.7231270358306189,0.755700325732899,0.762214983713355,0.7795874049945711
