Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9098805646036916,1,5,4,10,0.7709011943539631,0.7839305103148752,0.6905537459283387,0.7242128121606949,0.8729641693811075,0.8566775244299675,0.6623235613463626,0.8360477741585234,0.7024972855591748,0.8414766558089034
0000000011,2,"[1, 2]",0.7111834961997828,2,5,4,10,0.6753528773072747,0.499457111834962,0.739413680781759,0.6004343105320304,0.743756786102063,0.8034744842562432,0.8458197611292074,0.8045602605863192,0.8306188925081434,0.8186753528773073
0000001111,14,"[1, 2, 3, 4]",0.7861020629750272,2,5,4,10,0.6753528773072747,0.499457111834962,0.739413680781759,0.6004343105320304,0.743756786102063,0.8034744842562432,0.8458197611292074,0.8045602605863192,0.8306188925081434,0.8186753528773073
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.8295331161780674,2,5,4,10,0.6753528773072747,0.499457111834962,0.739413680781759,0.6004343105320304,0.743756786102063,0.8034744842562432,0.8458197611292074,0.8045602605863192,0.8306188925081434,0.8186753528773073
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8773072747014115,2,5,4,10,0.6753528773072747,0.499457111834962,0.739413680781759,0.6004343105320304,0.743756786102063,0.8034744842562432,0.8458197611292074,0.8045602605863192,0.8306188925081434,0.8186753528773073
0100000101,260,"[1, 3, 9]",0.7328990228013029,3,5,4,10,0.6981541802388708,0.741585233441911,0.6796959826275787,0.7665580890336591,0.8143322475570033,0.8805646036916395,0.8838219326818675,0.8382193268186754,0.5656894679695983,0.8642779587404995
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8903365906623235,3,5,4,10,0.6981541802388708,0.741585233441911,0.6796959826275787,0.7665580890336591,0.8143322475570033,0.8805646036916395,0.8838219326818675,0.8382193268186754,0.5656894679695983,0.8642779587404995
0000001100,11,"[3, 4]",0.6427795874049945,4,5,4,10,0.6590662323561346,0.7263843648208469,0.5396308360477742,0.5971769815418024,0.6764386536373507,0.5808903365906624,0.8501628664495114,0.6720955483170467,0.8523344191096635,0.8925081433224755
0000100100,35,"[3, 6]",0.6427795874049945,4,5,4,10,0.6590662323561346,0.7263843648208469,0.5396308360477742,0.5971769815418024,0.6764386536373507,0.5808903365906624,0.8501628664495114,0.6720955483170467,0.8523344191096635,0.8925081433224755
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,4,5,4,10,0.6590662323561346,0.7263843648208469,0.5396308360477742,0.5971769815418024,0.6764386536373507,0.5808903365906624,0.8501628664495114,0.6720955483170467,0.8523344191096635,0.8925081433224755
0000000101,4,"[1, 3]",0.6601520086862106,5,5,4,10,0.6145494028230185,0.6807817589576547,0.5157437567861021,0.6916395222584147,0.8566775244299675,0.7958740499457112,0.6449511400651465,0.8642779587404995,0.7709011943539631,0.7654723127035831
0001000100,67,"[3, 7]",0.6601520086862106,5,5,4,10,0.6145494028230185,0.6807817589576547,0.5157437567861021,0.6916395222584147,0.8566775244299675,0.7958740499457112,0.6449511400651465,0.8642779587404995,0.7709011943539631,0.7654723127035831
