Nash Equilibrium,Occurrences,Max Depth
0001000001,6,200
0010000000,6,200
0010000100,6,200
0011000000,6,200
0100000000,10,200
0100000100,10,200
0101000000,9,200
0000001000,3,200
0000001100,4,200
0001001000,4,200
0010000001,2,200
0100000001,2,200
0000000001,2,200
0000000101,4,200
0001010101,1,200
0011000101,1,200
0101000101,1,200
0000001001,1,200
0110001000,1,200
