Nash Equilibrium,Occurrences,Max Depth
0000000010,6,10
0000000100,3,10
1111111111,10,10
0000001000,3,10
0000000001,4,10
0000001000,3,100
1111111111,10,100
0000000001,1,100
0000000010,2,100
