Trial,Combination,Clients,Global Accuracy,Max Depth,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value
1,0000000010,2,0.7882736156351792,10,,,0.7882736156351792,0.08710555937118421,,,,,,,,,,,,,,,,
1,0000000100,3,0.7839305103148752,10,,,,,0.7839305103148752,0.08615117521367525,,,,,,,,,,,,,,
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9033659066232356,10,0.8251900108577633,0.08976123702686202,0.7882736156351792,0.08710555937118421,0.7839305103148752,0.08615117521367525,0.8110749185667753,0.09325206043956046,0.8512486427795874,0.10198841956654461,0.8925081433224755,0.11592786553724042,0.8349619978284474,0.1018272092490841,0.8621064060803475,0.10780153006715515,0.8751357220412594,0.10922332875457848,0.8621064060803475,0.1069616147741146
2,0000000010,2,0.8501628664495114,10,,,0.8501628664495114,0.0986012840670861,,,,,,,,,,,,,,,,
2,0000001000,4,0.8534201954397395,10,,,,,,,0.8534201954397395,0.09349215708295894,,,,,,,,,,,,
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9207383279044516,10,0.8588490770901195,0.10583679619646594,0.8501628664495114,0.0986012840670861,0.8393051031487514,0.09352304207846665,0.8534201954397395,0.09349215708295894,0.8664495114006515,0.10109360961365671,0.8794788273615635,0.10348064540281512,0.8718783930510315,0.10189240790655876,0.8577633007600435,0.10192001722072469,0.8729641693811075,0.10545915693321364,0.8577633007600435,0.0947008834980533
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9294245385450597,10,0.8512486427795874,0.10024940661622884,0.8686210640608035,0.10200174306482708,0.8403908794788274,0.09398874425159467,0.8403908794788274,0.1015910102358698,0.8327904451682954,0.08801596573208693,0.8469055374592834,0.09957489615783995,0.8555917480998915,0.09819249740394585,0.8946796959826275,0.11041064011274279,0.8816503800217155,0.11316941106660731,0.8523344191096635,0.09280568535825522
4,0000000001,1,0.8013029315960912,10,0.8013029315960912,0.08993851078167116,,,,,,,,,,,,,,,,,,
4,0000000010,2,0.7947882736156352,10,,,0.7947882736156352,0.07905810122791256,,,,,,,,,,,,,,,,
4,0000000100,3,0.8186753528773073,10,,,,,0.8186753528773073,0.08964557127882578,,,,,,,,,,,,,,
