Number of Bad Clients,0.1,0.3,0.5,0.7,1.0,2.0
3,100,100,100,100,100,100
4,100,100,100,100,100,100
6,100,100,100,99,99,99
8,100,99,99,97,92,96
9,100,99,97,99,90,91
