Trial,Combination,Clients,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value,Global Accuracy,Subsample Ratio,Max Depth
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5556931297958652,0.0703020081416821,0.5352959384825924,0.05892178815072845,0.67175510337075,0.09483420969494338,0.7237255828350793,0.1203446531741369,0.6932112542969323,0.11399055791039484,0.5852788322119222,0.06732755902253196,0.7905703719391994,0.14343645372857317,0.7518450334794154,0.1305382804193947,0.72612046072889,0.11195413921297075,0.6459653638748147,0.088350350544644,0.8873104055000733,0.6,10
9,0000000001,1,0.5705185643765986,0.0746943382701831,,,,,,,,,,,,,,,,,,,0.571463482185041,0.6,10
9,1000000000,10,,,,,,,,,,,,,,,,,,,0.6276698001010085,0.07580596179695204,0.626578257115394,0.6,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5705185643765986,0.0746943382701831,0.6100259037813004,0.07910559294452851,0.7171600332350402,0.11304832456002452,0.6790863622293544,0.10295307749027506,0.6892034994542285,0.11170668575053107,0.6560010426679266,0.09034575608377789,0.7555432462814226,0.12053109132665583,0.7747185611182613,0.13267092029562622,0.6861406624199671,0.09913825148144567,0.6276698001010085,0.07580596179695204,0.8932568710187192,0.6,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6162819113406429,0.07305558624142608,0.5462765350841465,0.071525674368392,0.718838076929343,0.10202141388502815,0.6155162020820775,0.08054301002985535,0.7453609423111386,0.11754189192236571,0.7764780632443264,0.12302642039186006,0.7687720955996156,0.12242691838785853,0.7715905573385902,0.12401734565221183,0.7371499323895017,0.1074278860632198,0.6365324774767436,0.07841385305778274,0.9059318030009287,0.6,10
1,0000000010,2,,,0.5026962740913312,0.054069843078332985,,,,,,,,,,,,,,,,,0.5013766474967823,0.6,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6550398331731317,0.09296043836674506,0.5026962740913312,0.054069843078332985,0.6359296850817028,0.10145375759384243,0.6656783043612844,0.10608202356231446,0.7306169661621674,0.12545258236586324,0.6447109040256757,0.09998826668020121,0.7230413320082761,0.12090475782107075,0.6984245939297177,0.1170088508172196,0.6573369609488278,0.09733139533018238,0.63690718626285,0.08474808438422754,0.886544696241508,0.6,100
2,0000000010,2,,,0.4874635473517864,0.05299395736875145,,,,,,,,,,,,,,,,,0.4863557126798195,0.6,100
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6339909744057607,0.09080789480257061,0.4874635473517864,0.05299395736875145,0.6671608478193578,0.09250340961697856,0.6922174614294325,0.10773661405865811,0.7411576872322054,0.1265727511775377,0.6398233981199394,0.08721441553530697,0.7595347094377739,0.13088014441209078,0.7129079030970495,0.11916259923176158,0.6746550235414868,0.10438612808658915,0.6346915169189162,0.08774208570975514,0.8904058259070396,0.6,100
3,0000000010,2,,,0.5014906893012496,0.05819183686670227,,,,,,,,,,,,,,,,,0.4997963539205943,0.6,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5889118782685195,0.08150618079667726,0.5014906893012496,0.05819183686670227,0.6556100421954677,0.09741963867000245,0.6590964630748929,0.10640988378808558,0.6376891872077679,0.10722093287176619,0.6734005636923478,0.09867691418730201,0.7837604470438735,0.14132194229023287,0.6614587575959988,0.10279612178398766,0.7174369919030319,0.12008971886673458,0.639057688861374,0.08636682987850938,0.8955214154217103,0.6,100
4,0000000001,1,0.5919910069891334,0.06896674872572177,,,,,,,,,,,,,,,,,,,0.5904270050992978,0.6,100
4,0000000010,2,,,0.5518320001303335,0.06824354678314212,,,,,,,,,,,,,,,,,0.5489320799595966,0.6,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5919910069891334,0.06896674872572177,0.5518320001303335,0.06824354678314212,0.6770499014352975,0.10231373425876572,0.6282074257506395,0.09622620236352268,0.710952900734755,0.11687288635214683,0.7340382202961828,0.11446438161515439,0.7302259656897085,0.12236770712180996,0.6740685228327984,0.10355473525671835,0.7137713624737296,0.1144355384261288,0.6638210521171046,0.09255451909688932,0.8864795294960981,0.6,100
5,0000000010,2,,,0.5032501914273146,0.05893720596777475,,,,,,,,,,,,,,,,,0.5149639139147293,0.6,100
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5937179257424936,0.07102843176417309,0.5032501914273146,0.05893720596777475,0.677783027321158,0.10115570545348203,0.6970235089034066,0.11045213877826801,0.7211026213323342,0.116924714377002,0.7383881005522882,0.12203078692922635,0.7664260927648621,0.12729616236887564,0.7039148922304947,0.10987137153113925,0.6770010263762402,0.09577174319426797,0.6494517847542399,0.0865317396357909,0.8894934914713022,0.6,100
6,0000000010,2,,,0.4659422296801942,0.05417060268693135,,,,,,,,,,,,,,,,,0.46838598263306236,0.6,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.618367247193757,0.08759223151663886,0.4659422296801942,0.05417060268693135,0.5865007086883564,0.07555692676707211,0.6566527101220248,0.10747976878274718,0.7009498053143481,0.11692008497418233,0.5996643912611395,0.08718364556901331,0.7622065459995764,0.14023573143316734,0.6756488164089864,0.1201826766575067,0.6823121161271403,0.10941765026972522,0.6642609276486209,0.10126068134301539,0.8844919437610987,0.6,100
7,0000000010,2,,,0.5084635310601,0.05921610983102907,,,,,,,,,,,,,,,,,0.507746696860592,0.6,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5630895553998795,0.07302382988874931,0.5084635310601,0.05921610983102907,0.6541112070510419,0.08581295384722806,0.6403773154559228,0.1026876120071686,0.7746208110001467,0.13758197615556483,0.7128101529789348,0.11956236471861455,0.7440738990892948,0.13112845040264406,0.681693032045747,0.10660800109388824,0.6589987129567781,0.09647341066191858,0.6509506198986658,0.08790529139319456,0.888874407389909,0.6,100
8,0000000010,2,,,0.5011648555742005,0.0585018958202596,,,,,,,,,,,,,,,,,0.5026473990322738,0.6,100
8,0000100000,6,,,,,,,,,,,0.5744285691011877,0.06926716370840956,,,,,,,,,0.5827047457682345,0.6,100
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5722617748163112,0.07505951184187723,0.5011648555742005,0.0585018958202596,0.6682686824913247,0.10272869592110705,0.6981639269480784,0.1181979814279534,0.6798846548606247,0.11059877254015549,0.5744285691011877,0.06926716370840956,0.7973151300891155,0.1536696140441275,0.6780599859891497,0.11224127036349428,0.6842345351167299,0.10596688719049856,0.6537364982649354,0.09376820714211727,0.8913344520291295,0.6,100
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5392711099525912,0.07230637044863648,0.5826558707091771,0.08051458206017628,0.66903439174989,0.1023662556821665,0.6140173669376517,0.08565406048792168,0.7251755429204477,0.1287028561432202,0.6654176373796452,0.10243373844787174,0.7270002117919225,0.12574490395783622,0.7006076799009465,0.11790060091553965,0.6424137762499796,0.0952804199870454,0.6352291425685472,0.08909621186958575,0.8899007836301136,0.6,100
10,0000000010,2,,,0.49657060002280834,0.060393233637950156,,,,,,,,,,,,,,,,,0.4954953487235464,0.6,100
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6001205584790081,0.07750902107826357,0.49657060002280834,0.060393233637950156,0.697610009612095,0.10386660244906495,0.6081523598507681,0.08661520778590978,0.7011941806096349,0.1124484196692131,0.715612323031557,0.11765422069755731,0.7583617080203972,0.13134546942520642,0.7191150355973347,0.11806672680239727,0.6973819260031606,0.1054802637233504,0.6379009791303498,0.08662083473108659,0.8996106286961764,0.6,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6099202636466464,0.08716275415891868,0.5844632807808856,0.0697253615486877,0.7141919537501222,0.102571579399404,0.7406264400720559,0.11926211045919345,0.7573696778427895,0.12184309781620135,0.6540475625253104,0.08972448714730184,0.7367862479228051,0.11020110104422069,0.7684852885729846,0.12812030385072334,0.7047241345603329,0.09458505645526204,0.6378628981581042,0.0768041481200873,0.8846964851768583,0.7,10
2,1000000000,10,,,,,,,,,,,,,,,,,,,0.6311879459859518,0.07471956003704515,0.6307829802683945,0.7,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6007875884989736,0.07778914997876697,0.6207845163452542,0.07950088301795914,0.7254472078311991,0.10368794407949357,0.7334348075016408,0.11350732553086398,0.7649802404658502,0.12279618389567505,0.6587954364552931,0.08888329569853308,0.7658181005711413,0.11958208152406333,0.7434332714247811,0.1168089616412439,0.7218164807082711,0.10272461459635641,0.6311879459859518,0.07471956003704515,0.8946390917596458,0.7,10
3,0000000001,1,0.629009509712195,0.07067080368309589,,,,,,,,,,,,,,,,,,,0.6274036111770538,0.7,10
3,0000000010,2,,,0.5474019354568432,0.06943947314714516,,,,,,,,,,,,,,,,,0.5475834718129896,0.7,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.629009509712195,0.07067080368309589,0.5474019354568432,0.06943947314714516,0.7378056443842427,0.11049961662451648,0.664143776794068,0.09894711287237071,0.7441175238441021,0.11983220563378819,0.621678233790898,0.08373774649972088,0.7682758235466618,0.1260736195554639,0.7464356034687408,0.12061323506361904,0.7402773316948513,0.11768097328781177,0.6506681934339696,0.08250521363246845,0.8895141807822821,0.7,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5883872589406656,0.072284658871229,0.6237449553839494,0.08849945288626761,0.7011213361075812,0.10161027837365655,0.7033416653866026,0.10418395834670624,0.723240842887266,0.11139129230801387,0.7081872896622027,0.1030615852514658,0.7298739020541537,0.1127383390632239,0.7636256999622963,0.12568916675001493,0.7202385108433061,0.10204836122145444,0.6525952716761392,0.07849290692796763,0.8908966499560124,0.7,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6121824859309324,0.08412312602463388,0.5333119213528648,0.06691999053677693,0.6909413358282945,0.09638488975767633,0.7038862744550418,0.11308378182996566,0.7409755484492606,0.11835460197678978,0.5806929103070757,0.06121737356296554,0.7756350281381352,0.1311026108604897,0.749242434821466,0.1280366620369438,0.7190375780257223,0.11303420428285402,0.654396670902515,0.08774275913090424,0.8919439750876262,0.7,10
6,0000000001,1,0.5840583150633283,0.07539959904840679,,,,,,,,,,,,,,,,,,,0.5829411682562735,0.7,10
6,0000000010,2,,,0.545949644607672,0.056097059605211476,,,,,,,,,,,,,,,,,0.5426540615268604,0.7,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5840583150633283,0.07539959904840679,0.545949644607672,0.056097059605211476,0.6574129672815628,0.0908767618608822,0.6810126935805951,0.10228152476291204,0.751434835430311,0.1241587608247206,0.6920724469704375,0.0993312632543149,0.766851461367667,0.12718674067392377,0.7468964265266509,0.1261935926529273,0.743349485414252,0.11662883281251019,0.6370948597282541,0.0818458645041909,0.889053357724372,0.7,10
7,0000000010,2,,,0.578975297091229,0.07058453532508253,,,,,,,,,,,,,,,,,0.5778302216139979,0.7,10
7,1000000000,10,,,,,,,,,,,,,,,,,,,0.6484618284900364,0.08586537212066778,0.6474563963636871,0.7,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6855371381491671,0.09218056901776209,0.578975297091229,0.07058453532508253,0.6887349708843613,0.09714790831441038,0.6638644900923043,0.09795189277358869,0.7627878398570052,0.12998513721843769,0.6698691541802237,0.09497132234008301,0.6818226250157099,0.09558769546744582,0.7689880046361592,0.13093522769963384,0.7115108014131907,0.10479033972288844,0.6484618284900364,0.08586537212066778,0.8767647428467693,0.7,10
8,0000000001,1,0.5771040761894123,0.06846824287207912,,,,,,,,,,,,,,,,,,,0.572858918322604,0.7,10
8,0000000010,2,,,0.5563530742483697,0.0614739373293028,,,,,,,,,,,,,,,,,0.5548309617237576,0.7,10
