Nash Equilibrium,Occurrences,Subsample Ratio,Max Depth
0000000010,9,0.5,10
0000001000,2,0.5,10
1111111111,10,0.5,10
0000000001,4,0.5,10
0000000100,2,0.5,10
0000100000,3,0.5,10
0000100001,1,0.5,10
0000000001,9,0.5,100
0000000010,10,0.5,100
0000000100,9,0.5,100
0000001000,7,0.5,100
0000010000,6,0.5,100
0000100000,6,0.5,100
0000111111,10,0.5,100
1111111111,10,0.5,100
0000000001,6,0.8,10
0000000010,6,0.8,10
1111111111,10,0.8,10
0000100000,1,0.8,10
0000000001,8,0.8,100
0000000010,10,0.8,100
0000000100,8,0.8,100
0000010000,5,0.8,100
0000100000,6,0.8,100
0000111111,10,0.8,100
1111111111,10,0.8,100
0000001000,6,0.8,100
