Trial,Combination,Clients,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value,Global Accuracy,Subsample Ratio,Max Depth
1,0000000010,2,,,0.35611577599436955,0.018834349663643862,,,,,,,,,,,,,,,,,0.3575624871702134,0.5,10
1,0000001000,4,,,,,,,0.4702006823002708,0.05609087707831815,,,,,,,,,,,,,0.4691645242959502,0.5,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5433377972844841,0.07957946322516449,0.35611577599436955,0.018834349663643862,0.5349019071172325,0.07573591374098705,0.4702006823002708,0.05609087707831815,0.561871340456105,0.09171947396008608,0.4843061162647481,0.07630731642780944,0.7532282186879894,0.16286966004164558,0.7729934213741801,0.17501234012660477,0.7174025669348296,0.14615066692407477,0.6525840412117183,0.11769993881166654,0.8631782680521207,0.5,10
2,0000000001,1,0.5343251776619974,0.06095602200151071,,,,,,,,,,,,,,,,,,,0.535576387327592,0.5,10
2,0000000010,2,,,0.5431422957742349,0.08388309004669896,,,,,,,,,,,,,,,,,0.5429565693394981,0.5,10
2,0000000100,3,,,,,0.5671889815348824,0.07560504336076095,,,,,,,,,,,,,,,0.5685379419556016,0.5,10
2,0000100000,6,,,,,,,,,,,0.5091934585194671,0.055498328707677784,,,,,,,,,0.5201904184709827,0.5,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5343251776619974,0.06095602200151071,0.5431422957742349,0.08388309004669896,0.5671889815348824,0.07560504336076095,0.6371296468265217,0.10987249709604578,0.5745887136978133,0.08619734123629583,0.5091934585194671,0.055498328707677784,0.7507355744323125,0.14901334459012236,0.7361902620697744,0.14931665957677523,0.7242255696425255,0.13587815105784437,0.6200330397552322,0.09377952232626774,0.8556905602095776,0.5,10
3,0000000010,2,,,0.3992727343818731,0.033309370436200234,,,,,,,,,,,,,,,,,0.39938026021251016,0.5,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5475410797548411,0.07832236538862757,0.3992727343818731,0.033309370436200234,0.5561138209792671,0.08312319301156751,0.6040801165189001,0.10435523633777928,0.5972277885846669,0.10100548028851788,0.5063000361677794,0.07557451203113544,0.7537560727656621,0.15648655499076078,0.7280769493944341,0.14849352265010402,0.682564197808428,0.12448394863260545,0.6144025962600561,0.09484581623270193,0.8634421950909571,0.5,10
4,0000000010,2,,,0.46917429937146266,0.04982103699234457,,,,,,,,,,,,,,,,,0.46668165511578574,0.5,10
4,0000001000,4,,,,,,,0.4625663483250408,0.06097322713405469,,,,,,,,,,,,,0.46135423896149597,0.5,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.515420181620903,0.07212403549413668,0.46917429937146266,0.04982103699234457,0.5262118649866571,0.07109149248640637,0.4625663483250408,0.06097322713405469,0.5851555703267808,0.0983447637875507,0.5519203135844224,0.08822076627012201,0.7614686073449918,0.15641993128177092,0.7665125463094202,0.1632385154780045,0.7239420924526642,0.14601661775159713,0.6187329547120751,0.09374961332401217,0.8702456476476281,0.5,10
5,0000000010,2,,,0.3977184973753922,0.0356503263175886,,,,,,,,,,,,,,,,,0.3975132207896306,0.5,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4651274181093049,0.05812567500080635,0.3977184973753922,0.0356503263175886,0.5036021153263409,0.06266810833677201,0.5696425254885094,0.1043701123268076,0.5230056402185707,0.08114802691216398,0.4994770334600835,0.06647787035461335,0.7505205227710384,0.17472506403818128,0.7009413397718497,0.15757512645432184,0.6619974389302158,0.13299056824825864,0.6546465821448471,0.12626912201048549,0.8370006158297573,0.5,10
6,0000000001,1,0.43232226468949475,0.041695979707150874,,,,,,,,,,,,,,,,,,,0.43212676317924553,0.5,10
6,0000000010,2,,,0.4092139861780432,0.03542276650298354,,,,,,,,,,,,,,,,,0.40819737832474756,0.5,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.43232226468949475,0.041695979707150874,0.4092139861780432,0.03542276650298354,0.6328774889786024,0.1046020449873722,0.5990166274034467,0.1000556796441632,0.5704245315295061,0.09445329710729339,0.5310896276673738,0.07777988746213708,0.7572359996480973,0.1493203923336384,0.7588097868056031,0.15500211502533234,0.7344209734020195,0.13916688653672443,0.647862679739201,0.10250095069320488,0.8715261825397601,0.5,10
