Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy (low-quality client),Client 8 Accuracy (low-quality client),Client 9 Accuracy (low-quality client),Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,270,0.1,9,10,0.8132464712269273,0.8165038002171553,0.8403908794788274,0.7752442996742671,0.8273615635179153,0.8479913137893594,0.8512486427795874,0.8447339847991314,0.8197611292073833,0.8642779587404995
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8946796959826275,271,0.1,9,10,0.7795874049945711,0.8034744842562432,0.8327904451682954,0.8327904451682954,0.7969598262757872,0.7828447339847991,0.8230184581976113,0.8186753528773073,0.8262757871878393,0.9044516829533116
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8925081433224755,272,0.1,9,10,0.7915309446254072,0.8295331161780674,0.8479913137893594,0.8360477741585234,0.8577633007600435,0.7893593919652552,0.8621064060803475,0.8718783930510315,0.8197611292073833,0.9044516829533116
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,274,0.1,9,10,0.8783930510314875,0.8393051031487514,0.8143322475570033,0.7904451682953312,0.8132464712269273,0.8697068403908795,0.8642779587404995,0.8675352877307275,0.8306188925081434,0.8762214983713354
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,275,0.1,9,10,0.7904451682953312,0.8729641693811075,0.8490770901194354,0.8089033659066233,0.8208469055374593,0.7828447339847991,0.8686210640608035,0.8718783930510315,0.8382193268186754,0.8805646036916395
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9055374592833876,276,0.1,9,10,0.8251900108577633,0.8002171552660152,0.8219326818675353,0.8403908794788274,0.8197611292073833,0.8697068403908795,0.8241042345276873,0.8230184581976113,0.8208469055374593,0.9131378935939196
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,277,0.1,9,10,0.8382193268186754,0.8512486427795874,0.8002171552660152,0.7709011943539631,0.8403908794788274,0.8393051031487514,0.8132464712269273,0.8425624321389794,0.8338762214983714,0.9142236699239956
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,278,0.1,9,10,0.7937024972855592,0.8751357220412594,0.8045602605863192,0.7828447339847991,0.7969598262757872,0.8653637350705755,0.8013029315960912,0.8165038002171553,0.8555917480998915,0.8990228013029316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9283387622149837,279,0.1,9,10,0.8034744842562432,0.8360477741585234,0.8295331161780674,0.8447339847991314,0.8621064060803475,0.8273615635179153,0.8349619978284474,0.8371335504885994,0.8436482084690554,0.8957654723127035
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9022801302931596,280,0.1,9,10,0.8175895765472313,0.7980456026058632,0.8197611292073833,0.8327904451682954,0.8393051031487514,0.7719869706840391,0.8523344191096635,0.8089033659066233,0.8327904451682954,0.9011943539630836
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,281,0.1,9,10,0.745928338762215,0.8382193268186754,0.8306188925081434,0.8338762214983714,0.8143322475570033,0.8566775244299675,0.8284473398479913,0.8002171552660152,0.8110749185667753,0.8849077090119435
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9011943539630836,282,0.1,9,10,0.8306188925081434,0.8306188925081434,0.7806731813246471,0.7937024972855592,0.8034744842562432,0.8794788273615635,0.8360477741585234,0.8186753528773073,0.7861020629750272,0.9109663409337676
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8946796959826275,283,0.1,9,10,0.8034744842562432,0.8479913137893594,0.8089033659066233,0.8056460369163952,0.8197611292073833,0.8360477741585234,0.8360477741585234,0.7839305103148752,0.8317046688382194,0.9055374592833876
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,284,0.1,9,10,0.7958740499457112,0.8393051031487514,0.8577633007600435,0.8317046688382194,0.8436482084690554,0.8599348534201955,0.8566775244299675,0.8284473398479913,0.8306188925081434,0.8957654723127035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9283387622149837,285,0.1,9,10,0.8197611292073833,0.8534201954397395,0.8230184581976113,0.8186753528773073,0.8317046688382194,0.8469055374592834,0.8479913137893594,0.8317046688382194,0.8251900108577633,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,286,0.1,9,10,0.8512486427795874,0.8382193268186754,0.7937024972855592,0.8175895765472313,0.8403908794788274,0.8523344191096635,0.8002171552660152,0.8501628664495114,0.743756786102063,0.9120521172638436
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8957654723127035,287,0.1,9,10,0.8393051031487514,0.8458197611292074,0.8034744842562432,0.8175895765472313,0.8121606948968513,0.8034744842562432,0.8219326818675353,0.8078175895765473,0.8251900108577633,0.8849077090119435
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,288,0.1,9,10,0.8479913137893594,0.8371335504885994,0.8251900108577633,0.8273615635179153,0.7882736156351792,0.7817589576547231,0.8729641693811075,0.7915309446254072,0.8338762214983714,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,289,0.1,9,10,0.8327904451682954,0.747014115092291,0.8707926167209555,0.7958740499457112,0.8186753528773073,0.8154180238870793,0.7861020629750272,0.8197611292073833,0.7958740499457112,0.9044516829533116
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,290,0.1,9,10,0.8197611292073833,0.7904451682953312,0.8523344191096635,0.8056460369163952,0.8382193268186754,0.8165038002171553,0.8403908794788274,0.7839305103148752,0.8523344191096635,0.8968512486427795
