Trial,Combination,Clients,Global Accuracy,Max Iter,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value
1,1011111111,"1,2,3,4,5,6,7,8,10",0.9077090119435396,10,0.8903365906623235,0.09992665312570533,0.8707926167209555,0.09807182351613628,0.8382193268186754,0.0875394944707741,0.8870792616720955,0.09550280222673582,0.8892508143322475,0.10058066275483318,0.8827361563517915,0.09572237267734898,0.9120521172638436,0.10883359662980535,0.8838219326818675,0.10173023395772222,,,0.8957654723127035,0.10420098924245849
2,0100111111,"1,2,3,4,5,6,9",0.9153094462540716,10,0.8870792616720955,0.0977660373814221,0.9055374592833876,0.09970320278012589,0.8740499457111836,0.09517047055508578,0.8436482084690554,0.08665633511787364,0.8892508143322475,0.09832863717479072,0.8849077090119435,0.09620409505024895,,,,,0.8968512486427795,0.10089273973889361,,
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9326818675352877,10,0.9153094462540716,0.10324251159524718,0.9001085776330076,0.09740700704030153,0.9174809989142236,0.10350860173328143,0.8512486427795874,0.0863032873219136,0.8827361563517915,0.09798307371066385,0.9077090119435396,0.10404078200934998,0.9131378935939196,0.10569645397934074,0.8979370249728555,0.09907145628915098,0.9022801302931596,0.09849400373265342,0.9142236699239956,0.10425282258809618
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9315960912052117,10,0.8881650380021715,0.09981638731638726,0.8957654723127035,0.09592490842490844,0.8718783930510315,0.09539164539164546,0.8707926167209555,0.09541985791985803,0.9055374592833876,0.10266215266215256,0.8870792616720955,0.0988261738261739,0.9066232356134636,0.10083897583897572,0.9120521172638436,0.10473184223184216,0.9163952225841476,0.1041389166389165,0.9109663409337676,0.10224913974913973
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9261672095548317,10,0.8914223669923995,0.0994752414447607,0.8621064060803475,0.09477427938740964,0.9131378935939196,0.10835985038798632,0.8870792616720955,0.09705846777945253,0.8914223669923995,0.0953157855561138,0.8881650380021715,0.09921937512793297,0.9174809989142236,0.10426691974171437,0.8729641693811075,0.0921783993003219,0.9033659066232356,0.10326392377975024,0.9153094462540716,0.10608775749455698
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9218241042345277,10,0.8751357220412594,0.09565735599304495,0.8925081433224755,0.10339708714267008,0.8892508143322475,0.09972656907285889,0.8870792616720955,0.09878568624151661,0.8686210640608035,0.09317357488735578,0.8881650380021715,0.09883897021706216,0.9044516829533116,0.10271514573634695,0.9001085776330076,0.1014054817058349,0.8827361563517915,0.10061790715500948,0.9174809989142236,0.10568222184829966
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9294245385450597,10,0.9098805646036916,0.10205969069870932,0.9098805646036916,0.10092345349354696,0.8805646036916395,0.092665220293725,0.8838219326818675,0.0973988466102953,0.9044516829533116,0.10404149977748096,0.8914223669923995,0.09790646788310327,0.8968512486427795,0.09904502299362106,0.9207383279044516,0.10505396083667107,0.8827361563517915,0.09676142263759091,0.9163952225841476,0.10414441477525584
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9250814332247557,10,0.8838219326818675,0.1000158357552722,0.9120521172638436,0.1014061219166854,0.8935939196525515,0.09835727326924502,0.8686210640608035,0.09267270288397046,0.8707926167209555,0.09618917206945383,0.9077090119435396,0.1047497950666964,0.9077090119435396,0.10279407929055806,0.9001085776330076,0.09854404202995759,0.9044516829533116,0.10086724047991659,0.9131378935939196,0.10440373723824412
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9196525515743756,10,0.9055374592833876,0.10574436386124682,0.8968512486427795,0.10208907254361792,0.8892508143322475,0.0950043102640504,0.8968512486427795,0.0985115533816831,0.8783930510314875,0.09373934146661422,0.8794788273615635,0.09617557766908418,0.9011943539630836,0.10272249395625993,0.9077090119435396,0.09858838852345338,0.8935939196525515,0.099862258953168,0.9087947882736156,0.10756263938082128
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9272529858849077,10,0.8892508143322475,0.09538028326084518,0.9163952225841476,0.10373080926359608,0.8935939196525515,0.09738950224898688,0.8903365906623235,0.10439900003717323,0.8697068403908795,0.09422837440987325,0.8859934853420195,0.1001984126984126,0.9174809989142236,0.10506626147726858,0.8859934853420195,0.09627244340359092,0.9120521172638436,0.10333166053306561,0.9044516829533116,0.10000325266718718
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9239956568946797,100,0.8914223669923995,0.10202935855109765,0.8849077090119435,0.0951415701415704,0.9001085776330076,0.10212588364762257,0.9044516829533116,0.09927256448995589,0.9044516829533116,0.10159382985469932,0.8903365906623235,0.09926183947923066,0.8903365906623235,0.09819166993080046,0.8990228013029316,0.10223266745005881,0.8892508143322475,0.09932479062913842,0.8946796959826275,0.1008258258258259
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9337676438653637,100,0.8675352877307275,0.09109542266519027,0.9109663409337676,0.1024109449981542,0.8762214983713354,0.09489710225175352,0.8621064060803475,0.09607281284606872,0.9055374592833876,0.1031967515688445,0.9087947882736156,0.10471714654854189,0.9196525515743756,0.10282807308970082,0.9055374592833876,0.10355850867478775,0.9185667752442996,0.10246954595791812,0.8925081433224755,0.09875369139904014
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9305103148751357,100,0.8783930510314875,0.09356652034598356,0.8968512486427795,0.0966262895667797,0.9087947882736156,0.10170769202274453,0.8914223669923995,0.09530894037895196,0.9011943539630836,0.09726065455353669,0.8838219326818675,0.09959483988072076,0.9142236699239956,0.10203274619844051,0.9131378935939196,0.10788372136096752,0.9207383279044516,0.1041053138486042,0.9142236699239956,0.10191328184327011
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9326818675352877,100,0.8914223669923995,0.10260269416264745,0.8664495114006515,0.09210091098915318,0.8762214983713354,0.09258458525047585,0.8979370249728555,0.10177716798787825,0.8914223669923995,0.09950801042186362,0.8892508143322475,0.09677873865883188,0.9120521172638436,0.10684904928211099,0.9109663409337676,0.10480532919415338,0.9001085776330076,0.10073821534822704,0.8957654723127035,0.10225529870465831
5,0000011000,"4,5",0.8718783930510315,100,,,,,,,0.8577633007600435,0.08473616222445259,0.8610206297502715,0.08932753429240554,,,,,,,,,,
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9272529858849077,100,0.9142236699239956,0.10653739637931668,0.8849077090119435,0.09744386825768545,0.8990228013029316,0.10430978402289874,0.8577633007600435,0.08473616222445259,0.8610206297502715,0.08932753429240554,0.9077090119435396,0.1037531132671647,0.9066232356134636,0.10227733169770628,0.9033659066232356,0.10648814170476932,0.9022801302931596,0.10562293223300245,0.8914223669923995,0.09950373592059765
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9261672095548317,100,0.8957654723127035,0.09857366158655707,0.9087947882736156,0.10279080369936157,0.8892508143322475,0.09586473510858042,0.8903365906623235,0.09994277898732759,0.8914223669923995,0.09455888646978915,0.8870792616720955,0.09861227413982392,0.9196525515743756,0.10606356649732955,0.9011943539630836,0.10257448035877108,0.9098805646036916,0.10269310928748203,0.9087947882736156,0.09832570386497702
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9261672095548317,100,0.9022801302931596,0.10255215020748415,0.8588490770901195,0.09102467481717197,0.8968512486427795,0.09949478032713664,0.8870792616720955,0.09719151826420297,0.8838219326818675,0.09956967937624436,0.8881650380021715,0.0962206218947134,0.9218241042345277,0.10375518710805914,0.9207383279044516,0.10558253782169379,0.9044516829533116,0.10155008466849015,0.9109663409337676,0.10305876551480327
8,1011111111,"1,2,3,4,5,6,7,8,10",0.9250814332247557,100,0.8892508143322475,0.09761115752343823,0.8968512486427795,0.09926204399888616,0.8664495114006515,0.091089297317368,0.9218241042345277,0.10421934465794111,0.8762214983713354,0.09506126427179055,0.8935939196525515,0.09777267242179519,0.9087947882736156,0.10289427271883389,0.9087947882736156,0.10406711222500677,,,0.8946796959826275,0.0975113710201429
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9326818675352877,100,0.8599348534201955,0.0901893120461224,0.9098805646036916,0.1013609401851546,0.8816503800217155,0.09528521536670559,0.8523344191096635,0.09065958940813441,0.9022801302931596,0.10149583310235212,0.9011943539630836,0.10027348153075745,0.9207383279044516,0.10746761646063156,0.9153094462540716,0.10143993569488315,0.9153094462540716,0.10365088604320251,0.9229098805646037,0.10817719016205644
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9315960912052117,100,0.8762214983713354,0.09792106042106039,0.8783930510314875,0.09785122285122277,0.8979370249728555,0.105002405002405,0.8729641693811075,0.0916592666592667,0.8881650380021715,0.09646372146372156,0.8805646036916395,0.09922993672993664,0.9066232356134636,0.10563788063788067,0.8957654723127035,0.10359224109224104,0.9077090119435396,0.10200216450216457,0.8990228013029316,0.1006401006401005
