Trial,Combination,Clients,Global Accuracy,Subsample Ratio,Max Iter
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6259078601382195,0.5,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6086353017077057,0.5,10
3,0000000011,"1,2",0.4319801370465587,0.5,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6216654773658127,0.5,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.623102413466144,0.5,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.620648869512517,0.5,10
6,0000000011,"1,2",0.4214621557951535,0.5,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6264357142158923,0.5,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6181073498792778,0.5,10
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6246859756991623,0.5,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6088210281424424,0.5,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.625106303946198,0.5,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6375597501490698,0.5,100
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6189968817509115,0.5,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6255168571177212,0.5,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6291434101328433,0.5,100
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6296517140594912,0.5,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6347543034769944,0.5,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6297396897391032,0.5,100
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6301502429106265,0.5,100
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6212060488167271,0.5,100
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6335421941134495,0.5,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6267387415567786,0.6,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6094466329752397,0.6,10
3,0000000011,"1,2",0.43177486046079705,0.6,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6196127115081964,0.6,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6227309605966707,0.6,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6209616719289156,0.6,10
6,0000000011,"1,2",0.42662339566573154,0.6,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6272372704079139,0.6,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6192803589407728,0.6,10
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6236400426193293,0.6,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6080194719504208,0.6,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6242265471500767,0.6,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6366799933529487,0.6,100
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6191826081856482,0.6,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6251160790217104,0.6,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6290065590756688,0.6,100
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6294659876247544,0.6,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6349204797607062,0.6,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6300036167779396,0.6,100
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6285569056020958,0.6,100
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6200330397552322,0.6,100
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6335812944154994,0.6,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6273643463895758,0.7,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6087135023118053,0.7,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6189089060712994,0.7,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.622164006216948,0.7,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6213820001759514,0.7,10
6,0000000011,"1,2",0.42652564491060696,0.7,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.626044711195394,0.7,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6200330397552322,0.7,10
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6246371003216,0.7,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6096030341834391,0.7,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6234152158825427,0.7,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6368754948631978,0.7,100
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.61934878446936,0.7,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.624402498509301,0.7,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6286839815837577,0.7,100
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6291922855104055,0.7,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6339527472849728,0.7,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6303555194963881,0.7,100
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6291825104348931,0.7,100
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6214699758555635,0.7,100
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6338647716053607,0.7,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6273838965406008,0.8,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6084789004995064,0.8,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.617941173595566,0.8,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6215775016862005,0.8,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6208345959472537,0.8,10
6,0000000011,"1,2",0.4291844654499956,0.8,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6260642613464189,0.8,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6195540610551217,0.8,10
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6262499877811556,0.8,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6100135873549624,0.8,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6232001642212686,0.8,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6367190936549985,0.8,100
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6196322616592214,0.8,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6242656474521265,0.8,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6285569056020958,0.8,100
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6298569906452527,0.8,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6334346682828125,0.8,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6288501578674696,0.8,100
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6298276654187154,0.8,100
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6216850275168375,0.8,100
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6341775740217593,0.8,100
