Nash Equilibrium,Occurrences,Max Depth
0000000010,6,10
0000000100,4,10
0000001000,3,10
0000010000,7,10
1111111111,10,10
0000100000,3,10
0000000001,3,10
0000010011,1,10
1111111111,10,100
0000001000,2,100
0000000001,1,100
0000010000,1,100
