Trial,Combination,Clients,Global Accuracy,Subsample Ratio,Max Iter
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6271199695017644,0.5,10
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6234934164866424,0.5,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6185961036549007,0.5,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.621010547306478,0.5,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6193781096958973,0.5,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6247250760012121,0.5,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6182442009364523,0.5,10
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6248130516808242,0.5,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6041680921985122,0.5,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6226234347660335,0.5,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6370025708448598,0.5,100
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6154974047174514,0.5,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6246371003216,0.5,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6254777568156714,0.5,100
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6266409908016539,0.5,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6307758477434238,0.5,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6271981701058641,0.5,100
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.627471872220213,0.5,100
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6176185961036549,0.5,100
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6295050879268043,0.5,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6275109725222627,0.6,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6076675692319723,0.6,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6165237876462596,0.6,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6211473983636524,0.6,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6205120184553425,0.6,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6255168571177212,0.6,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6200819151327944,0.6,10
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6236889179968915,0.6,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6036891134984018,0.6,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6223008572741224,0.6,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6365724675223116,0.6,100
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6153507785847646,0.6,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6240505957908525,0.6,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6254679817401589,0.6,100
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.625898085062707,0.6,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6317435802191572,0.6,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6288306077164446,0.6,100
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6260056108933442,0.6,100
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6166801888544589,0.6,100
