Nash Equilibrium,FedFor_HuGaDB,FedFor_Spambase
1111111111,60,20
0000000010,43,0
0000000001,14,1
1000000000,12,1
0000100000,3,0
0010000000,2,0
0000000100,1,1
0100000000,1,0
0001000000,0,1
0000010000,0,1
0000001000,0,1
