Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy(low-quality client),Client 7 Accuracy(low-quality client),Client 8 Accuracy(low-quality client),Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5505263157894736,21,4,8,10,0.19894736842105262,0.3031578947368421,0.35578947368421054,0.2073684210526316,0.29473684210526313,0.3863157894736842,0.32210526315789473,0.27157894736842103,0.4263157894736842,0.5326315789473685
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.4368421052631579,22,4,8,10,0.2168421052631579,0.3526315789473684,0.25473684210526315,0.34210526315789475,0.3431578947368421,0.30526315789473685,0.31894736842105265,0.18105263157894738,0.4168421052631579,0.3989473684210526
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.611578947368421,23,4,8,10,0.28,0.3031578947368421,0.23473684210526316,0.32210526315789473,0.3021052631578947,0.45473684210526316,0.42,0.31157894736842107,0.4978947368421053,0.49157894736842106
0010011101,156,"[1, 3, 4, 5, 8]",0.24421052631578946,24,4,8,10,0.22842105263157894,0.31894736842105265,0.23157894736842105,0.23684210526315788,0.20526315789473684,0.4442105263157895,0.4747368421052632,0.19473684210526315,0.47578947368421054,0.52
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5368421052631579,24,4,8,10,0.22842105263157894,0.31894736842105265,0.23157894736842105,0.23684210526315788,0.20526315789473684,0.4442105263157895,0.4747368421052632,0.19473684210526315,0.47578947368421054,0.52
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.64,25,4,8,10,0.4568421052631579,0.4031578947368421,0.24421052631578946,0.42526315789473684,0.3526315789473684,0.2831578947368421,0.4842105263157895,0.17157894736842105,0.5221052631578947,0.44
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5715789473684211,26,4,8,10,0.28842105263157897,0.4968421052631579,0.2168421052631579,0.23473684210526316,0.46210526315789474,0.3126315789473684,0.24105263157894738,0.2736842105263158,0.5568421052631579,0.5673684210526316
0010101011,170,"[1, 2, 4, 6, 8]",0.32,27,4,8,10,0.24210526315789474,0.21789473684210525,0.3431578947368421,0.28421052631578947,0.4063157894736842,0.26105263157894737,0.4568421052631579,0.24421052631578946,0.49894736842105264,0.45789473684210524
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5210526315789473,27,4,8,10,0.24210526315789474,0.21789473684210525,0.3431578947368421,0.28421052631578947,0.4063157894736842,0.26105263157894737,0.4568421052631579,0.24421052631578946,0.49894736842105264,0.45789473684210524
0010111000,183,"[4, 5, 6, 8]",0.2810526315789474,28,4,8,10,0.33052631578947367,0.3231578947368421,0.3,0.24,0.23894736842105263,0.22421052631578947,0.3547368421052632,0.25263157894736843,0.5126315789473684,0.5168421052631579
