Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.72,1,2,3,10,0.4242105263157895,0.4242105263157895,0.24947368421052632,0.5789473684210527,0.4357894736842105,0.6273684210526316,0.5410526315789473,0.4936842105263158,0.36947368421052634,0.41157894736842104
0001100111,102,"[1, 2, 3, 6, 7]",0.45052631578947366,2,2,3,10,0.30105263157894735,0.27473684210526317,0.33789473684210525,0.66,0.5778947368421052,0.42947368421052634,0.4126315789473684,0.56,0.5231578947368422,0.508421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7410526315789474,2,2,3,10,0.30105263157894735,0.27473684210526317,0.33789473684210525,0.66,0.5778947368421052,0.42947368421052634,0.4126315789473684,0.56,0.5231578947368422,0.508421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6842105263157895,3,2,3,10,0.39473684210526316,0.27789473684210525,0.22526315789473683,0.4663157894736842,0.4768421052631579,0.4936842105263158,0.6452631578947369,0.41157894736842104,0.5968421052631578,0.52
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7252631578947368,4,2,3,10,0.4063157894736842,0.31473684210526315,0.36,0.5989473684210527,0.5189473684210526,0.46,0.5673684210526316,0.4147368421052632,0.5389473684210526,0.4673684210526316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7315789473684211,5,2,3,10,0.2694736842105263,0.37894736842105264,0.23789473684210527,0.5073684210526316,0.54,0.5947368421052631,0.5957894736842105,0.6126315789473684,0.511578947368421,0.31684210526315787
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7368421052631579,6,2,3,10,0.3126315789473684,0.44,0.22736842105263158,0.4789473684210526,0.508421052631579,0.4189473684210526,0.4726315789473684,0.5378947368421053,0.5652631578947368,0.5252631578947369
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7536842105263157,7,2,3,10,0.4336842105263158,0.4010526315789474,0.43473684210526314,0.6410526315789473,0.4189473684210526,0.4589473684210526,0.6273684210526316,0.5821052631578948,0.42210526315789476,0.3736842105263158
0010111011,186,"[1, 2, 4, 5, 6, 8]",0.4726315789473684,8,2,3,10,0.26105263157894737,0.3094736842105263,0.511578947368421,0.3736842105263158,0.3505263157894737,0.39789473684210525,0.48526315789473684,0.41157894736842104,0.5357894736842105,0.5915789473684211
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6094736842105263,8,2,3,10,0.26105263157894737,0.3094736842105263,0.511578947368421,0.3736842105263158,0.3505263157894737,0.39789473684210525,0.48526315789473684,0.41157894736842104,0.5357894736842105,0.5915789473684211
