Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy(low-quality client),Client 7 Accuracy(low-quality client),Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0001101101,108,"[1, 3, 4, 6, 7]",0.2873684210526316,2,5,7,10,0.24105263157894738,0.4589473684210526,0.2326315789473684,0.21473684210526317,0.35157894736842105,0.24105263157894738,0.2694736842105263,0.5536842105263158,0.5284210526315789,0.4905263157894737
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5757894736842105,2,5,7,10,0.24105263157894738,0.4589473684210526,0.2326315789473684,0.21473684210526317,0.35157894736842105,0.24105263157894738,0.2694736842105263,0.5536842105263158,0.5284210526315789,0.4905263157894737
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5178947368421053,3,5,7,10,0.22526315789473683,0.27157894736842103,0.2578947368421053,0.42,0.17789473684210527,0.22526315789473683,0.3642105263157895,0.4463157894736842,0.5052631578947369,0.5094736842105263
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5663157894736842,4,5,7,10,0.31684210526315787,0.4063157894736842,0.28526315789473683,0.24526315789473685,0.20842105263157895,0.26842105263157895,0.3642105263157895,0.4789473684210526,0.5452631578947369,0.4631578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6221052631578947,5,5,7,10,0.4663157894736842,0.32210526315789473,0.2063157894736842,0.26526315789473687,0.35578947368421054,0.26842105263157895,0.33789473684210525,0.4694736842105263,0.5178947368421053,0.4694736842105263
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.33473684210526317,6,5,7,10,0.3042105263157895,0.22421052631578947,0.24421052631578946,0.24526315789473685,0.31894736842105265,0.28210526315789475,0.48526315789473684,0.5378947368421053,0.4863157894736842,0.5726315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5957894736842105,6,5,7,10,0.3042105263157895,0.22421052631578947,0.24421052631578946,0.24526315789473685,0.31894736842105265,0.28210526315789475,0.48526315789473684,0.5378947368421053,0.4863157894736842,0.5726315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5694736842105264,7,5,7,10,0.24526315789473685,0.28526315789473683,0.33157894736842103,0.3936842105263158,0.31473684210526315,0.3157894736842105,0.2831578947368421,0.42736842105263156,0.508421052631579,0.5063157894736842
0000011111,30,"[1, 2, 3, 4, 5]",0.29578947368421055,8,5,7,10,0.27052631578947367,0.2736842105263158,0.28421052631578947,0.2736842105263158,0.24421052631578946,0.39789473684210525,0.391578947368421,0.6126315789473684,0.5842105263157895,0.4473684210526316
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.3989473684210526,8,5,7,10,0.27052631578947367,0.2736842105263158,0.28421052631578947,0.2736842105263158,0.24421052631578946,0.39789473684210525,0.391578947368421,0.6126315789473684,0.5842105263157895,0.4473684210526316
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.34421052631578947,9,5,7,10,0.28210526315789475,0.3178947368421053,0.27052631578947367,0.2631578947368421,0.22421052631578947,0.3157894736842105,0.4442105263157895,0.68,0.4421052631578947,0.3863157894736842
1101111111,894,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.47789473684210526,9,5,7,10,0.28210526315789475,0.3178947368421053,0.27052631578947367,0.2631578947368421,0.22421052631578947,0.3157894736842105,0.4442105263157895,0.68,0.4421052631578947,0.3863157894736842
0010111111,190,"[1, 2, 3, 4, 5, 6, 8]",0.37157894736842106,10,5,7,10,0.29157894736842105,0.25894736842105265,0.21263157894736842,0.2431578947368421,0.3157894736842105,0.2789473684210526,0.4336842105263158,0.3642105263157895,0.5347368421052632,0.4515789473684211
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.4536842105263158,10,5,7,10,0.29157894736842105,0.25894736842105265,0.21263157894736842,0.2431578947368421,0.3157894736842105,0.2789473684210526,0.4336842105263158,0.3642105263157895,0.5347368421052632,0.4515789473684211
0001111001,120,"[1, 4, 5, 6, 7]",0.28526315789473683,11,5,7,10,0.2694736842105263,0.4105263157894737,0.36210526315789476,0.28421052631578947,0.19473684210526315,0.2557894736842105,0.24210526315789474,0.4663157894736842,0.5768421052631579,0.5
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5284210526315789,12,5,7,10,0.28526315789473683,0.2673684210526316,0.42210526315789476,0.31894736842105265,0.23894736842105263,0.2905263157894737,0.17684210526315788,0.4589473684210526,0.4768421052631579,0.3936842105263158
0000110111,54,"[1, 2, 3, 5, 6]",0.3063157894736842,13,5,7,10,0.25473684210526315,0.2768421052631579,0.30105263157894735,0.43157894736842106,0.20421052631578948,0.29473684210526313,0.3726315789473684,0.45263157894736844,0.4052631578947368,0.5368421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.588421052631579,13,5,7,10,0.25473684210526315,0.2768421052631579,0.30105263157894735,0.43157894736842106,0.20421052631578948,0.29473684210526313,0.3726315789473684,0.45263157894736844,0.4052631578947368,0.5368421052631579
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.3547368421052632,14,5,7,10,0.3273684210526316,0.3178947368421053,0.27789473684210525,0.31894736842105265,0.26105263157894737,0.22526315789473683,0.42,0.5442105263157895,0.48,0.41789473684210526
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5673684210526316,14,5,7,10,0.3273684210526316,0.3178947368421053,0.27789473684210525,0.31894736842105265,0.26105263157894737,0.22526315789473683,0.42,0.5442105263157895,0.48,0.41789473684210526
0001111110,125,"[2, 3, 4, 5, 6, 7]",0.30736842105263157,15,5,7,10,0.47368421052631576,0.24105263157894738,0.26105263157894737,0.19263157894736843,0.2810526315789474,0.2294736842105263,0.2810526315789474,0.3568421052631579,0.5431578947368421,0.42526315789473684
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.3273684210526316,16,5,7,10,0.24736842105263157,0.25894736842105265,0.2863157894736842,0.31684210526315787,0.25157894736842107,0.25894736842105265,0.44,0.4957894736842105,0.4726315789473684,0.44842105263157894
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.32,19,5,7,10,0.26631578947368423,0.2063157894736842,0.2831578947368421,0.21473684210526317,0.2631578947368421,0.30526315789473685,0.2768421052631579,0.54,0.3778947368421053,0.5463157894736842
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.38842105263157894,20,5,7,10,0.25684210526315787,0.2894736842105263,0.2768421052631579,0.3178947368421053,0.26842105263157895,0.26105263157894737,0.26421052631578945,0.3505263157894737,0.49894736842105264,0.45789473684210524
0000010001,16,"[1, 5]",0.29578947368421055,21,5,7,10,0.2431578947368421,0.35368421052631577,0.3368421052631579,0.25157894736842107,0.29368421052631577,0.3063157894736842,0.21157894736842106,0.3705263157894737,0.4263157894736842,0.5326315789473685
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.4305263157894737,21,5,7,10,0.2431578947368421,0.35368421052631577,0.3368421052631579,0.25157894736842107,0.29368421052631577,0.3063157894736842,0.21157894736842106,0.3705263157894737,0.4263157894736842,0.5326315789473685
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.36,22,5,7,10,0.31473684210526315,0.26210526315789473,0.24210526315789474,0.25684210526315787,0.26842105263157895,0.2305263157894737,0.2431578947368421,0.3568421052631579,0.4168421052631579,0.3989473684210526
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6410526315789473,23,5,7,10,0.26105263157894737,0.27789473684210525,0.32421052631578945,0.3157894736842105,0.3136842105263158,0.37894736842105264,0.28,0.5789473684210527,0.4978947368421053,0.49157894736842106
0001000111,70,"[1, 2, 3, 7]",0.28,25,5,7,10,0.24421052631578946,0.22421052631578947,0.2063157894736842,0.4094736842105263,0.35789473684210527,0.34421052631578947,0.27789473684210525,0.5589473684210526,0.5221052631578947,0.44
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.58,25,5,7,10,0.24421052631578946,0.22421052631578947,0.2063157894736842,0.4094736842105263,0.35789473684210527,0.34421052631578947,0.27789473684210525,0.5589473684210526,0.5221052631578947,0.44
