Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy(low-quality client),Client 7 Accuracy(low-quality client),Client 8 Accuracy(low-quality client),Client 9 Accuracy(low-quality client),Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5905263157894737,1,3,9,10,0.24105263157894738,0.27578947368421053,0.54,0.3126315789473684,0.3684210526315789,0.4515789473684211,0.2894736842105263,0.3,0.40842105263157896,0.4242105263157895
0011001111,206,"[1, 2, 3, 4, 7, 8]",0.31473684210526315,2,3,9,10,0.2578947368421053,0.21789473684210525,0.2557894736842105,0.24842105263157896,0.4726315789473684,0.38,0.2810526315789474,0.2294736842105263,0.4421052631578947,0.4905263157894737
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5189473684210526,2,3,9,10,0.2578947368421053,0.21789473684210525,0.2557894736842105,0.24842105263157896,0.4726315789473684,0.38,0.2810526315789474,0.2294736842105263,0.4421052631578947,0.4905263157894737
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.37157894736842106,3,3,9,10,0.3031578947368421,0.29578947368421055,0.27473684210526317,0.25894736842105265,0.21263157894736842,0.26526315789473687,0.2831578947368421,0.3357894736842105,0.27473684210526317,0.5094736842105263
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5442105263157895,4,3,9,10,0.3157894736842105,0.2831578947368421,0.3505263157894737,0.42105263157894735,0.3031578947368421,0.2968421052631579,0.3684210526315789,0.22421052631578947,0.4978947368421053,0.4631578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.56,5,3,9,10,0.32526315789473687,0.3526315789473684,0.27157894736842103,0.27578947368421053,0.35368421052631577,0.46210526315789474,0.38421052631578945,0.29368421052631577,0.30736842105263157,0.4694736842105263
0010001110,141,"[2, 3, 4, 8]",0.27052631578947367,6,3,9,10,0.29894736842105263,0.21894736842105264,0.26421052631578945,0.25263157894736843,0.31684210526315787,0.391578947368421,0.5273684210526316,0.26421052631578945,0.33789473684210525,0.5726315789473684
0110011111,414,"[1, 2, 3, 4, 5, 8, 9]",0.37684210526315787,6,3,9,10,0.29894736842105263,0.21894736842105264,0.26421052631578945,0.25263157894736843,0.31684210526315787,0.391578947368421,0.5273684210526316,0.26421052631578945,0.33789473684210525,0.5726315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5684210526315789,7,3,9,10,0.2926315789473684,0.3178947368421053,0.29157894736842105,0.4631578947368421,0.3389473684210526,0.3126315789473684,0.19473684210526315,0.44,0.38526315789473686,0.5063157894736842
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.611578947368421,8,3,9,10,0.25157894736842107,0.4673684210526316,0.36210526315789476,0.3821052631578947,0.42736842105263156,0.37684210526315787,0.3526315789473684,0.33789473684210525,0.34421052631578947,0.4473684210526316
