Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7757894736842105,1,0.7,2,10,0.64,0.37894736842105264,0.37894736842105264,0.4926315789473684,0.54,0.4031578947368421,0.5873684210526315,0.5757894736842105,0.5378947368421053,0.4242105263157895
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7978947368421052,2,0.7,2,10,0.5926315789473684,0.5442105263157895,0.5926315789473684,0.628421052631579,0.5515789473684211,0.5378947368421053,0.7094736842105264,0.5536842105263158,0.5284210526315789,0.4905263157894737
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7789473684210526,3,0.7,2,10,0.4431578947368421,0.38105263157894737,0.5463157894736842,0.6831578947368421,0.5715789473684211,0.38421052631578945,0.6010526315789474,0.4463157894736842,0.5052631578947369,0.5094736842105263
0000100011,34,"[1, 2, 6]",0.4305263157894737,4,0.7,2,10,0.35789473684210527,0.3705263157894737,0.5168421052631579,0.6305263157894737,0.5347368421052632,0.3863157894736842,0.5915789473684211,0.4789473684210526,0.5452631578947369,0.4631578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7410526315789474,4,0.7,2,10,0.35789473684210527,0.3705263157894737,0.5168421052631579,0.6305263157894737,0.5347368421052632,0.3863157894736842,0.5915789473684211,0.4789473684210526,0.5452631578947369,0.4631578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7378947368421053,5,0.7,2,10,0.3473684210526316,0.31894736842105265,0.38105263157894737,0.5210526315789473,0.5842105263157895,0.46421052631578946,0.64,0.4694736842105263,0.5178947368421053,0.4694736842105263
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7947368421052632,6,0.7,2,10,0.4968421052631579,0.4421052631578947,0.38,0.4831578947368421,0.6642105263157895,0.5578947368421052,0.6926315789473684,0.5378947368421053,0.4863157894736842,0.5726315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7926315789473685,7,0.7,2,10,0.47578947368421054,0.41368421052631577,0.6010526315789474,0.631578947368421,0.5494736842105263,0.3989473684210526,0.6273684210526316,0.42736842105263156,0.508421052631579,0.5063157894736842
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7684210526315789,8,0.7,2,10,0.3094736842105263,0.3642105263157895,0.48,0.6736842105263158,0.6031578947368421,0.4336842105263158,0.5863157894736842,0.6126315789473684,0.5842105263157895,0.4473684210526316
1100000111,774,"[1, 2, 3, 9, 10]",0.4631578947368421,9,0.7,2,10,0.3389473684210526,0.29789473684210527,0.4473684210526316,0.54,0.5842105263157895,0.5273684210526316,0.6494736842105263,0.68,0.4421052631578947,0.3863157894736842
