Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0000001111,14,"[1, 2, 3, 4]",0.3136842105263158,1,3,4,10,0.26631578947368423,0.2578947368421053,0.31157894736842107,0.26526315789473687,0.4357894736842105,0.6273684210526316,0.5410526315789473,0.4936842105263158,0.36947368421052634,0.41157894736842104
1110011111,926,"[1, 2, 3, 4, 5, 8, 9, 10]",0.5031578947368421,1,3,4,10,0.26631578947368423,0.2578947368421053,0.31157894736842107,0.26526315789473687,0.4357894736842105,0.6273684210526316,0.5410526315789473,0.4936842105263158,0.36947368421052634,0.41157894736842104
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6347368421052632,2,3,4,10,0.2305263157894737,0.2073684210526316,0.22631578947368422,0.4610526315789474,0.5778947368421052,0.42947368421052634,0.4126315789473684,0.56,0.5231578947368422,0.508421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6621052631578948,3,3,4,10,0.27157894736842103,0.26105263157894737,0.22,0.31684210526315787,0.4768421052631579,0.4936842105263158,0.6452631578947369,0.41157894736842104,0.5968421052631578,0.52
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6789473684210526,4,3,4,10,0.2968421052631579,0.2578947368421053,0.38105263157894737,0.3021052631578947,0.5189473684210526,0.46,0.5673684210526316,0.4147368421052632,0.5389473684210526,0.4673684210526316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7147368421052631,5,3,4,10,0.28421052631578947,0.2968421052631579,0.21052631578947367,0.38421052631578945,0.54,0.5947368421052631,0.5957894736842105,0.6126315789473684,0.511578947368421,0.31684210526315787
0000001111,14,"[1, 2, 3, 4]",0.2905263157894737,6,3,4,10,0.2736842105263158,0.25473684210526315,0.2336842105263158,0.23157894736842105,0.508421052631579,0.4189473684210526,0.4726315789473684,0.5378947368421053,0.5652631578947368,0.5252631578947369
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6621052631578948,6,3,4,10,0.2736842105263158,0.25473684210526315,0.2336842105263158,0.23157894736842105,0.508421052631579,0.4189473684210526,0.4726315789473684,0.5378947368421053,0.5652631578947368,0.5252631578947369
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6947368421052632,7,3,4,10,0.4557894736842105,0.2694736842105263,0.39473684210526316,0.28,0.4189473684210526,0.4589473684210526,0.6273684210526316,0.5821052631578948,0.42210526315789476,0.3736842105263158
0000010111,22,"[1, 2, 3, 5]",0.37473684210526315,8,3,4,10,0.3273684210526316,0.2578947368421053,0.3094736842105263,0.4705263157894737,0.3505263157894737,0.39789473684210525,0.48526315789473684,0.41157894736842104,0.5357894736842105,0.5915789473684211
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.64,8,3,4,10,0.3273684210526316,0.2578947368421053,0.3094736842105263,0.4705263157894737,0.3505263157894737,0.39789473684210525,0.48526315789473684,0.41157894736842104,0.5357894736842105,0.5915789473684211
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6663157894736842,9,3,4,10,0.2305263157894737,0.29894736842105263,0.23157894736842105,0.28210526315789475,0.5621052631578948,0.48,0.5715789473684211,0.6157894736842106,0.5263157894736842,0.4589473684210526
0000001011,10,"[1, 2, 4]",0.33263157894736844,10,3,4,10,0.3231578947368421,0.27578947368421053,0.49473684210526314,0.27789473684210525,0.4705263157894737,0.5831578947368421,0.6957894736842105,0.4105263157894737,0.48,0.5094736842105263
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7305263157894737,10,3,4,10,0.3231578947368421,0.27578947368421053,0.49473684210526314,0.27789473684210525,0.4705263157894737,0.5831578947368421,0.6957894736842105,0.4105263157894737,0.48,0.5094736842105263
