Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7063157894736842,1,3,5,10,0.24105263157894738,0.27578947368421053,0.54,0.3126315789473684,0.3684210526315789,0.4031578947368421,0.5873684210526315,0.5757894736842105,0.5378947368421053,0.4242105263157895
0000001111,14,"[1, 2, 3, 4]",0.29368421052631577,2,3,5,10,0.2578947368421053,0.21789473684210525,0.2557894736842105,0.24842105263157896,0.4726315789473684,0.5378947368421053,0.7094736842105264,0.5536842105263158,0.5284210526315789,0.4905263157894737
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.6094736842105263,2,3,5,10,0.2578947368421053,0.21789473684210525,0.2557894736842105,0.24842105263157896,0.4726315789473684,0.5378947368421053,0.7094736842105264,0.5536842105263158,0.5284210526315789,0.4905263157894737
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.5326315789473685,3,3,5,10,0.3031578947368421,0.29578947368421055,0.27473684210526317,0.25894736842105265,0.21263157894736842,0.38421052631578945,0.6010526315789474,0.4463157894736842,0.5052631578947369,0.5094736842105263
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6842105263157895,4,3,5,10,0.3157894736842105,0.2831578947368421,0.3505263157894737,0.42105263157894735,0.3031578947368421,0.3863157894736842,0.5915789473684211,0.4789473684210526,0.5452631578947369,0.4631578947368421
0000011111,30,"[1, 2, 3, 4, 5]",0.4031578947368421,5,3,5,10,0.32526315789473687,0.3526315789473684,0.27157894736842103,0.27578947368421053,0.35368421052631577,0.46421052631578946,0.64,0.4694736842105263,0.5178947368421053,0.4694736842105263
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6736842105263158,5,3,5,10,0.32526315789473687,0.3526315789473684,0.27157894736842103,0.27578947368421053,0.35368421052631577,0.46421052631578946,0.64,0.4694736842105263,0.5178947368421053,0.4694736842105263
0000011111,30,"[1, 2, 3, 4, 5]",0.31894736842105265,6,3,5,10,0.29894736842105263,0.21894736842105264,0.26421052631578945,0.25263157894736843,0.31684210526315787,0.5578947368421052,0.6926315789473684,0.5378947368421053,0.4863157894736842,0.5726315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7221052631578947,6,3,5,10,0.29894736842105263,0.21894736842105264,0.26421052631578945,0.25263157894736843,0.31684210526315787,0.5578947368421052,0.6926315789473684,0.5378947368421053,0.4863157894736842,0.5726315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7,7,3,5,10,0.2926315789473684,0.3178947368421053,0.29157894736842105,0.4631578947368421,0.3389473684210526,0.3989473684210526,0.6273684210526316,0.42736842105263156,0.508421052631579,0.5063157894736842
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7252631578947368,8,3,5,10,0.25157894736842107,0.4673684210526316,0.36210526315789476,0.3821052631578947,0.42736842105263156,0.4336842105263158,0.5863157894736842,0.6126315789473684,0.5842105263157895,0.4473684210526316
1100111111,830,"[1, 2, 3, 4, 5, 6, 9, 10]",0.5410526315789473,9,3,5,10,0.37473684210526315,0.25157894736842107,0.31894736842105265,0.29157894736842105,0.4789473684210526,0.5273684210526316,0.6494736842105263,0.68,0.4421052631578947,0.3863157894736842
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.4694736842105263,10,3,5,10,0.27473684210526317,0.32,0.3894736842105263,0.1705263157894737,0.39052631578947367,0.4242105263157895,0.43157894736842106,0.3642105263157895,0.5347368421052632,0.4515789473684211
0000011111,30,"[1, 2, 3, 4, 5]",0.3589473684210526,11,3,5,10,0.25473684210526315,0.2505263157894737,0.29894736842105263,0.3568421052631579,0.32421052631578945,0.58,0.5494736842105263,0.4663157894736842,0.5768421052631579,0.5
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6884210526315789,11,3,5,10,0.25473684210526315,0.2505263157894737,0.29894736842105263,0.3568421052631579,0.32421052631578945,0.58,0.5494736842105263,0.4663157894736842,0.5768421052631579,0.5
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7347368421052631,12,3,5,10,0.20210526315789473,0.2631578947368421,0.4442105263157895,0.3736842105263158,0.39473684210526316,0.6378947368421053,0.6905263157894737,0.4589473684210526,0.4768421052631579,0.3936842105263158
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6842105263157895,13,3,5,10,0.2831578947368421,0.25157894736842107,0.31157894736842107,0.3778947368421053,0.28842105263157897,0.5947368421052631,0.5136842105263157,0.45263157894736844,0.4052631578947368,0.5368421052631579
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.6105263157894737,14,3,5,10,0.28526315789473683,0.22421052631578947,0.27263157894736845,0.4515789473684211,0.5336842105263158,0.3989473684210526,0.6863157894736842,0.5442105263157895,0.48,0.41789473684210526
