Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy(low-quality client),Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0000111011,58,"[1, 2, 4, 5, 6]",0.3,1,5,6,10,0.22210526315789475,0.2894736842105263,0.31473684210526315,0.24,0.2431578947368421,0.26526315789473687,0.5410526315789473,0.4936842105263158,0.36947368421052634,0.41157894736842104
0000111011,58,"[1, 2, 4, 5, 6]",0.29473684210526313,2,5,6,10,0.25894736842105265,0.20210526315789473,0.4768421052631579,0.2431578947368421,0.22421052631578947,0.28210526315789475,0.4126315789473684,0.56,0.5231578947368422,0.508421052631579
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.3452631578947368,3,5,6,10,0.2694736842105263,0.29789473684210527,0.28421052631578947,0.2031578947368421,0.30105263157894735,0.28526315789473683,0.6452631578947369,0.41157894736842104,0.5968421052631578,0.52
0000011110,29,"[2, 3, 4, 5]",0.30842105263157893,4,5,6,10,0.42947368421052634,0.2768421052631579,0.27789473684210525,0.2905263157894737,0.21578947368421053,0.4673684210526316,0.5673684210526316,0.4147368421052632,0.5389473684210526,0.4673684210526316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6694736842105263,4,5,6,10,0.42947368421052634,0.2768421052631579,0.27789473684210525,0.2905263157894737,0.21578947368421053,0.4673684210526316,0.5673684210526316,0.4147368421052632,0.5389473684210526,0.4673684210526316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6494736842105263,5,5,6,10,0.27578947368421053,0.25473684210526315,0.36210526315789476,0.4431578947368421,0.3936842105263158,0.3357894736842105,0.5957894736842105,0.6126315789473684,0.511578947368421,0.31684210526315787
0000001111,14,"[1, 2, 3, 4]",0.24526315789473685,6,5,6,10,0.24210526315789474,0.1936842105263158,0.21052631578947367,0.22842105263157894,0.37684210526315787,0.36736842105263157,0.4726315789473684,0.5378947368421053,0.5652631578947368,0.5252631578947369
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6473684210526316,6,5,6,10,0.24210526315789474,0.1936842105263158,0.21052631578947367,0.22842105263157894,0.37684210526315787,0.36736842105263157,0.4726315789473684,0.5378947368421053,0.5652631578947368,0.5252631578947369
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7063157894736842,7,5,6,10,0.38421052631578945,0.3410526315789474,0.4189473684210526,0.23894736842105263,0.3178947368421053,0.36210526315789476,0.6273684210526316,0.5821052631578948,0.42210526315789476,0.3736842105263158
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6168421052631579,8,5,6,10,0.26421052631578945,0.20526315789473684,0.19473684210526315,0.28,0.3126315789473684,0.33789473684210525,0.48526315789473684,0.41157894736842104,0.5357894736842105,0.5915789473684211
0000101111,46,"[1, 2, 3, 4, 6]",0.34421052631578947,10,5,6,10,0.27157894736842103,0.24210526315789474,0.3031578947368421,0.21263157894736842,0.4105263157894737,0.33263157894736844,0.6957894736842105,0.4105263157894737,0.48,0.5094736842105263
0010111111,190,"[1, 2, 3, 4, 5, 6, 8]",0.44105263157894736,10,5,6,10,0.27157894736842103,0.24210526315789474,0.3031578947368421,0.21263157894736842,0.4105263157894737,0.33263157894736844,0.6957894736842105,0.4105263157894737,0.48,0.5094736842105263
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.5968421052631578,10,5,6,10,0.27157894736842103,0.24210526315789474,0.3031578947368421,0.21263157894736842,0.4105263157894737,0.33263157894736844,0.6957894736842105,0.4105263157894737,0.48,0.5094736842105263
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.3273684210526316,11,5,6,10,0.29473684210526313,0.2336842105263158,0.25894736842105265,0.28210526315789475,0.3263157894736842,0.2831578947368421,0.6526315789473685,0.4378947368421053,0.3642105263157895,0.5
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.3631578947368421,12,5,6,10,0.36,0.28526315789473683,0.2831578947368421,0.2031578947368421,0.28421052631578947,0.28210526315789475,0.5778947368421052,0.6631578947368421,0.5652631578947368,0.5094736842105263
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7210526315789474,13,5,6,10,0.3157894736842105,0.33052631578947367,0.27789473684210525,0.41578947368421054,0.38421052631578945,0.29368421052631577,0.6231578947368421,0.6178947368421053,0.5063157894736842,0.52
0000110011,50,"[1, 2, 5, 6]",0.31157894736842107,14,5,6,10,0.26842105263157895,0.26210526315789473,0.511578947368421,0.4357894736842105,0.24105263157894738,0.2905263157894737,0.6947368421052632,0.6010526315789474,0.5442105263157895,0.5726315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7242105263157895,14,5,6,10,0.26842105263157895,0.26210526315789473,0.511578947368421,0.4357894736842105,0.24105263157894738,0.2905263157894737,0.6947368421052632,0.6010526315789474,0.5442105263157895,0.5726315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6505263157894737,16,5,6,10,0.3726315789473684,0.26210526315789473,0.21052631578947367,0.3336842105263158,0.35578947368421054,0.3473684210526316,0.6252631578947369,0.46210526315789474,0.5231578947368422,0.5357894736842105
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6852631578947368,17,5,6,10,0.22210526315789475,0.29578947368421055,0.24,0.4368421052631579,0.25894736842105265,0.41368421052631577,0.5842105263157895,0.6810526315789474,0.5905263157894737,0.5010526315789474
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.4305263157894737,18,5,6,10,0.29894736842105263,0.28421052631578947,0.21368421052631578,0.2968421052631579,0.35368421052631577,0.25684210526315787,0.4010526315789474,0.33473684210526317,0.5652631578947368,0.4768421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6505263157894737,20,5,6,10,0.46,0.26,0.42105263157894735,0.17894736842105263,0.24,0.3263157894736842,0.6126315789473684,0.44842105263157894,0.5378947368421053,0.5684210526315789
0000111100,59,"[3, 4, 5, 6]",0.29157894736842105,21,5,6,10,0.42736842105263156,0.38526315789473686,0.23789473684210527,0.2631578947368421,0.2557894736842105,0.24947368421052632,0.6442105263157895,0.4673684210526316,0.5252631578947369,0.4863157894736842
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6473684210526316,21,5,6,10,0.42736842105263156,0.38526315789473686,0.23789473684210527,0.2631578947368421,0.2557894736842105,0.24947368421052632,0.6442105263157895,0.4673684210526316,0.5252631578947369,0.4863157894736842
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.5789473684210527,23,5,6,10,0.28,0.20526315789473684,0.23473684210526316,0.4189473684210526,0.2294736842105263,0.3178947368421053,0.7063157894736842,0.5263157894736842,0.511578947368421,0.41368421052631577
0000110111,54,"[1, 2, 3, 5, 6]",0.3021052631578947,24,5,6,10,0.2810526315789474,0.2031578947368421,0.23473684210526316,0.4094736842105263,0.2810526315789474,0.24421052631578946,0.6105263157894737,0.5536842105263158,0.37894736842105264,0.5147368421052632
0000111101,60,"[1, 3, 4, 5, 6]",0.2831578947368421,25,5,6,10,0.25684210526315787,0.4336842105263158,0.19052631578947368,0.27263157894736845,0.18736842105263157,0.25684210526315787,0.6757894736842105,0.46421052631578946,0.4863157894736842,0.4168421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6347368421052632,26,5,6,10,0.24,0.4326315789473684,0.27578947368421053,0.38421052631578945,0.2894736842105263,0.27052631578947367,0.4242105263157895,0.4968421052631579,0.5368421052631579,0.4936842105263158
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.3410526315789474,27,5,6,10,0.28,0.2463157894736842,0.29789473684210527,0.2536842105263158,0.2536842105263158,0.27157894736842103,0.6726315789473685,0.6410526315789473,0.5578947368421052,0.49157894736842106
0010111111,190,"[1, 2, 3, 4, 5, 6, 8]",0.3642105263157895,28,5,6,10,0.3094736842105263,0.32842105263157895,0.2831578947368421,0.26631578947368423,0.21578947368421053,0.35368421052631577,0.651578947368421,0.3178947368421053,0.5736842105263158,0.4421052631578947
0000101111,46,"[1, 2, 3, 4, 6]",0.38105263157894737,29,5,6,10,0.3631578947368421,0.34421052631578947,0.27473684210526317,0.29473684210526313,0.38105263157894737,0.23684210526315788,0.6021052631578947,0.5873684210526315,0.5505263157894736,0.5515789473684211
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6663157894736842,29,5,6,10,0.3631578947368421,0.34421052631578947,0.27473684210526317,0.29473684210526313,0.38105263157894737,0.23684210526315788,0.6021052631578947,0.5873684210526315,0.5505263157894736,0.5515789473684211
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.31894736842105265,30,5,6,10,0.27578947368421053,0.27473684210526317,0.23789473684210527,0.24,0.23157894736842105,0.2536842105263158,0.5694736842105264,0.5673684210526316,0.41157894736842104,0.5021052631578947
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.5147368421052632,31,5,6,10,0.27052631578947367,0.22210526315789475,0.3021052631578947,0.32421052631578945,0.36210526315789476,0.3063157894736842,0.62,0.3936842105263158,0.4421052631578947,0.44526315789473686
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7021052631578948,32,5,6,10,0.3136842105263158,0.32,0.2905263157894737,0.39052631578947367,0.4631578947368421,0.34,0.6684210526315789,0.5726315789473684,0.5284210526315789,0.3410526315789474
