Nash Equilibrium,Occurrences,Subsample Ratio,Max Depth
0000000001,9,0.5,100
0000000010,10,0.5,100
0000000100,9,0.5,100
0000001000,7,0.5,100
0000010000,5,0.5,100
0000100000,7,0.5,100
0000111111,10,0.5,100
1111111111,10,0.5,100
