Trial,Combination,Clients,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value,Global Accuracy,Subsample Ratio,Max Iter
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4550342130987292,0.04361623179387537,0.42717497556207235,0.049739428547947065,0.612375366568915,0.12333506264917468,0.5901466275659824,0.11306829550118641,0.6064907135874877,0.11991211797896523,0.5786901270772239,0.09971318306141237,0.6002150537634409,0.11571741413714466,0.5790029325513196,0.10684170669531395,0.5837145650048876,0.11828499565347335,0.5636168132942326,0.10977156398150628,0.6343499511241447,0.5,10
2,0000000011,"1,2",0.4518475073313783,0.04287740760669203,0.438455522971652,0.050172680078518106,,,,,,,,,,,,,,,,,0.4581622678396872,0.5,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4518475073313783,0.04287740760669203,0.438455522971652,0.050172680078518106,0.6113782991202346,0.11913768321725007,0.5915933528836754,0.11547731145188776,0.6118475073313783,0.11972589653145196,0.5859237536656892,0.10207760390199169,0.6039882697947214,0.1184935083051844,0.5767546432062561,0.10632362319273825,0.5833626588465298,0.11333415538217805,0.5650830889540567,0.11238013033210772,0.6228739002932552,0.5,10
3,0000000011,"1,2",0.4508895405669599,0.04216872495229071,0.4291300097751711,0.048678332329830196,,,,,,,,,,,,,,,,,0.4566568914956012,0.5,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4508895405669599,0.04216872495229071,0.4291300097751711,0.048678332329830196,0.6146432062561095,0.11616774892890129,0.59386119257087,0.11968418110950661,0.6064711632453568,0.11818837251412137,0.5793157380254155,0.10110934946004663,0.6024828934506354,0.11610750193462692,0.5787878787878787,0.10459121107867524,0.5872922776148582,0.12061972087399497,0.5679374389051809,0.11268485681800662,0.632394916911046,0.5,10
4,0000000011,"1,2",0.45147605083088954,0.0469894900180103,0.4275464320625611,0.04803319165537352,,,,,,,,,,,,,,,,,0.4558357771260997,0.5,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.45147605083088954,0.0469894900180103,0.4275464320625611,0.04803319165537352,0.607741935483871,0.11736403218015924,0.5931573802541544,0.11456188364220884,0.6070576735092864,0.1157148625948675,0.5872140762463343,0.103456003566882,0.6026001955034214,0.11596740673600951,0.5807820136852395,0.10839712019258037,0.5848093841642229,0.11570734603643931,0.5665884652981427,0.11380866337746959,0.6347605083088954,0.5,10
5,0000000011,"1,2",0.4498729227761486,0.044860664260720336,0.43141739980449656,0.04570417935523998,,,,,,,,,,,,,,,,,0.4558162267839687,0.5,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4498729227761486,0.044860664260720336,0.43141739980449656,0.04570417935523998,0.612375366568915,0.11736053941455311,0.5967937438905181,0.1167161972203556,0.601466275659824,0.11590423977584066,0.5805474095796677,0.09939151708612502,0.6063147605083089,0.12039914679387637,0.5782404692082111,0.10571335616658487,0.5830694037145651,0.11995169071376909,0.5644183773216032,0.11399846921293502,0.6276246334310851,0.5,10
6,0000000011,"1,2",0.4576930596285435,0.05496143926269289,0.42735092864125124,0.04144304999531777,,,,,,,,,,,,,,,,,0.4583186705767351,0.5,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4576930596285435,0.05496143926269289,0.42735092864125124,0.04144304999531777,0.6110850439882698,0.11642172355667925,0.5997653958944281,0.1149843289085547,0.6071749755620723,0.11655913215417282,0.5866666666666667,0.10346167484119181,0.6075268817204301,0.11546032672738042,0.5843988269794721,0.10923388457726588,0.5879960899315738,0.11411474916498895,0.5675073313782991,0.11335969081175595,0.6362463343108504,0.5,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.453822091886608,0.04815808725724934,0.4324535679374389,0.04524134669386067,0.6117693059628544,0.11778381267673611,0.5910850439882698,0.11514872946902749,0.6052003910068426,0.11881351423250869,0.5817399804496579,0.10342551949395555,0.6017790811339199,0.11587875518508693,0.5820332355816227,0.11118456445272078,0.5774389051808406,0.1137379548343233,0.5621700879765396,0.11062771570453152,0.6299120234604105,0.5,10
8,0000000011,"1,2",0.4575562072336266,0.05249393587313237,0.4300097751710655,0.05107084375567227,,,,,,,,,,,,,,,,,0.4586314760508309,0.5,10
