Nash Equilibrium,Occurrences,Max Depth
0001000000,1,10
0010000000,3,10
1111111111,10,10
0000000010,3,10
0000010000,2,10
0000000001,1,10
0000001000,1,10
0000000010,1,100
0010000000,1,100
0100000000,3,100
1111111111,10,100
0001000000,1,100
